month,days,saving_vs_beta1,saving_vs_beta0,ldr_better_beta1_days,ldr_better_beta0_days
2,28,13052.932468238148,0.0,27,0
3,31,17886.777298540328,1586.3921814323767,29,1
4,30,17654.536850389148,3224.3978985502545,29,4
5,31,19263.589406828272,-3158.1016107865835,23,5
6,30,1906.2322398748147,31648.691007883364,13,7
7,31,17796.090915136483,15054.83369345534,18,5
8,31,29134.75639372896,274.0452023722828,29,3
9,30,25809.664160089247,3342.540038860039,22,2
10,31,19016.280956324015,1646.113656823065,27,2
11,30,19511.22628509212,0.0,30,0
12,31,12331.048255559766,10618.031649930417,26,6
