month,intervals,risk_coverage,point_coverage,mean_risk_buffer_kwh
2,4032,0.7961309523809523,0.6550099206349206,16.14572743527967
3,4464,0.7632168458781362,0.6019265232974911,22.265137077039597
4,4320,0.7662037037037037,0.5502314814814815,30.30094463679453
5,4464,0.7508960573476703,0.47625448028673834,48.75817496586448
6,4320,0.767824074074074,0.44074074074074077,80.44061598820547
7,4464,0.7508960573476703,0.45474910394265233,70.97528077476959
8,4464,0.7683691756272402,0.5544354838709677,39.01035299219151
9,4320,0.757175925925926,0.5377314814814815,40.04407270502646
10,4464,0.7847222222222222,0.4829749103942652,40.836207161525
11,4320,0.7803240740740741,0.42430555555555555,41.7714960063933
12,4464,0.7804659498207885,0.42697132616487454,52.99329208802697
