case,label,group,total_cost,initial_soc_kwh,final_soc_kwh,delta_vs_main_yuan
residual_14d,残差窗口 14 日,残差窗口,13908465.95550907,2192.322799888892,1583.0998757407415,-69611.277612634
maxiter_12,搜索预算 12 代,搜索预算,13967840.486472718,2263.2065799206325,1627.3262116666697,-10236.746648985893
maxiter_4,搜索预算 4 代,搜索预算,13970901.940276593,2263.2065799206325,1627.3262116666697,-7175.29284511134
delta_only_lambda0,仅截距：λ=0,结构消融,13974466.265221355,2263.2065799206325,1627.3262116666697,-3610.9679003488272
main_21d_seed12_iter8,主方案：21日 / seed12 / 8代,主方案,13978077.233121704,2263.2065799206325,1627.3262116666697,0.0
lambda_1,λ 边界 ±1,参数边界,13977041.679555945,2263.2065799206325,1627.3262116666697,-1035.5535657592118
seed_20250913,随机种子 20250913,随机种子,13979099.294356868,2263.2065799206325,1627.3262116666697,1022.0612351633608
delta_4800,δ 边界 ±4800 kWh,参数边界,13979959.875085926,2263.2065799206325,1627.3262116666697,1882.6419642213732
residual_28d,残差窗口 28 日,残差窗口,13974689.9911647,2270.421548968256,1710.3106251481502,-3387.2419570051134
seed_20250911,随机种子 20250911,随机种子,13988638.78166007,2263.2065799206325,1627.3262116666697,10561.548538366333
