slot_index,observation_time_label,load_actual_kw_mean,load_actual_kw_std,load_actual_kw_min,load_actual_kw_max,pv_actual_kw_mean,pv_actual_kw_std,pv_actual_kw_min,pv_actual_kw_max,net_load_actual_kw_mean,net_load_actual_kw_std,net_load_actual_kw_min,net_load_actual_kw_max,price_fixed_yuan_per_kwh_mean,price_fixed_yuan_per_kwh_std,price_fixed_yuan_per_kwh_min,price_fixed_yuan_per_kwh_max,price_variable_yuan_per_kwh_mean,price_variable_yuan_per_kwh_std,price_variable_yuan_per_kwh_min,price_variable_yuan_per_kwh_max
1,00:10,3439.8466342465754,634.5571538667965,2249.1115,4951.8268,0.0,0.0,0.0,0.0,3439.8466342465754,634.5571538667965,2249.1115,4951.8268,0.4276,0.0,0.4276,0.4276,0.42748434065934066,0.07135526646036848,0.2375,0.5967
2,00:20,3437.979241369863,603.3679953926315,2251.2662,5023.9817,0.0,0.0,0.0,0.0,3437.979241369863,603.3679953926315,2251.2662,5023.9817,0.42479999999999996,0.0,0.4248,0.4248,0.4248183561643835,0.0686575873810221,0.2543,0.6069
3,00:30,3444.3030958904105,601.3839976090353,2159.52,5003.29,0.0,0.0,0.0,0.0,3444.3030958904105,601.3839976090353,2159.52,5003.29,0.4245,0.0,0.4245,0.4245,0.4245104109589041,0.06479366109186756,0.2369,0.5905
4,00:40,3454.443659726028,587.0427035551322,2293.8601,4915.9432,0.0,0.0,0.0,0.0,3454.443659726028,587.0427035551322,2293.8601,4915.9432,0.4269,0.0,0.4269,0.4269,0.42693643835616435,0.06757329365031996,0.2643,0.6302
5,00:50,3458.827338356164,583.9081809874874,2360.9112,4895.2793,0.0,0.0,0.0,0.0,3458.827338356164,583.9081809874874,2360.9112,4895.2793,0.42719999999999997,0.0,0.4272,0.4272,0.4272427397260274,0.06631357354591379,0.2747,0.617
6,01:00,3459.8400547945207,590.8829554968564,2298.01,4927.19,0.0,0.0,0.0,0.0,3459.8400547945207,590.8829554968564,2298.01,4927.19,0.4270999999999999,0.0,0.4271,0.4271,0.42708684931506846,0.0646644750390729,0.2893,0.5989
7,01:10,3467.1581654794522,585.0832815532904,2258.3025,4832.9474,0.0,0.0,0.0,0.0,3467.1581654794522,585.0832815532904,2258.3025,4832.9474,0.4285,0.0,0.4285,0.4285,0.4285232876712329,0.06475726299065339,0.2653,0.613
8,01:20,3467.963179726027,565.4936928662734,2262.2015,4789.2611,0.0,0.0,0.0,0.0,3467.963179726027,565.4936928662734,2262.2015,4789.2611,0.4311,0.0,0.4311,0.4311,0.43110657534246577,0.06503587184758705,0.252,0.6458
9,01:30,3466.9682739726027,547.9185192347163,2343.78,4970.01,0.0,0.0,0.0,0.0,3466.9682739726027,547.9185192347163,2343.78,4970.01,0.43019999999999997,0.0,0.4302,0.4302,0.43015561643835615,0.06286438309607657,0.2648,0.5903
10,01:40,3482.492672054794,547.2173595873329,2381.6861,4795.34,0.0,0.0,0.0,0.0,3482.492672054794,547.2173595873329,2381.6861,4795.34,0.4279,0.0,0.4279,0.4279,0.427938904109589,0.060220431793446355,0.2717,0.5887
11,01:50,3495.0841010958907,546.5853382263016,2385.1405,4775.4872,0.0,0.0,0.0,0.0,3495.0841010958907,546.5853382263016,2385.1405,4775.4872,0.4312,0.0,0.4312,0.4312,0.43124493150684934,0.06104318015753518,0.2803,0.6039
12,02:00,3498.444301369863,542.898277629061,2344.0,4739.83,0.0,0.0,0.0,0.0,3498.444301369863,542.898277629061,2344.0,4739.83,0.4333,0.0,0.4333,0.4333,0.4332564383561644,0.06263224640293243,0.2695,0.6082
13,02:10,3505.2294761643834,544.6585342340247,2382.5576,4810.9375,0.0,0.0,0.0,0.0,3505.2294761643834,544.6585342340247,2382.5576,4810.9375,0.4311,0.0,0.4311,0.4311,0.4310969863013699,0.06121807862252237,0.2537,0.6028
14,02:20,3512.638685479452,541.7011994660544,2386.5339,4814.5046,0.0,0.0,0.0,0.0,3512.638685479452,541.7011994660544,2386.5339,4814.5046,0.4293,0.0,0.4293,0.4293,0.42934438356164384,0.06369806527040786,0.263,0.5782
