battery_ramp_power_kw_per_10min,battery_ramp_rate_kw_per_min,battery_ramp_energy_kwh,status,primary_cost_yuan,primary_cost_increase_rate,final_cost_yuan,final_cost_increase_rate,cost_saving_rate,observed_max_battery_ramp_power_kw,battery_total_variation_kwh,charge_discharge_throughput_kwh,operating_mode_changes,min_soc_kwh,max_soc_kwh,simultaneous_charge_discharge_slots,message
500.0,50.0,83.33333333333333,PASS,35887.4385398537,0.01821891654048713,35905.38226271237,0.018728026100579553,0.2507501454008719,500.0000000000009,5611.838395425608,36212.77013933631,9,1200.0,10800.0,0,
750.0,75.0,125.0,PASS,35643.69732692083,0.011303351544864615,35661.51917914867,0.011809003321767708,0.2558389195173906,750.0000000000001,5789.674255989338,37450.38897943375,9,1200.0,10800.0,0,
1000.0,100.0,166.66666666666666,PASS,35539.01604201992,0.008333274302502858,35556.78555359483,0.00883744104048767,0.2580244317936196,1000.0000000000001,5874.956662332743,36967.68659003881,9,1200.0,10800.0,0,
1500.0,150.0,250.0,PASS,35422.22794665654,0.005019695714449934,35439.93906417208,0.00552220566280881,0.26046270733041377,1500.0000000000002,6158.483941251946,37551.21238522499,9,1200.0,10800.0,0,
2000.0,200.0,333.3333333333333,PASS,35350.82033743843,0.0029936782150381536,35368.495751142225,0.003495175154444752,0.26195353930396137,2000.0000000000002,6668.833694980916,37017.622916031585,10,1200.0,10800.0,0,
2500.0,250.0,416.66666666666663,PASS,35317.56867431683,0.0020502430250552983,35335.22746218575,0.0025512682467729864,0.26264776003335005,2500.0,7361.803734173551,36831.40892605975,10,1200.0,10800.0,0,
3000.0,300.0,500.0,PASS,35295.76855146953,0.0014317174804869826,35313.41643927483,0.001932433439369996,0.2631028980854977,3000.0,7623.517703840481,36645.19493187139,10,1200.0,10800.0,0,
4000.0,400.0,666.6666666666666,PASS,35259.29412544296,0.00039684421949992554,35276.9237760316,0.0008970427416490345,0.2638644029325667,4000.0,8260.736974339452,36297.81943583785,11,1200.0,10800.0,0,
5000.0,500.0,833.3333333333333,PASS,35245.30722900463,0.0,35262.929886143655,0.0005000000999997312,0.2641564182044584,5000.0,8812.841170540774,36297.8194363081,11,1200.0,10800.0,0,
7500.0,750.0,1250.0,PASS,35245.30722900463,0.0,35262.92988614365,0.0005000000999995091,0.26415641820445857,5000.0,8812.841170540436,36297.819436308346,11,1200.0,10800.0,0,
10000.0,1000.0,1666.6666666666665,PASS,35245.30722900463,0.0,35262.92988614365,0.0005000000999995091,0.26415641820445857,5000.0,8812.841170540436,36297.819436308346,11,1200.0,10800.0,0,
