slot_index,time_label,delivery_interval,clock_minute,is_next_day,price_source_row_index,price_source_time_label,demand_source_row_index,demand_source_time_label,result_row_index,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,grid_purchase_kwh,charge_kwh,discharge_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,interval_cost_yuan,primary_balance_shadow_price_yuan_per_kwh,primary_storage_water_value_yuan_per_kwh,primary_soc_lower_shadow_value_yuan_per_kwh,primary_soc_upper_shadow_value_yuan_per_kwh,block
1,00:00,00:00-00:10,0,False,144,0:00+1,1,00:10,144,0.4276000000,3439.8466000000,0.0000000000,573.3077666667,0.0000000000,906.6411000000,333.3333333333,0.0000000000,0.0000000000,6000.0000000000,6300.0000000000,387.6797343600,0.4276000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
2,00:10,00:10-00:20,10,False,1,00:10,2,00:20,1,0.4248000000,3437.9792000000,0.0000000000,572.9965333333,0.0000000000,1406.3298666667,833.3333333333,0.0000000000,0.0000000000,6300.0000000000,7050.0000000000,597.4089273600,0.4248000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
3,00:20,00:20-00:30,20,False,2,00:20,3,00:30,2,0.4245000000,3444.3031000000,0.0000000000,574.0505166667,0.0000000000,1407.3838500000,833.3333333333,0.0000000000,0.0000000000,7050.0000000000,7800.0000000000,597.4344443250,0.4245000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
4,00:30,00:30-00:40,30,False,3,00:30,4,00:40,3,0.4269000000,3454.4437000000,0.0000000000,575.7406166667,0.0000000000,1409.0739500000,833.3333333333,0.0000000000,0.0000000000,7800.0000000000,8550.0000000000,601.5336692550,0.4269000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
5,00:40,00:40-00:50,40,False,4,00:40,5,00:50,4,0.4272000000,3458.8273000000,0.0000000000,576.4712166667,0.0000000000,1409.8045500000,833.3333333333,0.0000000000,0.0000000000,8550.0000000000,9300.0000000000,602.2685037600,0.4272000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
6,00:50,00:50-01:00,50,False,5,00:50,6,01:00,5,0.4271000000,3459.8401000000,0.0000000000,576.6400166667,0.0000000000,1409.9733500000,833.3333333333,0.0000000000,0.0000000000,9300.0000000000,10050.0000000000,602.1996177850,0.4271000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
7,01:00,01:00-01:10,60,False,6,01:00,7,01:10,6,0.4285000000,3467.1582000000,0.0000000000,577.8597000000,0.0000000000,577.8597000000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,247.6128814500,0.4285000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
8,01:10,01:10-01:20,70,False,7,01:10,8,01:20,7,0.4311000000,3467.9632000000,0.0000000000,577.9938666667,0.0000000000,577.9938666667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,249.1731559200,0.4311000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
9,01:20,01:20-01:30,80,False,8,01:20,9,01:30,8,0.4302000000,3466.9683000000,0.0000000000,577.8280500000,0.0000000000,577.8280500000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,248.5816271100,0.4302000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
10,01:30,01:30-01:40,90,False,9,01:30,10,01:40,9,0.4279000000,3482.4927000000,0.0000000000,580.4154500000,0.0000000000,580.4154500000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,248.3597710550,0.4279000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
11,01:40,01:40-01:50,100,False,10,01:40,11,01:50,10,0.4312000000,3495.0841000000,0.0000000000,582.5140166667,0.0000000000,582.5140166667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,251.1800439867,0.4312000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
12,01:50,01:50-02:00,110,False,11,01:50,12,02:00,11,0.4333000000,3498.4443000000,0.0000000000,583.0740500000,0.0000000000,583.0740500000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,252.6459858650,0.4333000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
13,02:00,02:00-02:10,120,False,12,02:00,13,02:10,12,0.4311000000,3505.2295000000,0.0000000000,584.2049166667,0.0000000000,584.2049166667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,251.8507395750,0.4311000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
14,02:10,02:10-02:20,130,False,13,02:10,14,02:20,13,0.4293000000,3512.6387000000,0.0000000000,585.4397833333,0.0000000000,585.4397833333,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,251.3292989850,0.4293000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
15,02:20,02:20-02:30,140,False,14,02:20,15,02:30,14,0.4324000000,3516.8685000000,0.0000000000,586.1447500000,0.0000000000,586.1447500000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,253.4489899000,0.4324000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
16,02:30,02:30-02:40,150,False,15,02:30,16,02:40,15,0.4367000000,3517.9246000000,0.0000000000,586.3207666667,0.0000000000,586.3207666667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,256.0462788033,0.4367000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
17,02:40,02:40-02:50,160,False,16,02:40,17,02:50,16,0.4348000000,3518.5518000000,0.0000000000,586.4253000000,0.0000000000,586.4253000000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,254.9777204400,0.4348000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
18,02:50,02:50-03:00,170,False,17,02:50,18,03:00,17,0.4335000000,3521.0976000000,0.0000000000,586.8496000000,0.0000000000,586.8496000000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,254.3993016000,0.4335000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
19,03:00,03:00-03:10,180,False,18,03:00,19,03:10,18,0.4357000000,3526.9261000000,0.0000000000,587.8210166667,0.0000000000,587.8210166667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,256.1136169617,0.4357000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
20,03:10,03:10-03:20,190,False,19,03:10,20,03:20,19,0.4374000000,3537.2854000000,0.0000000000,589.5475666667,0.0000000000,589.5475666667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,257.8681056600,0.4374000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
21,03:20,03:20-03:30,200,False,20,03:20,21,03:30,20,0.4371000000,3544.8808000000,0.0000000000,590.8134666667,0.0000000000,590.8134666667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,258.2445662800,0.4371000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
22,03:30,03:30-03:40,210,False,21,03:30,22,03:40,21,0.4356000000,3541.2787000000,0.0000000000,590.2131166667,0.0000000000,590.2131166667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,257.0968336200,0.4356000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
23,03:40,03:40-03:50,220,False,22,03:40,23,03:50,22,0.4353000000,3546.3976000000,0.0000000000,591.0662666667,0.0000000000,591.0662666667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,257.2911458800,0.4353000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
24,03:50,03:50-04:00,230,False,23,03:50,24,04:00,23,0.4360000000,3560.2070000000,0.0000000000,593.3678333333,0.0000000000,593.3678333333,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,258.7083753333,0.4360000000,0.4751111111,0.0000000000,0.0000000000,0:00-4:00
25,04:00,04:00-04:10,240,False,24,04:00,25,04:10,24,0.4378000000,3561.9581000000,0.0000000000,593.6596833333,0.0000000000,593.6596833333,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,259.9042093633,0.4378000000,0.4751111111,0.0000000000,0.0000000000,4:00-8:00
26,04:10,04:10-04:20,250,False,25,04:10,26,04:20,25,0.4401000000,3556.7183000000,0.0000000000,592.7863833333,0.0000000000,592.7863833333,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,260.8852873050,0.4401000000,0.4751111111,0.0000000000,0.0000000000,4:00-8:00
27,04:20,04:20-04:30,260,False,26,04:20,27,04:30,26,0.4389000000,3560.0272000000,0.0000000000,593.3378666667,0.0000000000,593.3378666667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,260.4159896800,0.4389000000,0.4751111111,0.0000000000,0.0000000000,4:00-8:00
28,04:30,04:30-04:40,270,False,27,04:30,28,04:40,27,0.4364000000,3580.6540000000,0.5994000000,596.7756666667,0.0999000000,596.6757666667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,260.3893045733,0.4364000000,0.4751111111,0.0000000000,0.0000000000,4:00-8:00
