date,grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,planned_cost,emergency_cost,total_cost,soc_start_kwh,soc_end_kwh
2025-02-01,45194.47968042327,18656.991262784086,14738.099298245594,0.0,6897.411782551444,23796.270014775302,0.0,23796.270014775302,2192.322799888892,2607.9490494550255
2025-02-02,91145.95397113393,21577.4266710876,17677.092945238095,0.0,8889.342295284425,57665.33873086675,0.0,57665.33873086675,2607.9490494550255,2386.4186698359827
2025-02-03,89715.2306587746,22689.276088465253,18456.06428429971,0.0,5265.102354609057,56509.39257580929,0.0,56509.39257580929,2386.4186698359827,2300.02905578836
2025-02-04,90379.75195377598,23967.331125595607,19477.717009080065,0.0,4695.2738872604405,56909.78764773823,0.0,56909.78764773823,2300.02905578836,2228.719280957674
2025-02-05,89273.27073178501,23601.0856039516,19292.64661495318,19.939565714285777,4236.344325167556,56074.59179530649,93.39692580571459,56167.98872111221,2228.719280957674,2033.4223078994714
2025-02-06,90344.65329633908,22465.66988931357,18149.12078627256,17.276240476190537,5774.323217107586,57106.03389098739,100.34904280595273,57206.38293379334,2033.4223078994714,2086.835445756617
2025-02-07,43001.01867438615,18651.31633143702,15339.944005716372,0.0,7883.9666819988315,22486.06700191572,0.0,22486.06700191572,2086.835445756617,1828.637915476188
2025-02-08,38816.321680986475,18218.375407297208,14795.225394405974,0.0,3816.0089514285723,20383.141512733935,0.0,20383.141512733935,1828.637915476188,1786.0364549259255
2025-02-09,85067.97440766485,23843.689441651673,19562.31503057119,0.0,1231.1840299177036,53291.697475655725,0.0,53291.697475655725,1786.0364549259255,1509.4513628888924
2025-02-10,86538.76487938137,20990.763638006156,17070.73237009451,0.0,8292.096028136388,54224.14729339095,0.0,54224.14729339095,1509.4513628888924,1433.6582258783076
2025-02-11,84615.17587768988,22160.616842845604,17937.18025436208,74.7157942857151,5245.857950158733,52810.24728024228,387.640922921196,53197.88820316347,1433.6582258783076,1448.0131018148147
2025-02-12,83749.31760625524,22228.887506033152,18003.28563458685,1.4143799999998237,4258.393981475599,52236.80014478983,6.6249559199991745,52243.42510070982,1448.0131018148147,1450.3611521481496
2025-02-13,83419.45380861309,20047.172196338855,16120.60352960115,0.0,8163.406125208712,52085.90287221175,0.0,52085.90287221175,1450.3611521481496,1581.0344292962964
2025-02-14,36230.663992258465,17869.13264381863,14438.663099402613,0.0,2998.3926311757764,19200.41340775781,0.0,19200.41340775781,1581.0344292962964,1620.294809396826
2025-02-15,35763.03836311683,17537.78795225508,14466.888077974236,0.0,3412.047388835985,18916.768096883923,0.0,18916.768096883923,1620.294809396826,1329.9838797883622
2025-02-16,81137.0163458907,23970.084667659285,19296.933225789733,9.33459809523822,1095.8204021164001,50251.12903666506,40.880872358095786,50292.00990902315,1329.9838797883622,1462.0231631375684
2025-02-17,80807.67854519132,20748.88178295121,16701.359637142858,0.0,5576.293232716296,49933.68240943851,0.0,49933.68240943851,1462.0231631375684,1578.950504301588
2025-02-18,80243.55854955029,21819.44332373166,17392.616507355982,0.0,3725.3439498412754,49695.55708285665,0.0,49695.55708285665,1578.950504301588,1891.320043042326
2025-02-19,79377.39507027954,22805.367969066447,19017.64184156762,40.56891666666661,2750.910476114045,49141.089867274815,177.6512860833331,49318.74115335815,1891.320043042326,1285.4380579047615
2025-02-20,79569.84339499261,22427.237262217106,17764.280585419663,39.75763666666626,3953.5106215285086,48971.872799909324,181.16387498333145,49153.03667489265,1285.4380579047615,1731.8620545449724
2025-02-21,35601.30507867611,17030.55828822536,13695.422230295871,0.0,6705.9069874132865,18821.526371373035,0.0,18821.526371373035,1731.8620545449724,1842.228702507939
2025-02-22,35358.72797560143,16925.311772757956,13575.842705533947,0.0,4164.496025044096,18727.035822616006,0.0,18727.035822616006,1842.228702507939,1990.7396251746047
2025-02-23,78427.76433752514,21953.023789063245,18083.630380526934,0.0,3026.5172456554856,48393.50148318172,0.0,48393.50148318172,1990.7396251746047,1655.5383903015893
2025-02-24,77909.48852776924,21365.580746546257,17104.386793597703,40.07725095238084,5485.338209106406,47824.44880013551,185.85451258285661,48010.30331271837,1655.5383903015893,1879.6868470846575
2025-02-25,77682.31160173619,19550.264904440013,16126.898097677364,22.06709523809525,8459.688656878305,47824.07223393538,96.6318100476191,47920.704043983,1879.6868470846575,1556.1495969947116
2025-02-26,77754.93699712084,21931.810149817007,17226.935962913674,0.0,4235.214776884174,47768.311899343964,0.0,47768.311899343964,1556.1495969947116,2153.7387730370383
2025-02-27,75949.3843445282,22782.651455795538,18736.00888672296,0.0,4946.157575455623,46623.34893489233,0.0,46623.34893489233,2153.7387730370383,1840.3374313386246
2025-02-28,34533.234608947096,16483.295212479352,13402.30496954637,0.0,8159.650816014109,18136.78687386307,0.0,18136.78687386307,1840.3374313386246,1783.8531564074096
2025-03-01,34525.07044817697,15844.020591450628,12781.457193355962,0.0,7803.741116748972,18201.629749533993,0.0,18201.629749533993,1783.8531564074096,1841.8525849841262
2025-03-02,75437.68393061297,21112.9538726749,17396.475562219046,2398.3304264091475,1761.2289798995903,46245.389698759514,16279.86231202187,62525.25201078138,1841.8525849841262,1514.0937790370367
2025-03-03,76083.60861870827,23039.020083862437,18696.13271629524,1545.8046331602945,1269.3792509680297,46673.15082129927,7385.396051146968,54058.54687244623,1514.0937790370367,1475.7310586296287
2025-03-04,78103.45229810665,21752.40074465892,17444.64998531182,0.0,4596.243605426217,48073.38819783083,0.0,48073.38819783083,1475.7310586296287,1669.947300698414
2025-03-05,78885.04789714192,19602.054443996436,15902.713098818067,0.0,9055.234535296886,48558.5496159054,0.0,48558.5496159054,1669.947300698414,1642.115079386244
2025-03-06,78354.59799267538,19396.225296496177,15710.85615047619,0.0,8728.574713322058,48477.340224824366,0.0,48477.340224824366,1642.115079386244,1642.2110123703717
2025-03-07,33771.09185608992,15223.251796141787,11999.137585736757,0.0,9624.692112351557,17825.810982660452,0.0,17825.810982660452,1642.2110123703717,2010.7625336349172
2025-03-08,31463.801794303956,15213.315128566855,12359.798626543914,0.0,9547.145775614346,16880.432603967525,0.0,16880.432603967525,2010.7625336349172,1969.6365642962996
2025-03-09,74468.75748796688,20531.83935210116,16838.56593434004,0.0,7441.959020205763,45757.08213477407,0.0,45757.08213477407,1969.6365642962996,1738.7742763650795
2025-03-10,73362.1947542267,21914.940351622572,17775.598222957142,23.283450000000016,1204.0646255612671,44953.65712332042,113.5533856500001,45067.21050897042,1738.7742763650795,1711.5559006507951
2025-03-11,73480.03991617296,20744.161367154316,16565.313624461665,0.0,5362.273373480313,44660.83679985842,0.0,44660.83679985842,1711.5559006507951,1975.3971039100527
