window,seed,strategy,planned_cost,emergency_cost,total_cost,emergency_kwh,initial_soc_kwh,final_soc_kwh
14,,beta1,13286691.108810797,820428.8888818674,14107119.997692661,179523.32734150282,2245.4116887777795,1583.0998757407415
14,,beta0,13293457.469736876,661449.9968275336,13954907.466564408,113044.99654558179,2192.322799888892,1583.0998757407415
14,20250912.0,ldr,13293164.93253329,615301.0229757777,13908465.955509068,119515.19333948154,2192.322799888892,1583.0998757407417
14,20250913.0,ldr,13293195.934372656,612316.2077334675,13905512.142106123,118833.43387094508,2192.322799888892,1583.0998757407417
14,20250914.0,ldr,13293043.61116594,615678.1447627398,13908721.75592868,119087.86589396579,2192.322799888892,1583.0998757407417
21,,beta1,13326707.14871561,838479.8136808755,14165186.962396484,187104.89555826926,2306.4510243650775,1627.3262116666697
21,,beta0,13333371.38652405,709464.6748372253,14042836.061361274,123759.74466836709,2263.2065799206325,1627.3262116666697
21,20250912.0,ldr,13332849.502003,645227.7311187075,13978077.233121708,129705.3232489348,2263.2065799206325,1627.3262116666697
21,20250913.0,ldr,13332750.162945565,646349.1314113042,13979099.294356868,129015.8876267743,2263.2065799206325,1627.3262116666697
21,20250914.0,ldr,13332763.989039546,652236.4968642475,13985000.485903792,130917.76886030959,2263.2065799206325,1627.3262116666697
28,,beta1,13335918.680822179,816491.2571669059,14152409.937989086,183074.05269615908,2270.421548968256,1710.3106251481502
28,,beta0,13342099.948133212,703359.1428443447,14045459.090977557,122696.72923368562,2226.7971045238105,1710.3106251481502
28,20250912.0,ldr,13341533.15268852,633156.8384761771,13974689.991164697,128802.02623775233,2270.421548968256,1710.3106251481502
28,20250913.0,ldr,13341626.738708094,633175.8946527904,13974802.633360885,129592.68780794991,2270.421548968256,1710.3106251481502
28,20250914.0,ldr,13341525.384064931,633742.5129227175,13975267.896987647,129598.34780199392,2270.421548968256,1710.3106251481502
