date,emergency_cost,soc_end_kwh,original_emergency_cost,original_minus_beta0_emergency_cost
2025-02-01,0.0,9887.797568518517,0.0,0.0
2025-02-02,0.0,2002.441306666663,0.0,0.0
2025-02-03,0.0,1756.818063306876,0.0,0.0
2025-02-04,0.0,1411.3510355663957,0.0,0.0
2025-02-05,0.0,1671.7058618799967,0.0,0.0
2025-02-06,7.238317594048281,1674.3413194039044,7.238317594047621,-6.59916565837193e-13
2025-02-07,0.0,9550.572526391004,0.0,0.0
2025-02-08,0.0,9529.537549565608,0.0,0.0
2025-02-09,0.0,1490.8768736243383,0.0,0.0
2025-02-10,0.0,1323.9054393951355,0.0,0.0
2025-02-11,0.0,1372.6898906016104,0.0,0.0
2025-02-12,0.0,1357.9752127777779,0.0,0.0
2025-02-13,0.0,1579.1663792857134,0.0,0.0
2025-02-14,0.0,9763.032733783071,0.0,0.0
2025-02-15,0.0,9384.85783122487,0.0,0.0
2025-02-16,1719.3342981102053,1277.5152964550234,1719.3342981102126,7.275957614183426e-12
2025-02-17,0.0,1293.988912314653,0.0,0.0
2025-02-18,0.0,1590.8383492700316,0.0,0.0
2025-02-19,5032.280137130016,1200.0,4731.56127426249,-300.7188628675258
2025-02-20,32.66107714285574,1801.5425818994743,32.66107714285574,0.0
2025-02-21,0.0,9781.172807551766,0.0,0.0
2025-02-22,0.0,9536.580110941275,0.0,0.0
2025-02-23,0.0,1475.883448533863,0.0,0.0
2025-02-24,100.15300425059941,1384.3403724867726,100.15300425059941,0.0
2025-02-25,0.0,1488.69825537037,0.0,0.0
2025-02-26,1868.345101958739,1461.0766401283076,1515.0137287906543,-353.3313731680846
2025-02-27,1038.2315057133544,1705.2975640512118,1038.2315057133576,3.183231456205249e-12
2025-02-28,0.0,9687.220297539683,0.0,0.0
2025-03-01,0.0,9557.444945425665,0.0,0.0
2025-03-02,32417.31987034838,1381.3163164694772,28720.974921052453,-3696.344949295926
2025-03-03,27866.942605727898,1305.121412962963,25646.051343941614,-2220.8912617862843
2025-03-04,295.2108568740205,1278.6698666402115,247.85865962403895,-47.35219724998157
2025-03-05,0.0,1508.9480825132246,0.0,0.0
