bound,scope,coverage,mean_margin_kw,finite_days
b0_q90,formal,0.8783058882235529,459.05622843001504,48096
b0_q90,workday,0.8919294294294294,222.37529835848355,26640
b0_q90,sat_class,0.8728345280764636,1089.7438968055556,13392
b0_q90,sunday,0.8434480676328503,192.33406776268117,6624
b0_q90,holiday,0.8375,199.1800579305556,1440
b0_q95,formal,0.9263972055888223,540.4926738874333,48096
b0_q95,workday,0.9420045045045045,318.9322515777026,26640
b0_q95,sat_class,0.9189814814814815,1156.5256645146355,13392
b0_q95,sunday,0.8905495169082126,250.85924369263282,6624
b0_q95,holiday,0.8715277777777778,242.56745268055553,1440
b1_q90,formal,0.8674110113107119,254.87850641799736,48096
b1_q90,workday,0.8692567567567567,231.60534226201204,26640
b1_q90,sat_class,0.8572281959378734,227.78567997237158,13392
b1_q90,sunday,0.8996074879227053,406.1100919746378,6624
b1_q90,holiday,0.7798611111111111,241.73003568749996,1440
b1_q95,formal,0.9188705921490352,379.3351412372128,48096
b1_q95,workday,0.9209834834834835,328.29054523667406,26640
b1_q95,sat_class,0.9059139784946236,320.04064367607515,13392
b1_q95,sunday,0.9596920289855072,721.7298635401564,6624
b1_q95,holiday,0.8125,300.0832719722221,1440
b2_q90,formal,0.8756861277445109,192.91640484600546,48096
b2_q90,workday,0.878078078078078,198.71455368862254,26640
b2_q90,sat_class,0.8717891278375149,176.81760606396148,13392
b2_q90,sunday,0.8922101449275363,205.3592336945739,6624
b2_q90,holiday,0.7916666666666666,178.1324672271826,1440
b2_q95,formal,0.9247546573519627,256.8550325270824,48096
b2_q95,workday,0.9268018018018018,262.8454499874204,26640
b2_q95,sat_class,0.9215203106332138,229.50346792280035,13392
b2_q95,sunday,0.9432367149758454,295.07365015492894,6624
b2_q95,holiday,0.8319444444444445,224.59621924255944,1440
gk_q90,formal,0.8694486027944112,249.7809442004901,48096
gk_q90,workday,0.8844594594594595,244.8662988256007,26640
gk_q90,sat_class,0.8405764635603346,189.8167825675043,13392
gk_q90,sunday,0.8793780193236715,394.0103416993988,6624
gk_q90,holiday,0.8145833333333333,234.91335832773058,1440
gk_q95,formal,0.9234031936127745,364.8804916262311,48096
gk_q95,workday,0.9312312312312312,334.0945015558618,26640
gk_q95,sat_class,0.9006123058542413,267.3528846719293,13392
gk_q95,sunday,0.9545591787439613,701.4437337846856,6624
gk_q95,holiday,0.8472222222222222,293.2371386741776,1440
