k,h,tau,tuning_start,tuning_end,tuning_days,mape_pct
20,2.0,21,2025-01-20,2025-01-27,8,2.429462961752559
20,1.0,21,2025-01-20,2025-01-27,8,2.4295709516644557
20,2.0,14,2025-01-20,2025-01-27,8,2.4296881300269124
20,4.0,14,2025-01-20,2025-01-27,8,2.430055551343728
20,1.0,28,2025-01-20,2025-01-27,8,2.4311588359903307
20,1.0,14,2025-01-20,2025-01-27,8,2.4316268643031913
20,2.0,28,2025-01-20,2025-01-27,8,2.431992007597085
20,4.0,21,2025-01-20,2025-01-27,8,2.432457439653533
10,1.0,21,2025-01-20,2025-01-27,8,2.4333006556535546
10,2.0,14,2025-01-20,2025-01-27,8,2.4343896961566247
20,1.0,45,2025-01-20,2025-01-27,8,2.4346267480058565
20,4.0,10,2025-01-20,2025-01-27,8,2.434709211550608
10,1.0,14,2025-01-20,2025-01-27,8,2.434744698781384
10,2.0,21,2025-01-20,2025-01-27,8,2.434947868193467
10,1.0,28,2025-01-20,2025-01-27,8,2.4350190134930356
20,0.5,21,2025-01-20,2025-01-27,8,2.435430382034594
20,2.0,10,2025-01-20,2025-01-27,8,2.435865174092395
20,4.0,28,2025-01-20,2025-01-27,8,2.435911664557328
20,2.0,45,2025-01-20,2025-01-27,8,2.436169283484851
20,0.5,28,2025-01-20,2025-01-27,8,2.4366800351042013
10,4.0,14,2025-01-20,2025-01-27,8,2.437191394989555
10,2.0,28,2025-01-20,2025-01-27,8,2.4376178704404468
20,0.5,14,2025-01-20,2025-01-27,8,2.437659387829836
10,1.0,45,2025-01-20,2025-01-27,8,2.438700048242591
20,1.0,10,2025-01-20,2025-01-27,8,2.4387128625113297
10,0.5,21,2025-01-20,2025-01-27,8,2.4389995476298303
10,2.0,10,2025-01-20,2025-01-27,8,2.439719568761271
20,0.5,45,2025-01-20,2025-01-27,8,2.4400785723102043
10,0.5,14,2025-01-20,2025-01-27,8,2.440254901919732
10,4.0,10,2025-01-20,2025-01-27,8,2.4404794719595357
10,0.5,28,2025-01-20,2025-01-27,8,2.44059703354709
10,4.0,21,2025-01-20,2025-01-27,8,2.4406559766555724
10,1.0,10,2025-01-20,2025-01-27,8,2.4413197661904213
20,4.0,45,2025-01-20,2025-01-27,8,2.4419445662813013
10,2.0,45,2025-01-20,2025-01-27,8,2.4419522124075956
10,0.5,45,2025-01-20,2025-01-27,8,2.4444060862575214
10,4.0,28,2025-01-20,2025-01-27,8,2.4444414476221628
20,0.5,10,2025-01-20,2025-01-27,8,2.4446032878337554
10,0.5,10,2025-01-20,2025-01-27,8,2.446712475087379
10,4.0,45,2025-01-20,2025-01-27,8,2.450985783884365
20,4.0,7,2025-01-20,2025-01-27,8,2.4527744331984023
20,2.0,7,2025-01-20,2025-01-27,8,2.4547829990505186
10,4.0,7,2025-01-20,2025-01-27,8,2.4568444217233254
10,2.0,7,2025-01-20,2025-01-27,8,2.4576050019475355
20,1.0,7,2025-01-20,2025-01-27,8,2.4585077934177617
10,1.0,7,2025-01-20,2025-01-27,8,2.4604706726581034
20,0.5,7,2025-01-20,2025-01-27,8,2.4643763868747404
10,0.5,7,2025-01-20,2025-01-27,8,2.46583024150401
5,0.5,28,2025-01-20,2025-01-27,8,2.471580136993096
5,1.0,28,2025-01-20,2025-01-27,8,2.471778001177604
5,2.0,28,2025-01-20,2025-01-27,8,2.4718321618294903
5,4.0,28,2025-01-20,2025-01-27,8,2.471846385026288
5,4.0,21,2025-01-20,2025-01-27,8,2.4718650345350706
5,2.0,21,2025-01-20,2025-01-27,8,2.4718736299256876
5,1.0,21,2025-01-20,2025-01-27,8,2.4719084162413187
5,0.5,21,2025-01-20,2025-01-27,8,2.4720567254397925
5,0.5,45,2025-01-20,2025-01-27,8,2.4727857644949234
5,1.0,45,2025-01-20,2025-01-27,8,2.4732171979492446
5,2.0,45,2025-01-20,2025-01-27,8,2.473326811114993
5,4.0,45,2025-01-20,2025-01-27,8,2.4733543250233785
5,4.0,14,2025-01-20,2025-01-27,8,2.4745825587151478
5,2.0,14,2025-01-20,2025-01-27,8,2.4746181964838474
5,1.0,14,2025-01-20,2025-01-27,8,2.474761588088894
5,0.5,14,2025-01-20,2025-01-27,8,2.4753531604295405
5,4.0,10,2025-01-20,2025-01-27,8,2.4808742566723847
5,2.0,10,2025-01-20,2025-01-27,8,2.480926656156326
5,1.0,10,2025-01-20,2025-01-27,8,2.481142103495972
5,0.5,10,2025-01-20,2025-01-27,8,2.4820243775262605
5,4.0,7,2025-01-20,2025-01-27,8,2.498234785087259
5,2.0,7,2025-01-20,2025-01-27,8,2.4983247143500367
5,1.0,7,2025-01-20,2025-01-27,8,2.4986840084886444
5,0.5,7,2025-01-20,2025-01-27,8,2.500119000492142
