date,residual_count,initial_soc_kwh,plan_proxy_objective,planned_cost,delta_00_06_kwh,delta_06_12_kwh,delta_12_18_kwh,delta_18_24_kwh,lambda_06_12,lambda_12_18,lambda_18_24,zero_scenario_score,selected_scenario_score,zero_scenario_full_objective,selected_scenario_full_objective,scenario_improvement,search_evaluations,calibration_seconds,calibration_method,accepted_search,solver_message,actual_emergency_cost,final_soc_kwh,day_seconds
2025-01-01,0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-495.06666666666666,-495.06666666666666,-495.06666666666666,-495.06666666666666,0.0,0,0.0,zero_plan_cold_start,False,1 January cold start,355796.33697628335,1200.0,0.020733999997901265
2025-01-02,0,1200.0,61064.50833353254,61559.57500119921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-495.06666666664006,-495.06666666664006,61064.50833453258,61064.50833453258,0.0,1,0.008909600001061335,zero_parameter_warmup,False,complete 21-day residual window not yet available,7455.74398587384,1365.1683916666666,0.06003650000275229
2025-01-03,0,1365.1683916666666,61388.297235285754,61883.363902952406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-495.0666666666522,-495.0666666666522,61388.297236285754,61388.297236285754,0.0,1,0.008322000001498964,zero_parameter_warmup,False,complete 21-day residual window not yet available,0.0,8232.36284203704,0.05356640000172774
2025-01-04,0,8232.36284203704,45611.178854656566,46106.24552232323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-495.0666666666567,-495.0666666666567,45611.17885565657,45611.17885565657,0.0,1,0.008410899998125387,zero_parameter_warmup,False,complete 21-day residual window not yet available,0.0,6132.5780348148155,0.05520930000056978
2025-01-05,0,6132.5780348148155,40410.393816242904,40905.46048390957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-495.06666666665905,-495.06666666665905,40410.39381724291,40410.39381724291,0.0,1,0.008935900001233676,zero_parameter_warmup,False,complete 21-day residual window not yet available,99359.33295666767,1200.0,0.05654309999954421
2025-01-06,0,1200.0,46281.478457828176,46776.54512549482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-495.06666666665467,-495.06666666665467,46281.47845882817,46281.47845882817,0.0,1,0.008302800000819843,zero_parameter_warmup,False,complete 21-day residual window not yet available,78530.03227783521,1200.0,0.05387699999846518
2025-01-07,0,1200.0,48590.12738867857,49085.19405634522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-495.0666666666614,-495.0666666666614,48590.127389678564,48590.127389678564,0.0,1,0.008362600001419196,zero_parameter_warmup,False,complete 21-day residual window not yet available,73773.04376177021,1200.0,0.055958400000236
2025-01-08,0,1200.0,50405.10253854549,50900.16920621215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-495.06666666664796,-495.06666666664796,50405.1025395455,50405.1025395455,0.0,1,0.00831079999989015,zero_parameter_warmup,False,complete 21-day residual window not yet available,49957.09398937634,1200.0,0.053706099999544676
2025-01-09,1,1200.0,59355.988006515996,59851.05467418264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-501.28172829569894,-501.28172829569894,59349.77294588694,59349.77294588694,0.0,1,0.008740500001295004,zero_parameter_warmup,False,complete 21-day residual window not yet available,10079.39148680114,1387.7577857142858,0.052757500001462176
2025-01-10,2,1387.7577857142858,60817.49006551444,61312.556733181074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.694875881136056,-62.694875881136056,61249.86185729994,61249.86185729994,0.0,1,0.008325800001330208,zero_parameter_warmup,False,complete 21-day residual window not yet available,0.0,8058.217559587299,0.052970500000810716
2025-01-11,3,8058.217559587299,56871.71901535507,57366.78568302174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.5750878872653,113.5750878872653,57480.36077090901,57480.36077090901,0.0,1,0.008345799997186987,zero_parameter_warmup,False,complete 21-day residual window not yet available,0.0,7569.920097640213,0.05406819999916479
2025-01-12,4,7569.920097640213,56325.181872628484,56820.24854029512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0109065064856,671.0109065064856,57491.2594468016,57491.2594468016,0.0,1,0.008352899996680208,zero_parameter_warmup,False,complete 21-day residual window not yet available,9359.706374577405,1232.0313857142858,0.05755289999797242
2025-01-13,5,1232.0313857142858,60520.00659686275,61015.073264529434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-606.5353830496259,-606.5353830496259,60408.53788147981,60408.53788147981,0.0,1,0.009041999997862149,zero_parameter_warmup,False,complete 21-day residual window not yet available,2227.416730957608,1204.9717285714287,0.05424669999774778
2025-01-14,6,1204.9717285714287,60379.58273152493,60874.6493991916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-485.35231948530185,-485.35231948530185,60389.297079706295,60389.297079706295,0.0,1,0.008351499996933853,zero_parameter_warmup,False,complete 21-day residual window not yet available,2087.110531022374,1243.8788093386254,0.05333909999899333
2025-01-15,7,1243.8788093386254,60158.44568913229,60653.512356798965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-417.6684280862837,-417.6684280862837,60235.84392871268,60235.84392871268,0.0,1,0.008513999997376231,zero_parameter_warmup,False,complete 21-day residual window not yet available,5605.350728928533,1546.1883462857145,0.054163600001629675
2025-01-16,8,1546.1883462857145,60490.312363964156,60985.37903163084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-544.1912208311737,-544.1912208311737,60441.18781079966,60441.18781079966,0.0,1,0.00884560000122292,zero_parameter_warmup,False,complete 21-day residual window not yet available,4120.860947677662,1641.9423664920616,0.05517200000031153
2025-01-17,9,1641.9423664920616,60446.278868286405,60941.345535953056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-448.70935348247184,-448.70935348247184,60492.63618247058,60492.63618247058,0.0,1,0.008846700002322905,zero_parameter_warmup,False,complete 21-day residual window not yet available,0.0,8384.506481560844,0.05457939999905648
2025-01-18,10,8384.506481560844,56620.51812947036,57115.584797137024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-466.1562332630039,-466.1562332630039,56649.42856387402,56649.42856387402,0.0,1,0.008474099999148166,zero_parameter_warmup,False,complete 21-day residual window not yet available,0.0,8175.322671216934,0.05358189999969909
2025-01-19,11,8175.322671216934,56215.688461548954,56710.75512921563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.0153202535517,-400.0153202535517,56310.73980896208,56310.73980896208,0.0,1,0.00846349999847007,zero_parameter_warmup,False,complete 21-day residual window not yet available,3688.6999788366834,1635.747106825397,0.053752399999211775
2025-01-20,12,1635.747106825397,59484.46824123062,59979.53490889729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-608.2979339868028,-608.2979339868028,59371.236974910484,59371.236974910484,0.0,1,0.008466399998724228,zero_parameter_warmup,False,complete 21-day residual window not yet available,2791.1666696990487,1859.4975362275136,0.054149299998243805
2025-01-21,13,1859.4975362275136,59442.258779568256,59937.325447234936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-523.5072248823818,-523.5072248823818,59413.81822235255,59413.81822235255,0.0,1,0.008846099997754209,zero_parameter_warmup,False,complete 21-day residual window not yet available,369.1947701095214,1938.3766254179895,0.057500499999150634
2025-01-22,14,1938.3766254179895,58722.747483526204,59217.814151192906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-394.43470304432174,-394.43470304432174,58823.37944814858,58823.37944814858,0.0,1,0.0084924000002502,zero_parameter_warmup,False,complete 21-day residual window not yet available,4880.4427222932445,1364.0007896772493,0.05754220000017085
2025-01-23,15,1364.0007896772493,59152.36501809195,59647.43168575864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-504.4765555935844,-504.4765555935844,59142.95513016506,59142.95513016506,0.0,1,0.008916200000385288,zero_parameter_warmup,False,complete 21-day residual window not yet available,6191.843904429945,1718.4262108306912,0.054945200001384364
2025-01-24,16,1718.4262108306912,59183.78174192754,59678.848409594226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-355.2269686101147,-355.2269686101147,59323.62144098411,59323.62144098411,0.0,1,0.00848010000117938,zero_parameter_warmup,False,complete 21-day residual window not yet available,0.0,8568.962199285716,0.05443039999954635
2025-01-25,17,8568.962199285716,55512.157012326694,56007.22367999337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-422.7380066189501,-422.7380066189501,55584.48567337442,55584.48567337442,0.0,1,0.008500899999489775,zero_parameter_warmup,False,complete 21-day residual window not yet available,0.0,8162.440947534392,0.05523139999786508
2025-01-26,18,8162.440947534392,55078.4652639753,55573.53193164198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-504.29866753211485,-504.29866753211485,55069.23326410986,55069.23326410986,0.0,1,0.008892899997590575,zero_parameter_warmup,False,complete 21-day residual window not yet available,1628.9898900499657,1603.0287608783099,0.05546440000034636
2025-01-27,19,1603.0287608783099,58187.080769826505,58682.14743749317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-649.3297126079254,-649.3297126079254,58032.817724885244,58032.817724885244,0.0,1,0.010302800001227297,zero_parameter_warmup,False,complete 21-day residual window not yet available,771.8332560831002,1412.248113989419,0.0567272000007506
2025-01-28,20,1412.248113989419,57753.34675399811,58248.41342166478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-536.3966398097211,-536.3966398097211,57712.01678185506,57712.01678185506,0.0,1,0.008501399999659043,zero_parameter_warmup,False,complete 21-day residual window not yet available,1812.2281116855831,1587.3041434444447,0.05253380000067409
2025-01-29,21,1587.3041434444447,58129.2355712698,58624.30223893647,-3241.269462106409,-3675.8958269042623,-204.74879875801122,-1919.457952411614,-0.9481857695032105,0.07528995037635733,0.015879119047827128,-624.3807785152488,-1114.0039109126694,57999.921460421225,57510.298328023804,489.6231323974206,316,0.1542303999995056,differential_evolution_bounded_direct_search,True,Maximum number of iterations has been exceeded.,0.0,1772.1539938095234,0.19980980000036652
2025-01-30,21,1772.1539938095234,57103.317058299996,57598.383725966705,-8448.415378196294,-6359.544970849289,-131.26172707814803,-2672.081089305959,1.7822908314295018,-1.0017655641654484,1.1193208324589516,-633.317872937887,-1089.2590196045385,56965.06585302882,56509.12470636217,455.94114666665143,316,0.14677900000242516,differential_evolution_bounded_direct_search,True,Maximum number of iterations has been exceeded.,550.9037813257038,1656.4625006613755,0.2392247000025236
