date,grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,planned_cost,emergency_cost,total_cost,soc_start_kwh,soc_end_kwh
2025-02-01,80504.93625828314,6315.4413888196095,5073.118538753407,0.0,44884.437474883605,52672.28331622334,0.0,52672.28331622334,9840.698694973547,9887.797568518517
2025-02-02,79879.01175046503,13158.573422199994,17755.26510764867,0.0,6119.425485913704,52234.88209152785,0.0,52234.88209152785,9887.797568518517,2002.441306666663
2025-02-03,87236.63932281203,22512.79217341889,18456.422579493104,0.0,2963.3532288862393,55059.05187460226,0.0,55059.05187460226,2002.441306666663,1756.818063306876
2025-02-04,86919.3970216111,23710.37171069149,19516.32141062654,0.0,1530.4827715461624,54766.56839605635,0.0,54766.56839605635,1756.818063306876,1411.3510355663975
2025-02-05,86461.28586783216,24377.902160005586,19511.78140592229,0.0,846.738130415536,54364.217718203385,0.0,54364.217718203385,1411.3510355663975,1671.7058618799967
2025-02-06,86122.16537867121,23281.274547196528,18855.460471457674,1.2461595238095242,1426.5402457895016,54212.03153273903,7.238317594047621,54219.269850333076,1671.7058618799967,1674.3413194039063
2025-02-07,85656.46885842601,16383.758994130878,6182.236698957625,0.0,43649.266896586094,53771.5733756712,0.0,53771.5733756712,1674.3413194039063,9550.572526391006
2025-02-08,75852.35551124517,6810.294234042036,5535.2698087169065,0.0,43000.16836925337,49344.472715722004,0.0,49344.472715722004,9550.572526391006,9529.537549565606
2025-02-09,75468.6673715647,15341.918747575843,19661.748793883577,0.0,233.08145120576788,49074.153664536665,0.0,49074.153664536665,9529.537549565606,1490.8768736243383
2025-02-10,84586.57981249942,21029.263019282775,17183.97733642533,0.0,6414.656546308634,52967.9074061955,0.0,52967.9074061955,1490.8768736243383,1323.9054393951355
2025-02-11,83834.03472387245,22576.687021211183,18243.210481095233,0.0,4279.96105042316,52386.82658161561,0.0,52386.82658161561,1323.9054393951355,1372.6898906016104
2025-02-12,82901.19200301377,22815.32386830559,18493.655543368972,0.0,3312.7875447438228,51732.545133012376,0.0,51732.545133012376,1372.6898906016104,1357.9752127777779
2025-02-13,81866.58422190358,20856.51156255144,16694.70231580952,0.0,6375.295958495001,51005.43765379863,0.0,51005.43765379863,1357.9752127777779,1579.1663792857134
2025-02-14,79992.32529931571,16251.616807407412,5798.329894952379,0.0,39737.236570194,49779.261364111844,0.0,49779.261364111844,1579.1663792857134,9763.03273378307
2025-02-15,70576.70998863374,6974.0699953350895,5989.354108523809,0.0,40311.903001822466,45633.99717583042,0.0,45633.99717583042,9763.03273378307,9384.85783122487
2025-02-16,70657.50461418518,14528.920708280415,19065.034054999996,373.3186748095235,189.55753571428556,45524.94874331673,1719.3342981102126,47244.28304142694,9384.85783122487,1277.5152964550252
2025-02-17,78746.56211055115,21346.955152880655,17276.20741955967,0.0,3491.951210563497,48811.22942610348,0.0,48811.22942610348,1277.5152964550252,1293.988912314653
