date,interval,emergency_kwh
2025-02-01,无,0.0
2025-02-02,无,0.0
2025-02-03,无,0.0
2025-02-04,无,0.0
2025-02-05,无,0.0
2025-02-06,无,0.0
2025-02-07,无,0.0
2025-02-08,无,0.0
2025-02-09,20:50-21:00,53.88908893951916
2025-02-09,21:20-21:50,40.40068583333304
2025-02-10,无,0.0
2025-02-11,20:50-21:50,104.3455726925375
2025-02-12,无,0.0
2025-02-13,无,0.0
2025-02-14,无,0.0
2025-02-15,20:50-21:50,301.2080148992878
2025-02-15,23:00-23:20,51.83326600000034
2025-02-15,23:40-24:00,37.58971666666618
2025-02-16,10:40-11:00,223.63148935713787
2025-02-16,21:10-21:20,5.665200047613439
2025-02-16,21:30-22:00,48.028600000000004
2025-02-17,无,0.0
2025-02-18,无,0.0
2025-02-19,06:20-06:30,36.23624999999993
2025-02-19,10:20-10:40,54.04058666667284
2025-02-19,14:50-15:00,114.2729389179108
2025-02-19,15:50-16:10,10.826800000000048
2025-02-19,16:40-16:50,1.1860736919481951
2025-02-19,17:20-17:40,16.4256380952379
2025-02-19,17:50-18:00,8.208333333333371
2025-02-19,18:40-19:00,53.11362426043102
2025-02-19,20:20-21:10,462.8586833333328
2025-02-19,21:50-22:10,58.63023022333296
2025-02-19,23:50-24:00,41.178675999999975
2025-02-20,无,0.0
2025-02-21,无,0.0
2025-02-22,08:00-08:20,86.2973842363273
2025-02-23,无,0.0
2025-02-24,06:10-06:20,0.0029000000000678483
2025-02-24,21:50-22:10,12.710708500004714
2025-02-25,06:20-06:30,19.031130952380977
2025-02-26,16:20-16:30,5.277701800176551
2025-02-26,16:50-17:10,46.171234030863346
2025-02-26,17:30-17:50,25.301084333331595
2025-02-27,09:50-10:20,247.69392961904444
2025-02-28,无,0.0
2025-03-01,21:00-21:20,42.35254647619011
2025-03-02,13:00-15:00,2833.0245666666665
2025-03-02,15:20-15:30,5.5463095238096685
2025-03-02,15:40-16:00,47.867096761904634
2025-03-02,16:30-16:50,64.78069761904749
2025-03-02,17:00-19:00,542.9567015752464
2025-03-02,20:40-21:00,88.7136166666669
2025-03-02,21:20-21:40,41.78418096913569
2025-03-03,10:00-10:40,360.3499477619052
2025-03-03,13:40-15:00,1322.9122016904803
2025-03-03,15:20-15:40,156.87467619047675
2025-03-03,15:50-16:40,360.0958095238095
2025-03-03,16:50-17:00,2.217857142857042
2025-03-03,17:10-17:20,9.180647619047818
2025-03-03,18:10-19:00,350.96238343405054
2025-03-03,20:20-21:30,220.66850548442903
2025-03-03,21:50-22:00,12.814544999999862
2025-03-04,无,0.0
2025-03-05,无,0.0
2025-03-06,无,0.0
2025-03-07,无,0.0
2025-03-08,07:20-07:50,296.8991773457956
2025-03-09,无,0.0
2025-03-10,09:50-10:20,63.79459792857196
2025-03-10,14:40-15:00,317.2464721364262
2025-03-10,20:20-20:40,51.05199855404726
2025-03-11,16:40-17:00,67.28740167636715
2025-03-11,17:40-17:50,7.828740209759189
2025-03-11,18:20-18:40,8.900909619053003
2025-03-11,20:50-21:00,0.032146571428825155
2025-03-12,18:50-19:00,9.514085437145582
2025-03-12,20:20-20:40,23.14368333333266
2025-03-12,20:50-21:00,70.98626666666655
2025-03-12,23:20-23:30,24.165882166666485
2025-03-13,10:00-11:00,636.690239095233
2025-03-13,13:00-13:40,140.2864833333333
2025-03-13,14:00-15:00,548.4817499999999
2025-03-13,16:50-17:20,129.1079000476186
2025-03-13,20:20-21:00,273.38514316137014
2025-03-13,22:00-22:10,12.569379500000355
2025-03-14,07:20-07:50,114.6858100238093
2025-03-15,07:20-07:50,167.62880130952243
2025-03-16,无,0.0
2025-03-17,无,0.0
2025-03-18,09:10-10:00,268.18783738565094
2025-03-19,无,0.0
2025-03-20,16:40-17:00,19.7807523809495
2025-03-20,17:20-17:30,1.6326009550269625
2025-03-21,07:10-07:40,226.99160832118946
2025-03-22,无,0.0
2025-03-23,无,0.0
2025-03-24,无,0.0
2025-03-25,10:10-10:40,91.12196623809584
2025-03-25,15:00-15:10,35.056261904761755
2025-03-25,15:40-15:50,13.30573809523844
2025-03-25,16:00-17:00,191.54333571428674
2025-03-25,17:50-18:20,24.186221428571457
2025-03-25,18:30-19:00,92.68303086949433
2025-03-25,20:20-21:50,495.8909911543202
2025-03-26,无,0.0
2025-03-27,无,0.0
2025-03-28,无,0.0
2025-03-29,20:50-21:20,123.49894223808928
2025-03-29,21:40-22:00,47.77026433333333
2025-03-30,无,0.0
2025-03-31,15:50-16:00,8.95112862737526
2025-03-31,16:20-17:10,188.15549916666498
2025-03-31,20:50-21:00,59.04039378571711
2025-03-31,21:30-22:00,64.21609316666692
2025-04-01,14:30-15:00,281.579166666667
2025-04-01,15:20-15:30,48.576369047618755
2025-04-01,16:10-16:30,12.256359476194234
2025-04-01,17:00-18:30,168.55165476190348
2025-04-01,18:40-19:00,215.3173286190463
2025-04-01,19:20-19:30,327.72432249999383
2025-04-01,20:20-21:00,909.1867833333334
2025-04-01,21:40-21:50,13.916363000000203
2025-04-02,08:40-10:20,1502.7195235952436
2025-04-02,14:50-15:00,47.08749999999998
2025-04-02,18:00-19:00,415.2264814047617
2025-04-02,20:20-21:00,276.33726331441983
2025-04-02,21:50-22:00,21.080071666666573
2025-04-03,无,0.0
2025-04-04,无,0.0
2025-04-05,无,0.0
2025-04-06,无,0.0
2025-04-07,无,0.0
2025-04-08,20:30-21:20,98.4929040238004
2025-04-08,23:00-23:20,19.650564843333292
2025-04-08,23:30-24:00,84.15583333333375
2025-04-09,14:10-15:10,378.4137333333331
2025-04-09,15:20-16:00,203.22567619047584
2025-04-09,16:10-16:30,40.64306654761447
2025-04-09,17:00-17:20,42.95900000000029
2025-04-09,18:00-19:00,338.085778892952
2025-04-09,19:20-19:30,217.71175589427895
2025-04-09,20:20-21:00,783.5430499999991
2025-04-10,20:40-21:00,32.29819227262101
2025-04-10,21:40-22:00,93.60073583333269
2025-04-11,无,0.0
2025-04-12,无,0.0
2025-04-13,无,0.0
2025-04-14,无,0.0
2025-04-15,无,0.0
2025-04-16,14:30-15:00,128.75018497412967
2025-04-16,15:10-15:30,17.837026190476422
2025-04-16,16:00-16:10,13.353187547621758
2025-04-16,17:50-18:10,19.476176523812
2025-04-16,18:30-19:00,315.6569689197592
2025-04-16,21:00-21:50,119.77106833333251
2025-04-17,无,0.0
2025-04-18,02:50-03:00,16.687919809525347
2025-04-19,07:20-07:30,7.101102449565655
2025-04-20,无,0.0
2025-04-21,无,0.0
2025-04-22,无,0.0
2025-04-23,无,0.0
2025-04-24,无,0.0
2025-04-25,无,0.0
2025-04-26,17:30-17:50,33.66279523809357
