date,block,charge_kwh,discharge_kwh,time,soc_kwh
2025-03-20,0:00-4:00,7501.3272,282.85654591622654,0:00,2159.84422166852
2025-03-20,4:00-8:00,1837.784457142857,4618.475270952379,24:00,1645.6782365902434
2025-03-20,8:00-12:00,5555.141892857142,2777.3772166666668,,
2025-03-20,12:00-16:00,4723.297294485938,604.8011071428567,,
2025-03-20,16:00-20:00,137.92806969756475,4817.352838047621,,
2025-03-20,20:00-24:00,501.49302674897154,3770.0336800000014,,
2025-06-21,0:00-4:00,928.1261166666673,183.79178095238092,0:00,5537.559081063876
2025-06-21,4:00-8:00,371.6518428571431,2244.96799445749,24:00,6075.382585212084
2025-06-21,8:00-12:00,7545.847475602584,0.0,,
2025-06-21,12:00-16:00,0.0,0.0,,
2025-06-21,16:00-20:00,0.0,3578.2049071428573,,
2025-06-21,20:00-24:00,2418.3106141392323,2632.7823636190465,,
2025-09-23,0:00-4:00,8762.860880129338,0.0,0:00,1510.1638318518517
2025-09-23,4:00-8:00,1719.8899697530874,5306.266842571429,24:00,1826.7993881481484
2025-09-23,8:00-12:00,4187.657972166959,1896.6157166666667,,
2025-09-23,12:00-16:00,5130.879432473837,764.9932761904764,,
2025-09-23,16:00-20:00,280.45119171428917,5208.36627216667,,
2025-09-23,20:00-24:00,861.235752880659,3502.595803023806,,
2025-12-21,0:00-4:00,9194.627980794496,34.06703333333337,0:00,1802.3621894278122
2025-12-21,4:00-8:00,1709.943735655494,700.7620274761894,24:00,2001.018534708995
2025-12-21,8:00-12:00,5175.998914285715,6455.198624595237,,
2025-12-21,12:00-16:00,5824.755044973541,2455.4120824047586,,
2025-12-21,16:00-20:00,33.1811522633729,4747.9739105952385,,
2025-12-21,20:00-24:00,514.5643726337441,3614.783283333333,,
