date,same_plan_greedy_emergency_cost,same_plan_greedy_final_soc,value_policy_final_soc
2025-01-01,355796.3369762831,1200.0,1200.0
2025-01-02,94207.38343052263,1280.469735,1280.469735
2025-01-03,0.0,7492.639420925928,7492.639420925928
2025-01-04,0.0,7070.198499444443,7070.198499444443
2025-01-05,88190.94391157034,1200.0,1200.0
2025-01-06,85511.63598794228,1210.9960800000001,1210.9960800000001
2025-01-07,98212.34416689354,1200.0,1200.0
2025-01-08,2046.3879207049672,1576.1936270370377,1576.1936270370377
2025-01-09,11919.991068007432,1260.4985999999997,1260.4985999999997
2025-01-10,5361.357375019614,1302.7073844444442,1302.7073844444442
2025-01-11,138.68507665624415,1351.4897090740733,1351.4897090740733
2025-01-12,0.0,1364.628534002871,1364.628534002871
2025-01-13,357.94010007635654,1200.0,1200.0
2025-01-14,1912.2762928500342,1200.0,1200.0
2025-01-15,6606.838186342753,1374.261539416666,1374.261539416666
2025-01-16,1783.987237940677,1449.998018782415,1449.998018782415
2025-01-17,0.0,1361.163035896206,1361.163035896206
2025-01-18,0.0,1338.7448442969985,1338.7448442969985
2025-01-19,3780.6088386558354,1346.4759613076712,1346.4759613076712
2025-01-20,0.0,1837.0959051472976,1837.0959051472976
2025-01-21,0.0,2163.3506851863635,2163.3506851863635
2025-01-22,1476.3026756779464,1224.7244296038834,1224.7244296038834
2025-01-23,7614.320002277892,1461.2666011814813,1461.2666011814813
2025-01-24,0.0,1861.7429499383281,1861.7429499383281
2025-01-25,0.0,1744.893179126989,1744.893179126989
2025-01-26,3412.6685459473133,1430.676353109281,1430.676353109281
2025-01-27,51.881966447236465,1554.5370797709752,1554.5370797709752
2025-01-28,5315.463436862211,1311.5654983333327,1311.5654983333327
2025-01-29,0.0,2256.06977568783,2256.06977568783
2025-01-30,0.0,1519.9889346733291,1519.9889346733291
2025-01-31,0.0,1738.0002563023834,1738.0002563023834
2025-02-01,0.0,2234.918985946828,2234.918985946828
2025-02-02,0.0,2280.091937343071,2280.091937343071
2025-02-03,0.0,2196.8451399960777,2196.8451399960777
2025-02-04,0.0,2217.4732870870357,2217.4732870870357
2025-02-05,0.0,1945.5449423121688,1945.5449423121688
2025-02-06,0.0,2194.2056854988587,2194.2056854988587
2025-02-07,0.0,1823.5958865383113,1823.5958865383113
2025-02-08,0.0,1547.4504729521157,1547.4504729521157
2025-02-09,519.7910808260293,1318.3691923129627,1318.3691923129627
2025-02-10,0.0,1446.2862203968248,1446.2862203968248
2025-02-11,501.89618255462955,1452.1322334362142,1452.1322334362142
2025-02-12,0.0,1458.725696557906,1458.725696557906
2025-02-13,0.0,1512.0218423809513,1512.0218423809513
2025-02-14,0.0,1258.3371702734057,1258.3371702734057
2025-02-15,1629.8097399848255,1200.0,1200.0
2025-02-16,1258.9672110237952,1317.8904017989457,1317.8904017989457
2025-02-17,0.0,1477.108017801945,1477.108017801945
2025-02-18,0.0,1657.8920862819234,1657.8920862819234
2025-02-19,5276.648065722857,1200.0,1200.0
2025-02-20,0.0,1480.0295527417975,1480.0295527417975
2025-02-21,0.0,1599.1932837566098,1599.1932837566098
2025-02-22,502.5868323867072,1423.3011779222204,1423.3011779222204
2025-02-23,0.0,1518.1295716745042,1518.1295716745042
2025-02-24,35.52967774701868,1477.8115477777778,1477.8115477777778
2025-02-25,83.3373224404763,1410.8823152449716,1410.8823152449716
2025-02-26,0.0,1671.4782433305925,1756.756043513228
2025-02-27,1206.6843370956512,1634.8219478571464,1634.8219478571464
2025-02-28,0.0,1601.7367717991617,1601.7367717991617
2025-03-01,195.20094845790308,1413.7701837037037,1413.7701837037037
2025-03-02,24451.595469554908,1370.0636877248685,1370.0636877248685
2025-03-03,18168.200215751967,1390.1671892592603,1390.1671892592603
2025-03-04,0.0,1532.9222180423285,1532.9222180423285
2025-03-05,0.0,1455.8665413227518,1455.8665413227518
2025-03-06,0.0,1417.9985227513246,1417.9985227513246
2025-03-07,0.0,1651.339182592594,1651.339182592594
2025-03-08,1077.4027679670073,1777.6062526719568,1777.6062526719568
2025-03-09,0.0,1595.146137248678,1595.146137248678
2025-03-10,2846.6802386426516,1382.8519538095215,1388.8523612169288
2025-03-11,550.3832557824026,1587.2410441883871,1587.2410441883871
2025-03-12,707.3440714028583,1254.77268,1254.77268
2025-03-13,10569.267669524037,1387.9787129629633,1387.9787129629633
2025-03-14,430.8791721632372,1632.1038463939271,1632.1038463939271
2025-03-15,631.6287151447564,1207.3677241005312,1207.3677241005312
2025-03-16,0.0,1710.1691910675981,1710.1691910675981
2025-03-17,0.0,2033.8667734391577,2033.8667734391577
2025-03-18,1299.4039236594333,1586.1516240528467,1586.1516240528467
2025-03-19,0.0,2159.84422166852,2159.84422166852
2025-03-20,0.0,1621.885621772493,1645.6782365902434
2025-03-21,907.398322000866,1490.605045963227,1490.605045963227
2025-03-22,0.0,2229.4537685185182,2229.4537685185182
2025-03-23,0.0,1565.4475276980356,1565.4475276980356
2025-03-24,0.0,1558.7367393915363,1558.7367393915363
2025-03-25,6008.816459962109,1334.7209172537032,1334.7209172537032
2025-03-26,0.0,1536.398515264553,1536.398515264553
2025-03-27,0.0,1399.8716926190448,1399.8716926190448
2025-03-28,0.0,1885.1064011701742,1885.1064011701742
2025-03-29,956.5346296744635,1463.494445555555,1463.494445555555
2025-03-30,0.0,1838.8828750264502,1838.8828750264502
2025-03-31,2004.4955745728057,1635.5524487037028,1635.5524487037028
2025-04-01,13442.530875565044,1576.6634142592584,1576.6634142592584
2025-04-02,12744.23534404963,1500.6394809259255,1500.6394809259255
2025-04-03,0.0,1710.8943001960683,1710.8943001960683
2025-04-04,0.0,1841.5477148462933,1841.5477148462933
2025-04-05,0.0,1492.5237835824416,1492.5237835824416
2025-04-06,0.0,1556.537439365081,1556.537439365081
2025-04-07,0.0,1387.0006313465967,1387.0006313465967
2025-04-08,840.3064744656343,1200.0,1200.0
2025-04-09,13652.424338428,1260.4238772222216,1260.4238772222216
2025-04-10,628.2023501658845,1571.4112316666665,1571.4112316666665
2025-04-11,0.0,1612.568713433858,1612.568713433858
