date,same_plan_initial_soc_kwh,planned_cost,ldr_emergency_cost,beta1_emergency_cost,beta0_emergency_cost,ldr_total_cost,beta1_total_cost,beta0_total_cost,ldr_final_soc_kwh,beta1_final_soc_kwh,beta0_final_soc_kwh
2025-01-01,6000.0,0.0,355796.33697628335,355796.33697628335,355796.33697628335,355796.33697628335,355796.33697628335,355796.33697628335,1200.0,1200.0,1200.0
2025-01-02,1200.0,61559.57500119921,7455.74398587384,7455.74398587384,7426.343455158609,69015.31898707306,69015.31898707306,68985.91845635782,1365.1683916666666,1365.1683916666666,1365.1683916666666
2025-01-03,1365.1683916666666,61883.363902952406,0.0,0.0,0.0,61883.363902952406,61883.363902952406,61883.363902952406,8232.36284203704,8232.36284203704,8232.36284203704
2025-01-04,8232.36284203704,46106.24552232323,0.0,0.0,0.0,46106.24552232323,46106.24552232323,46106.24552232323,6132.5780348148155,6132.5780348148155,6132.5780348148155
2025-01-05,6132.5780348148155,40905.46048390957,99359.33295666767,99359.33295666767,123797.1934048863,140264.79344057722,140264.79344057722,164702.65388879587,1200.0,1200.0,1200.0
2025-01-06,1200.0,46776.54512549482,78530.03227783521,78530.03227783521,96546.02828997045,125306.57740333004,125306.57740333004,143322.57341546527,1200.0,1200.0,1200.0
2025-01-07,1200.0,49085.19405634522,73773.04376177021,73773.04376177021,92463.62602198569,122858.23781811543,122858.23781811543,141548.82007833093,1200.0,1200.0,1200.0
2025-01-08,1200.0,50900.16920621215,49957.09398937634,49957.09398937634,61672.867921376455,100857.26319558849,100857.26319558849,112573.03712758861,1200.0,1200.0,1200.0
2025-01-09,1200.0,59851.05467418264,10079.39148680114,10079.39148680114,14045.460894597518,69930.44616098377,69930.44616098377,73896.51556878016,1387.7577857142858,1387.7577857142858,1387.7577857142858
2025-01-10,1387.7577857142858,61312.556733181074,0.0,0.0,0.0,61312.556733181074,61312.556733181074,61312.556733181074,8058.217559587299,8058.217559587299,8058.217559587299
2025-01-11,8058.217559587299,57366.78568302174,0.0,0.0,0.0,57366.78568302174,57366.78568302174,57366.78568302174,7569.920097640213,7569.920097640213,7569.920097640213
2025-01-12,7569.920097640213,56820.24854029512,9359.706374577405,9359.706374577405,9247.139305998056,66179.95491487252,66179.95491487252,66067.38784629318,1232.0313857142858,1232.0313857142858,1232.0313857142858
2025-01-13,1232.0313857142858,61015.073264529434,2227.416730957608,2227.416730957608,1338.3871339110863,63242.48999548704,63242.48999548704,62353.46039844052,1204.9717285714287,1204.9717285714287,1204.9717285714287
2025-01-14,1204.9717285714287,60874.6493991916,2087.110531022374,2087.110531022374,778.643830522622,62961.75993021397,62961.75993021397,61653.293229714225,1243.8788093386254,1243.8788093386254,1225.1364230952388
2025-01-15,1243.8788093386254,60653.512356798965,5605.350728928533,5605.350728928533,5989.233747022556,66258.8630857275,66258.8630857275,66642.74610382153,1546.1883462857145,1546.1883462857145,1546.1883462857145
2025-01-16,1546.1883462857145,60985.37903163084,4120.860947677662,4120.860947677662,3010.4787127125524,65106.2399793085,65106.2399793085,63995.85774434339,1641.9423664920616,1641.9423664920616,1612.9256174338627
2025-01-17,1641.9423664920616,60941.345535953056,0.0,0.0,0.0,60941.345535953056,60941.345535953056,60941.345535953056,8384.506481560844,8384.506481560844,8384.506481560844
2025-01-18,8384.506481560844,57115.584797137024,0.0,0.0,0.0,57115.584797137024,57115.584797137024,57115.584797137024,8175.322671216934,8175.322671216934,8175.322671216934
2025-01-19,8175.322671216934,56710.75512921563,3688.6999788366834,3688.6999788366834,3218.421515264523,60399.45510805231,60399.45510805231,59929.17664448015,1635.747106825397,1635.747106825397,1473.39903010582
2025-01-20,1635.747106825397,59979.53490889729,2791.1666696990487,2791.1666696990487,1058.919405315929,62770.70157859634,62770.70157859634,61038.45431421322,1859.4975362275136,1859.4975362275136,1772.9961314656111
2025-01-21,1859.4975362275136,59937.325447234936,369.1947701095214,369.1947701095214,0.0,60306.520217344456,60306.520217344456,59937.325447234936,1938.3766254179895,1938.3766254179895,1938.3766254179895
2025-01-22,1938.3766254179895,59217.814151192906,4880.4427222932445,4880.4427222932445,4655.198263815952,64098.25687348615,64098.25687348615,63873.01241500886,1364.0007896772493,1364.0007896772493,1364.0007896772493
2025-01-23,1364.0007896772493,59647.43168575864,6191.843904429945,6191.843904429945,6806.909481771471,65839.27559018858,65839.27559018858,66454.3411675301,1718.4262108306912,1718.4262108306912,1569.2869875502656
