month,planned_cost,emergency_cost,total_cost,emergency_kwh,load_kwh,pv_kwh,unused_kwh
2,1389970.765436396,10067.8474299578,1400038.6128663537,2009.0352195313017,3035354.465016667,1321474.79295,413602.40124859306
3,1265385.8808432743,67603.69230709187,1332989.573150366,13050.725783897973,3240640.052583333,1714322.3861166667,458628.5647892034
4,1045465.0425746215,78859.55961504091,1124324.6021896624,12969.806518031635,3162943.295316667,1945213.6963166667,433703.5863998578
5,1095509.236241545,45174.33711671981,1140683.573358265,7939.515043724707,3274848.248,2088037.7830333333,494800.95747525524
6,1445631.6840578965,194772.7053011798,1640404.3893590763,39262.813587470264,3456268.2932,1706275.1270166666,491919.41481406975
7,1576060.1559164696,113059.07422155645,1689119.230138026,23508.81698371678,3970920.4401166667,2026101.1806,448218.6349497394
8,1428505.4944850889,58680.03942954338,1487185.5339146322,10117.07218538095,3753611.72545,2169498.861183333,547743.3180922479
9,1214103.6574571314,51890.44120481161,1265994.0986619429,9533.87528752985,3265855.5116333333,1877471.6443833334,443440.59139222925
10,1268050.3580783384,52412.797294810975,1320463.1553731493,10208.013858293587,3234182.50155,1759048.9105166667,470897.9395213664
11,1472387.1683439794,12544.424614399346,1484931.5929583788,2324.286124934217,3123123.369616667,1335150.9616333332,447025.265544508
12,1865377.5539486639,67556.70123529834,1932934.2551839622,15517.717707074033,3490331.5867666667,1126294.6505333334,436740.46586470364
