date,grid_kwh,charge_kwh,discharge_kwh,unused_kwh,total_cost,soc_start_kwh,soc_end_kwh
2025-02-01,38070.49756402117,19107.798980687836,15415.47735,2.9345414986892138e-12,19898.04131942106,8481.289084047618,8550.0
2025-02-02,82818.67680699589,23486.309773662553,19023.910916666668,2.2168933355715126e-12,51437.55301985227,8550.0,8550.000000000002
2025-02-03,84724.77799794238,23725.586831275716,19217.725333333332,2.1600499167107046e-12,52683.50883835836,8550.000000000002,8550.0
2025-02-04,85891.4303164609,24718.77034979424,20022.203983333333,3.410605131648481e-13,53651.71301347296,8550.0,8550.0
2025-02-05,85397.14814403292,24466.953477366253,19818.23231666667,4.320099833421409e-12,53050.173396840924,8550.0,8550.0
2025-02-06,84173.2390845679,23379.904567901234,19477.722700000002,1.0373923942097463e-12,52437.87793646556,8550.0,7950.0
2025-02-07,36410.44905823046,18404.949341563788,15532.916516666664,1732.736566666668,19044.604587269816,7950.0,7255.6582777777785
2025-02-08,37467.619300000006,19666.666666666664,14765.092449999996,988.8823666666694,19418.747556943337,7255.6582777777785,8550.0
2025-02-09,84085.1855866255,23840.892736625512,19311.12311666667,3.410605131648481e-13,52157.06258989263,8550.0,8550.0
2025-02-10,78819.63965979424,23647.37934979424,19154.37727333333,3.410605131648481e-13,48396.3396231825,8550.0,8550.0
2025-02-11,79669.19699121811,23413.683462551442,18965.083604666666,5.684341886080801e-13,49216.165416407974,8550.0,8550.0
2025-02-12,79766.03361470989,23680.513059876546,19181.2155785,1.900701818158268e-13,49397.42404586927,8550.0,8550.000000000002
2025-02-13,73911.72886728395,21428.478950617282,18846.2291,2.5011104298755527e-12,45450.57726189914,8550.000000000002,6895.3765
2025-02-14,34965.52058786008,17463.923971193413,14440.83885,2140.633650000001,18284.550756207675,6895.3765,6567.531574074073
2025-02-15,37490.11521666667,19666.666666666664,14145.778416666664,2689.1358666666683,19423.771940915,6567.531574074073,8550.0
2025-02-16,79781.57902083333,23179.999583333334,18775.7996625,4.547473508864641e-13,49074.44516394583,8550.0,8550.0
2025-02-17,75537.68155864198,22914.83364197531,18561.01525,3.410605131648481e-13,45954.89727341,8550.0,8550.0
2025-02-18,76516.32402233333,23289.1381,18864.201861,5.684341886080801e-13,46653.464649576665,8550.0,8550.0
2025-02-19,77308.938357,23313.741966666665,18884.130992999995,2.716049607442983e-12,47587.413464740705,8550.0,8550.000000000002
2025-02-20,72887.04026399177,20387.927880658433,18494.02135,2.3874235921539366e-12,44937.246120067146,8550.000000000002,6350.222481481482
2025-02-21,33788.12361893004,16932.739485596707,13950.200233333333,5245.3223333333335,17466.761609418005,6350.222481481482,6089.465537037037
2025-02-22,36919.11571666667,19666.666666666664,13715.518983333333,3123.205150000002,18955.860059851668,6089.465537037037,8550.0
2025-02-23,75940.08124547325,23201.197695473253,18792.970133333336,5.684341886080801e-13,46144.17708926646,8550.0,8550.0
2025-02-24,72453.19780967079,22369.28522633745,18119.121033333333,5.400124791776761e-13,44091.878882700286,8550.0,8550.000000000002
2025-02-25,70017.80707037037,22086.757037037038,17890.273200000003,2.1600499167107046e-12,42535.24902012278,8550.000000000002,8550.0
2025-02-26,73111.5817228395,22614.387839506173,18317.65415,4.547473508864641e-13,44309.7537540521,8550.0,8550.000000000002
2025-02-27,68259.07996358024,20041.30024691358,18738.804483333337,2.8546054409162025e-12,42451.79190616401,8550.000000000002,5766.276351851852
2025-02-28,32260.472405555556,15889.33722222222,13424.648716666667,6503.190350000003,16755.195289248888,5766.276351851852,5150.403500000001
2025-03-01,35426.57878333334,19686.967078189296,12886.806483333332,4967.652255144037,18195.930342493335,5150.403500000001,8550.0
2025-03-02,76839.43054876543,23584.860432098765,19103.73695,4.455102953215828e-12,46911.9229273869,8550.0,8550.0
2025-03-03,76512.85058122016,23661.599725720163,19165.89577783333,2.033762047659593e-12,46954.98411732613,8550.0,8550.0
2025-03-04,73527.44303786008,22778.868971193413,18450.883866666667,1.1368683772161603e-12,44535.55655741545,8550.0,8550.0
2025-03-05,70462.77450370371,22801.592037037044,18469.289549999998,6.821210263296962e-13,42513.831044730934,8550.0,8550.0
2025-03-06,65845.02309567902,18339.58734567901,18435.218383333333,2.3661073100811336e-12,40533.93876969212,8550.0,4572.052629629629
2025-03-07,30412.841242386832,15287.131275720163,12349.847366666665,6553.271800000001,15873.107104122244,4572.052629629629,4608.418148148148
2025-03-08,35093.33733333333,19666.666666666664,12382.576333333334,8746.107483333337,17782.604456223333,4608.418148148148,8550.0
2025-03-09,67557.8740798354,22233.415946502057,18009.066916666667,4.796163466380676e-13,40815.893136731815,8550.0,8550.000000000002
2025-03-10,72255.4779654321,22175.823765432095,17962.417249999995,6.707523425575346e-12,43422.360463668585,8550.000000000002,8550.000000000002
2025-03-11,68220.58009444445,22535.05944444444,18253.398149999997,2.1600499167107046e-12,40986.49778139611,8550.000000000002,8550.0
2025-03-12,66638.79068333333,22122.39999999999,17919.143999999997,4.014566457044566e-12,40133.95007184833,8550.0,8550.0
2025-03-13,66823.64719074074,17246.797407407408,17968.768233333332,2.3874235921539366e-12,41152.87758456689,8550.0,4106.81962962963
2025-03-14,29781.109375925927,14954.277592592587,11931.137666666667,10728.543466666672,15430.64879419574,4106.81962962963,4308.849833333334
2025-03-15,35094.67061666667,19666.666666666664,12112.964849999998,6616.8436500000025,17766.285616871668,4308.849833333334,8550.000000000002
2025-03-16,67586.20673641976,22290.31475308642,18055.154949999996,2.3874235921539366e-12,40414.21248166772,8550.000000000002,8550.000000000002
2025-03-17,61787.38877345678,20680.301790123453,16751.04445,2.3021584638627246e-12,37284.36463700895,8550.000000000002,8550.0
2025-03-18,65275.09500123457,21837.5612345679,17688.4246,1.1723955140041653e-12,39163.10402954982,8550.0,8550.0
2025-03-19,63626.32473641976,21899.233086419754,17738.3788,5.186961971048731e-13,38174.93978847537,8550.0,8550.0
2025-03-20,61116.7544962963,16623.159629629634,17715.366949999996,2.2737367544323206e-13,37592.76536549871,8550.0,3827.1026111111114
2025-03-21,28813.25159176955,14190.360658436215,11679.392349999998,14268.818766666665,14805.800720282472,3827.1026111111114,3621.3245925925958
2025-03-22,34250.93896666667,19666.66666666666,11494.192133333332,10197.264700000005,17064.41842836,3621.3245925925958,8550.0
2025-03-23,62840.966184773664,21427.610884773665,17356.364816666664,2.2737367544323206e-13,37518.24123216396,8550.0,8550.000000000002
2025-03-24,62182.8851255144,22023.094958847734,17838.706916666666,4.916955731459893e-12,37252.434709979505,8550.000000000002,8550.0
2025-03-25,65078.24369588478,21726.941995884776,17598.823016666665,1.1368683772161603e-13,38920.36438893896,8550.0,8550.0
2025-03-26,59609.646145679006,21142.58567901234,17125.4944,4.547473508864641e-13,35783.791410781974,8550.0,8550.000000000002
2025-03-27,57313.82902613169,15716.665576131683,17119.82595,2.3874235921539366e-12,35281.569652405306,8550.000000000002,3672.970185185185
2025-03-28,27788.85299691358,13778.971913580244,11540.673166666666,14728.67348333334,14148.432033769323,3672.970185185185,3251.0747222222226
2025-03-29,34230.07348333333,19666.666666666668,11160.967250000003,18017.164883333335,17049.076983389998,3251.0747222222226,8550.0
2025-03-30,59287.0334590535,20744.28294238683,16802.869183333332,9.592326932761353e-13,35526.46008192765,8550.0,8550.0
2025-03-31,60689.51498692798,19674.344755761314,15936.219252166668,4.547473508864641e-13,36470.13818900073,8550.0,8550.0
2025-04-01,63952.210522839516,19701.88950617284,15958.530499999997,1.0373923942097463e-12,38014.16285172056,8550.0,8550.000000000002
2025-04-02,64499.71394938271,21391.46604938271,17327.087499999998,3.127276215764141e-12,38115.86117557426,8550.000000000002,8550.0
2025-04-03,53853.63269341564,15044.05952674897,17053.9571,4.4231285301066237e-13,33408.244127822676,8550.0,3140.812351851853
2025-04-04,26758.03008415638,13260.686934156376,11061.731116666666,18128.27201666667,13485.835872760515,3140.812351851853,2784.6182407407405
2025-04-05,33893.7869,19666.666666666668,10741.156416666667,12924.161666666667,16698.620248598334,2784.6182407407405,8550.0
2025-04-06,58369.25100463992,20837.761778806584,16878.587040833332,9.379164112033322e-13,34968.19825856968,8550.0,8550.0
2025-04-07,57061.12463024691,20096.870246913575,16278.4649,2.8679281172117044e-12,34104.14554759508,8550.0,8550.0
2025-04-08,58411.84687962963,21361.33296296296,17302.6797,1.1723955140041653e-13,35193.61567416389,8550.0,8550.000000000002
2025-04-09,63052.37494074074,20621.38907407407,16703.32515,2.3874235921539366e-12,37339.803244485556,8550.000000000002,8550.0
2025-04-10,51943.71482699383,14328.095843827161,16845.01891683333,0.0,32485.482031320695,8550.0,2728.598574074074
2025-04-11,26262.93936028807,12642.659176954734,10690.738716666665,18994.368733333333,13198.922684048253,2728.598574074074,2228.3932592592614
2025-04-12,33146.94203333333,19666.666666666664,10240.553933333333,14695.668750000004,16140.519059591668,2228.3932592592614,8550.0
2025-04-13,58053.528248,19879.840866666666,16102.671101999998,2.2737367544323206e-13,34744.0723945434,8550.0,8550.0
2025-04-14,55662.58648539095,19339.761502057612,16205.206816666665,4.547473508864641e-13,33164.54236566107,8550.0,7950.0
2025-04-15,54406.01703209877,19613.62209876543,15347.0339,1.1368683772161603e-13,33034.86327555691,7950.0,8550.000000000002
2025-04-16,59410.30771255144,19109.030329218105,15478.314566666668,5.279332526697544e-12,35230.274884924256,8550.000000000002,8550.0
2025-04-17,49639.27362860082,12738.536378600822,15967.605099999999,1.5916157281026244e-12,31072.960679757736,8550.0,2272.899296296296
2025-04-18,25590.24695123457,12727.836234567902,10280.609366666666,16788.902899999997,12637.195123436792,2272.899296296296,2305.0526111111135
2025-04-19,32446.961033333337,19666.666666666664,10309.547349999997,16305.162466666668,15478.759253833336,2305.0526111111135,8550.0
2025-04-20,54693.686947942384,19044.19349794239,16308.251433333337,6.695199950002007e-13,32691.408861037446,8550.0,7569.494777777778
2025-04-21,53136.03175,19666.666666666668,15047.5453,2.9061197892588098e-12,31924.461132005003,7569.494777777778,8550.0
2025-04-22,55791.64935,19172.67878333333,15533.95875,3.410605131648481e-13,33147.50149539273,8550.0,8545.45673833333
2025-04-23,53752.5596063786,17571.950373045267,15219.307483333332,3.410605131648481e-13,32084.99101344496,8545.45673833333,7449.870425925925
2025-04-24,44682.48313600823,12250.467119341563,14939.883383333336,281.79270000000133,28332.763249252243,7449.870425925925,1875.4204074074073
2025-04-25,24526.440032458846,12133.273153292179,9925.998554166667,20318.807783333334,12081.364263455453,1875.4204074074073,1766.4789629629631
2025-04-26,31994.23513333333,19000.0,9824.831066666668,22748.87256666667,15402.608890911666,1766.4789629629631,7950.0
2025-04-27,53232.64911563786,19843.57841563786,15533.298516666666,348.89803333333293,32204.917616407594,7950.0,8550.0
2025-04-28,57765.98793436214,16637.38158436214,15493.360966666665,2.3367974222310295e-12,34380.539185701935,8550.0,6308.79790740741
2025-04-29,52651.01034218107,19065.7570755144,13988.579583333334,140.61913333333774,32056.5561463521,6308.79790740741,7925.113071666667
2025-04-30,51636.78343333334,17671.21455,14291.285549999999,1.1368683772161603e-13,30939.595677056666,7925.113071666667,7950.000000000002
2025-05-01,49009.73846872428,12999.903168724275,15592.411966666667,590.8684666666722,31979.29081973222,7950.000000000002,2325.010666666666
2025-05-02,28162.007878600823,12343.94804526749,10327.509599999998,11855.24935,15184.112080238974,2325.010666666666,1959.5532407407445
2025-05-03,34186.98458786008,18897.842921193416,9998.597916666666,16420.567933333336,17527.929143844794,1959.5532407407445,7858.058629074077
2025-05-04,55756.044200000004,17887.52438333333,13866.147516666666,1.7816859099184512e-12,34435.92703087,7858.058629074077,8550.000000000002
2025-05-05,58245.47071316873,19523.49427983539,16354.030366666664,4.028777311759768e-12,35526.958810731856,8550.000000000002,7950.0
2025-05-06,57293.010366872426,20472.59023353909,16049.662233333333,2.6911806116913795e-12,35060.082575804074,7950.0,8542.373173148151
2025-05-07,58772.15341748971,19460.22801748971,15755.920549999999,9.601208716958354e-13,36261.733949281544,8542.373173148151,8550.0
2025-05-08,52306.10858786008,11893.367304526748,15413.771116666667,7.531752999057062e-13,33126.8691164657,8550.0,2127.6182222222224
2025-05-09,26983.90574691358,12249.871080246912,10149.856399999999,16384.50521666667,14353.791288047285,2127.6182222222224,1874.8839722222233
2025-05-10,34708.401633333335,19672.60916666667,9927.208999999997,12841.956183333332,17608.212349363337,1874.8839722222233,8550.0
2025-05-11,58341.22385432098,17879.709320987655,15022.564550000003,3.552713678800501e-13,35662.99137286856,8550.0,7950.0
2025-05-12,55712.11627304527,17057.479156378606,13276.558116666667,9.237055564881302e-13,34350.12536171939,7950.0,8550.0
2025-05-13,56504.22526831275,18291.215534979416,14916.203033333331,1.1191048088221578e-12,34431.43278877833,8550.0,8438.53505555555
2025-05-14,55908.3054,17546.516666666666,14652.36005,2.2737367544323206e-13,34184.631356005004,8438.53505555555,7950.0
2025-05-15,49018.91603683128,11262.179053497945,15008.3213,1.0942358130705543e-12,31440.644469354425,7950.0,1410.0485925925927
2025-05-16,26046.923966769547,11655.829825102881,9505.279658333335,21180.867266666668,13611.855656583866,1410.0485925925927,1338.8735925925926
2025-05-17,35068.21251666667,19666.666666666664,9439.986233333333,14392.733000000002,17852.314846778336,1338.8735925925926,8550.000000000002
2025-05-18,54927.61460349795,16333.900720164604,15082.454216666667,6.970424237806583e-12,33343.42276426033,8550.000000000002,6492.228185185186
2025-05-19,53645.86613333334,19676.2787037037,14085.791116666665,540.1619962962985,32937.78528787333,6492.228185185186,8550.000000000002
2025-05-20,56581.691017901234,16459.92871790123,14405.632516666667,3.12017078840654e-12,34600.67737344646,8550.000000000002,7357.67749425926
2025-05-21,55231.301171193416,17555.76648786008,13687.080600000001,1.8118839761882555e-13,34206.72781673432,7357.67749425926,7950.000000000002
2025-05-22,46904.806579012344,10250.32234567901,14162.146583333333,1.1874945471390674e-12,30349.90865657687,7950.000000000002,1439.5716851851862
2025-05-23,25928.66513045267,11650.963230452675,9530.614516666668,17387.367533333334,13573.911510810018,1439.5716851851862,1335.8669074074078
