date,same_plan_greedy_emergency_cost,same_plan_greedy_final_soc,value_policy_final_soc
2025-01-01,355796.3369762831,1200.0,1200.0
2025-01-02,7426.343455158632,1365.1683916666666,1365.1683916666666
2025-01-03,0.0,8232.362842037039,8232.362842037039
2025-01-04,0.0,6132.5780348148155,6132.5780348148155
2025-01-05,123797.19340488635,1200.0,1200.0
2025-01-06,96546.02828997043,1200.0,1200.0
2025-01-07,92463.62602198569,1200.0,1200.0
2025-01-08,61672.867921376455,1200.0,1200.0
2025-01-09,14281.307834898731,1387.7577857142858,1387.7577857142858
2025-01-10,0.0,7977.555841296295,7977.555841296295
2025-01-11,0.0,8988.402181243386,8988.402181243386
2025-01-12,4186.100313735917,1200.0,1200.0
2025-01-13,990.0183565971488,1200.0,1200.0
2025-01-14,305.5399232625225,1212.0983101079328,1212.0983101079328
2025-01-15,4853.716908230001,1457.326696693122,1457.326696693122
2025-01-16,2577.8643315091454,1498.327966825397,1498.327966825397
2025-01-17,0.0,9408.57189251323,9408.57189251323
2025-01-18,0.0,9471.36111206349,9471.36111206349
2025-01-19,2931.2277137896203,1392.6970296825373,1392.6970296825373
2025-01-20,0.0,1659.563995946824,1659.563995946824
2025-01-21,0.0,1879.5134770899458,1879.5134770899458
2025-01-22,5749.189100168952,1290.5258744973544,1290.5258744973544
2025-01-23,10544.89296376803,1442.5226751587288,1442.5226751587288
2025-01-24,0.0,9640.638577435328,9640.638577435328
2025-01-25,0.0,9502.919287423281,9502.919287423281
2025-01-26,2462.6487697621146,1276.714521021165,1276.714521021165
2025-01-27,0.0,1380.5821369122214,1380.5821369122214
2025-01-28,2097.2765068071967,1298.1874434127005,1298.1874434127005
2025-01-29,0.0,1806.7307303943219,1806.7307303943219
2025-01-30,62.92534389465631,1478.6153807324472,1478.6153807324472
2025-01-31,0.0,9840.744835901862,9840.744835901862
2025-02-01,0.0,9887.729704396123,9887.729704396123
2025-02-02,0.0,2001.6898124338616,2001.6898124338616
2025-02-03,0.0,1756.7325952384883,1756.7325952384883
2025-02-04,0.0,1419.4100672845686,1419.4100672845686
