date,planning_objective,realized_cost_less_same_terminal_proxy
2025-02-01,51424.23538457725,48593.01749712231
2025-02-02,50971.06263591567,51408.76380578859
2025-02-03,53753.74080729364,54334.266822484664
2025-02-04,53450.81354078773,54184.30768549434
2025-02-05,53045.90677146128,53674.54617763001
2025-02-06,52881.49733436618,53528.511037116776
2025-02-07,52391.9017118638,49831.431621172334
2025-02-08,48000.34489800305,45413.00905777344
2025-02-09,47720.63547772569,48459.08412767365
2025-02-10,51614.9929168079,52421.72286214282
2025-02-11,51073.19538973493,51820.51574119297
2025-02-12,50424.10910158115,51172.30491467417
2025-02-13,49837.03119097176,50353.943790877755
2025-02-14,48512.752259738,45751.4679707189
2025-02-15,44332.30579864734,41762.22193945953
2025-02-16,44226.28186775753,46717.237008567216
2025-02-17,47576.52354368205,48277.38711150078
2025-02-18,47212.68513296655,47784.4774317801
2025-02-19,46500.58950207437,51957.26302421069
2025-02-20,46528.8057348732,47172.91826611955
2025-02-21,46188.43430259727,43441.34564991558
2025-02-22,41959.16213798758,39293.213594610505
2025-02-23,41937.70884801622,42588.10185494564
2025-02-24,45367.33702837391,46195.278803627436
2025-02-25,45138.98505083509,45830.6479191942
2025-02-26,44406.46362245293,46412.223087580955
2025-02-27,43914.2517690356,45409.41866380037
2025-02-28,43500.05087557146,40612.07178896296
2025-03-01,39437.94549846634,36574.50969168931
2025-03-02,39134.265479070666,68365.21765500301
2025-03-03,43903.73911762325,69217.78170928196
2025-03-04,45134.508157244025,44945.13358627575
2025-03-05,45463.90407794293,44887.27856208616
2025-03-06,45087.4287208123,44525.77971180043
2025-03-07,44887.715432976445,40863.586161434156
2025-03-08,40735.1909058578,36686.66159464045
2025-03-09,40267.13149383661,39679.51575561165
2025-03-10,43257.227096775314,50079.430864922666
2025-03-11,43045.85524630656,42901.5917995996
2025-03-12,42390.740024932486,43151.09865923963
2025-03-13,42127.20402600923,54722.23522447262
2025-03-14,42503.20549456096,38535.32972537079
2025-03-15,37935.42597848053,34140.82005131424
2025-03-16,38444.946831781024,37845.96861006639
2025-03-17,41981.88343660429,41425.05407478245
2025-03-18,40982.518842916434,42881.73630890603
2025-03-19,40764.78674589651,40296.47507086375
2025-03-20,40407.95607317575,41784.00976864566
2025-03-21,40106.17022801906,36610.12082302959
2025-03-22,35937.32151037093,32469.173823191504
2025-03-23,35436.2467166825,35348.10227651181
2025-03-24,38416.54295875345,38484.69248813166
2025-03-25,37778.41081913159,45170.51821196868
2025-03-26,37968.029599728674,38172.05053160182
2025-03-27,37421.59668143937,38276.20747765298
2025-03-28,37172.67052087781,34058.36031175139
2025-03-29,33037.56160483213,30051.01509696884
2025-03-30,32485.82800454778,32762.08351796015
2025-03-31,35923.0878885074,38268.561324254864
2025-04-01,35697.62956442371,56047.57389703573
2025-04-02,36164.10452946071,54745.73599925802
2025-04-03,36996.2102751428,37267.34666612423
2025-04-04,36462.10360494341,32896.54574968877
2025-04-05,32055.005673965403,28548.360059321574
2025-04-06,32620.21522419428,32443.283583551605
2025-04-07,36268.2503910868,36076.57193513289
2025-04-08,35890.07966912861,37578.04119654409
2025-04-09,35659.15407390411,53577.79669016002
2025-04-10,35926.997735827805,36868.899516223086
2025-04-11,35637.41665698614,32393.665139430854
2025-04-12,31633.630048047657,28435.04487332846
2025-04-13,31292.34169310741,31336.14049930338
2025-04-14,35092.396291228935,35184.437991875595
2025-04-15,35008.34786213538,35072.79984110055
2025-04-16,34618.37755128438,38254.333194186205
2025-04-17,34589.27951959922,34845.51585718626
2025-04-18,34099.84210978224,30947.5558257683
2025-04-19,30192.34417403589,27029.50613385864
2025-04-20,30208.137790116347,30458.312502872588
2025-04-21,33711.24213503155,34147.21327227936
2025-04-22,33569.91492575454,33954.91347512683
2025-04-23,33461.364002203976,33403.05637393865
2025-04-24,32415.553839538123,32692.946792356117
