candidate,window,correlation,rmse_improvement_pct,mae_improvement_pct,remaining_hours,role
07:00,06:00-12:00,0.234,-0.3,3.3,5,reject
08:00,06:00-12:00,0.403,4.0,10.2,4,weak_control
09:00,06:00-12:00,0.546,11.4,15.1,3,sensitivity
10:00,06:00-12:00,0.686,23.3,23.9,2,primary
11:00,06:00-12:00,0.810,39.4,37.6,1,sensitivity_short_horizon
13:00,12:00-18:00,0.556,19.4,18.9,5,sensitivity
14:00,12:00-18:00,0.612,26.1,25.3,4,primary
15:00,12:00-18:00,0.616,25.0,22.6,3,sensitivity
16:00,12:00-18:00,0.681,33.5,29.4,2,boundary_control
17:00,12:00-18:00,0.716,30.4,29.5,1,reject_short_horizon
