forecast,slots,n_all,rmse_kw_all,mae_kw_all,bias_kw_all,mean_abs_actual_kw_all,n_day,rmse_kw_day,mae_kw_day,bias_kw_day,mean_abs_actual_kw_day
Q2_7day_mean,all,48096,303.85773925555964,153.39970672494294,2.769202212539211,,25072,420.84986004632407,294.160369541435,5.209508271036565,
Q3_issue_00:00,all,48096,387.3550958064015,197.79372960808573,-29.6762228147871,,25072,536.2196614899947,376.9875490735512,-59.35767086320683,
Q3_issue_00:00_own_horizon,all,48096,387.3550958064015,197.79372960808573,-29.6762228147871,,25072,536.2196614899947,376.9875490735512,-59.35767086320683,
Q3_issue_06:00_own_horizon,all,36072,273.6925220329607,158.66228294240875,-8.701677760990373,,24054,334.74779710042094,235.8483252221599,-15.126884987790415,
Q3_issue_12:00_own_horizon,all,24048,139.20039135262732,73.74801239758929,1.1699008907820936,,12369,193.30568302578422,140.88020473009277,-0.2132075514902932,
Q3_issue_18:00_own_horizon,all,12024,25.784285844529737,5.769225845873553,1.3790711839053373,,836,86.5225831781938,64.84743391388864,1.8869833944158252,
same_target_00-06h_issue_00:00,all,12024,25.188413607903094,5.866860644717993,2.5412483291193757,,1018,76.57853772318299,54.83788252877495,15.706826838378708,
same_target_06-12h_issue_00:00,all,12024,490.28979036182477,346.40467297186996,-47.19869995560273,,11685,497.1770656469213,355.0966754835378,-49.92392783063532,
same_target_06-12h_issue_06:00,all,12024,271.53105965337784,186.01759828429257,-4.727069848172538,,11685,275.0001695937072,189.76495785274156,-6.511696803394531,
same_target_12-18h_issue_00:00,all,12024,598.596878899365,432.5772727446547,-76.59668801061648,,11533,611.0545128402433,449.6052799348978,-81.24413991545137,
same_target_12-18h_issue_06:00,all,12024,387.7121074210653,284.345443721983,-24.003604202535886,,11533,395.6467153309773,295.05346504683945,-26.421233055499094,
same_target_12-18h_issue_12:00,all,12024,195.33992100122526,142.1816052113122,-0.42820737876931964,,11533,198.99723971953372,146.83368184629364,-1.8456778929581936,
same_target_18-24h_issue_00:00,all,12024,28.967617222681334,6.326112071100257,2.549248377951429,,836,100.14374137151087,73.45038210941088,19.311828638855605,
same_target_18-24h_issue_06:00,all,12024,25.942152048705776,5.6238068209507235,2.6256407677373095,,836,87.38971520368419,63.20630382697326,20.266945550748265,
same_target_18-24h_issue_12:00,all,12024,24.40928447710571,5.3144195838663935,2.7680091603335075,,836,81.0209759770706,58.74928178613951,22.307462841032805,
same_target_18-24h_issue_18:00,all,12024,25.784285844529737,5.769225845873553,1.3790711839053373,,836,86.5225831781938,64.84743391388864,1.8869833944158252,
