hour,retained,down,up,emergency,total,down_kwh,up_kwh,em_kwh,qA_kwh
0,360.88319035223685,0.0,0.0,-1.2748556002861733e-05,360.8831776038278,0.0,0.0,-5.962841925111206e-06,848.6685059866868
1,-272.6075637014583,0.0,0.0,0.0,-272.6075637014583,0.0,0.0,0.0,-635.6903378146235
2,530.8039148104144,0.0,0.0,0.0,530.8039148104144,0.0,0.0,0.0,1235.8967065259349
3,0.0,0.0,0.0,1.2989795777684776e-05,1.2989738024771214e-05,0.0,0.0,5.962724685559806e-06,0.0
4,31.048637083964422,0.0,0.0,0.0,31.048637084080838,0.0,0.0,0.0,70.27368400921114
5,565.6795648310799,0.0,0.0,0.0,565.6795648310799,0.0,0.0,0.0,1336.7714383748826
6,5.529727786779404e-10,1.8335413187742233e-09,-5.746833931367291,264.3450111653956,258.59817723641754,4.110916052013636e-09,-4.0896910983374255,62.982509072955054,-4.089691097615287
7,-1.1641532182693481e-10,-1.1568772606551647e-09,-2.9103830456733704e-11,2444.0932078600927,2444.093207858794,-2.473825588822365e-09,-9.276845958083868e-11,606.3947869121203,-5.820766091346741e-10
8,0.0,0.0,0.0,-157.76756080297764,-157.76756080297673,0.0,0.0,-36.11035189600943,0.0
9,7.548806024715304e-10,-3.7698555388487875e-10,0.0,-984.4685788427741,-984.4685788424031,-7.885319064371288e-10,0.0,-226.81060863408175,7.894414011389017e-10
10,4.893081495538354e-10,-2.446540747769177e-10,2.773958840407431e-11,-3240.2912165113157,-3240.2912165110392,-5.093170329928398e-10,2.3419488570652902e-11,-664.1412835622741,5.311449058353901e-10
11,-4.656612873077393e-10,1.6007106751203537e-10,-1.0477378964424133e-09,0.0,-1.3387762010097504e-09,6.402842700481415e-10,-1.4406396076083183e-09,0.0,-2.444721758365631e-09
12,-119824.94070248152,59974.510481764904,-58871.03982852501,0.0,-118721.47004924162,256698.29557739754,-87208.09924434216,0.0,-343604.71657946345
13,-10750.486768519651,5375.243384319652,-8347.668658864133,-2363.693605145242,-16086.605648209385,12410.094993834791,-6495.7011932992245,-540.9434638222842,-18905.796187001644
14,-1468.463445872485,734.2317229358428,4.9146120225245036e-05,-10924.76621737572,-11658.997891166244,1566.1939482419848,3.474919027457617e-05,-2179.950009355852,-1566.1939134936479
15,-43173.80532643816,21586.902663158944,-37072.17099749956,-2207.3428430849945,-60866.416503863875,60624.27586148342,-35354.96315730736,-658.6881898284796,-95979.23901895527
16,-7120.548295199755,3560.2741475998682,-9429.811520879137,-1440.7994182558468,-14430.885086735012,8379.720219343588,-7397.941540183405,-343.00002903749055,-15777.661759527167
17,-2531.0088794259354,1265.5044397129814,-2306.9164212529317,2405.5774583038838,-1166.8434026618488,2610.6333023598454,-1605.4805780848642,516.4480644633595,-4216.113880444551
18,-3228.503934095148,1614.2519670476258,-37.33429593594074,-8688.393644351596,-10339.979907335248,2507.572186068639,-20.214026333111747,-1356.406165474691,-2527.7862124016974
19,-1432.1072407569154,716.0536203784554,0.0,-9858.852873338677,-10574.906493717135,1061.840327902894,0.0,-1463.9329333301048,-1061.8403279029008
20,-2124.3938387839007,1062.196919391929,0.0,-17323.328623700334,-18385.525543092284,1581.3205712752606,0.0,-2441.4861806031804,-1581.3205712752533
21,128.7097943322733,-64.35489716613677,0.0,-16.614786945785454,47.74011022038758,-130.39184918678308,0.0,-6.543630425725496,130.39184918696992
22,0.0,0.0,0.0,-45.98952634101806,-45.98952634102898,0.0,0.0,-21.03102393451354,0.0
23,0.0,0.0,0.0,-8.578366900619585,-8.578366900677793,0.0,0.0,-4.038779143418651,0.0
