date,same_plan_initial_soc_kwh,settlement_cost,ldr_emergency_cost,beta1_emergency_cost,beta0_emergency_cost,ldr_total_cost,beta1_total_cost,beta0_total_cost
2025-01-01,6000.0,0.0,355796.33697628335,355796.33697628335,355796.33697628335,355796.33697628335,355796.33697628335,355796.33697628335
2025-01-02,1200.0,61358.46217337293,52649.89609993504,52649.89609993504,28069.04002136446,114008.35827330797,114008.35827330797,89427.50219473739
2025-01-03,1280.469735,54978.8086704469,0.0,0.0,0.0,54978.8086704469,54978.8086704469,54978.8086704469
2025-01-04,7492.639420925928,54121.23782917835,0.0,0.0,0.0,54121.23782917835,54121.23782917835,54121.23782917835
2025-01-05,7070.198499444443,56931.499518172364,54832.989626582326,54832.989626582326,31195.695408747597,111764.48914475468,111764.48914475468,88127.19492691997
2025-01-06,1200.0,61187.85010859498,49869.78337619785,49869.78337619785,28416.043514239747,111057.63348479284,111057.63348479284,89603.89362283473
2025-01-07,1210.9960800000001,61457.88400067689,51154.371437755646,51154.371437755646,28826.03987411668,112612.25543843253,112612.25543843253,90283.92387479357
2025-01-08,1200.0,75333.45220087699,2050.27224440152,2050.27224440152,0.0,77383.72444527851,77383.72444527851,75333.45220087699
2025-01-09,1576.1936270370377,63764.71935586117,1297.3435441998356,1297.3435441998356,0.0,65062.062900061006,65062.062900061006,63764.71935586117
2025-01-10,1722.2375750000008,27980.225434943728,3425.9068674823866,3425.9068674823866,175.48790600451446,31406.132302426115,31406.132302426115,28155.71334094824
2025-01-11,1537.5661249259258,27389.843455011036,312.3687926100061,312.3687926100061,0.0,27702.212247621042,27702.212247621042,27389.843455011036
2025-01-12,1709.5576916450361,65812.54296585807,106.36067791166423,106.36067791166423,0.0,65918.90364376974,65918.90364376974,65812.54296585807
2025-01-13,1621.5329111729957,62143.42023352307,1033.8052536110322,1033.8052536110322,191.47341594765643,63177.22548713411,63177.22548713411,62334.89364947073
2025-01-14,1206.852547259261,61964.630414956955,1274.3333607321938,1274.3333607321938,540.601552011963,63238.963775689146,63238.963775689146,62505.23196696892
2025-01-15,1257.337090925926,62432.65787729188,3385.0025158767294,3385.0025158767294,900.8019471638613,65817.66039316861,65817.66039316861,63333.45982445574
2025-01-16,1496.770319111111,61050.26180834093,1371.4656933168735,1371.4656933168735,694.865813811057,62421.727501657806,62421.727501657806,61745.12762215199
2025-01-17,1649.4828367417194,26385.934870844874,177.40830356607557,177.40830356607557,0.0,26563.34317441095,26563.34317441095,26385.934870844874
2025-01-18,1481.7280286413084,27484.077395771976,678.4729436459986,678.4729436459986,0.0,28162.550339417976,28162.550339417976,27484.077395771976
2025-01-19,1664.7337805925945,62026.11861956869,260.9500995276487,260.9500995276487,28.62090952764595,62287.068719096336,62287.068719096336,62054.73952909633
2025-01-20,1803.8106133333347,60662.49072151247,2730.667427845632,2730.667427845632,1524.9902986327033,63393.1581493581,63393.1581493581,62187.48102014518
2025-01-21,2015.5943778518526,59379.78250326379,77.42204658178471,77.42204658178471,0.0,59457.20454984558,59457.20454984558,59379.78250326379
2025-01-22,2188.0248440207893,62034.207727506284,812.2138734966538,812.2138734966538,0.0,62846.421601002934,62846.421601002934,62034.207727506284
2025-01-23,1519.3860082592594,62073.76136905294,149.68231728349053,149.68231728349053,0.0,62223.44368633643,62223.44368633643,62073.76136905294
2025-01-24,2005.558381222224,24066.302730052048,510.74692647020083,510.74692647020083,0.0,24577.04965652225,24577.04965652225,24066.302730052048
2025-01-25,1931.3091418479812,24835.104928347384,656.2412094373298,656.2412094373298,0.0,25491.346137784712,25491.346137784712,24835.104928347384
2025-01-26,1946.6642940237334,62482.24672494241,749.2488108685865,749.2488108685865,0.0,63231.495535810995,63231.495535810995,62482.24672494241
2025-01-27,1777.909219962965,57718.684488919265,1105.5894739932728,1105.5894739932728,0.0,58824.273962912535,58824.273962912535,57718.684488919265
2025-01-28,1692.0556186296283,59698.30279070196,3364.871938582204,3364.871938582204,1311.6089337983353,63063.17472928416,63063.17472928416,61009.91172450029
2025-01-29,1617.8093030370364,56271.755928640545,369.3049027482096,2395.153437027473,17.09257614166659,56641.06083138876,58666.90936566802,56288.84850478221
2025-01-30,2359.068381834943,57888.97793301412,0.0,919.4233338016809,0.0,57888.97793301412,58808.401266815796,57888.97793301412
2025-01-31,1869.700047592592,23799.305570321434,0.0,941.6431668402763,0.0,23799.305570321434,24740.94873716171,23799.305570321434
2025-02-01,1864.5588089591208,24078.415051001564,0.0,0.0,0.0,24078.415051001564,24078.415051001564,24078.415051001564
2025-02-02,2345.693226710042,57142.17289543907,0.0,0.0,0.0,57142.17289543907,57142.17289543907,57142.17289543907
2025-02-03,2284.477530134421,57830.737580124216,0.0,185.6338913182203,0.0,57830.737580124216,58016.371471442435,57830.737580124216
2025-02-04,2205.3296779629636,60181.66793558297,0.0,226.2214055733723,0.0,60181.66793558297,60407.88934115634,60181.66793558297
2025-02-05,2143.6568151851843,56984.14803767073,0.0,769.6809156049737,0.0,56984.14803767073,57753.828953275704,56984.14803767073
2025-02-06,1970.4641524074082,59261.33012218965,29.603319674433212,186.04940417442918,29.603319674433212,59290.93344186408,59447.37952636408,59290.93344186408
2025-02-07,1989.69082814815,23416.346195950733,172.48165715000803,644.519174991659,172.48165715000803,23588.82785310074,24060.865370942392,23588.82785310074
2025-02-08,1621.5786760504643,19460.44557641647,1260.9551036845396,2000.189521955377,1260.9551036845396,20721.40068010101,21460.635098371848,20721.40068010101
2025-02-09,1649.1427701851856,55585.606642430015,0.0,323.7129450754619,0.0,55585.606642430015,55909.31958750548,55585.606642430015
2025-02-10,1402.325217962964,52245.79347317602,0.0,279.9177238333408,0.0,52245.79347317602,52525.71119700936,52245.79347317602
2025-02-11,1336.2404688888885,52160.97387407602,1082.5605029730411,3665.692580082737,1082.5605029730411,53243.534377049065,55826.66645415876,53243.534377049065
2025-02-12,1520.2362664814812,52287.4057442057,793.1704597623911,3280.315377254281,793.1704597623911,53080.57620396809,55567.72112145998,53080.57620396809
2025-02-13,1402.9016461111107,49265.209178414094,348.1076240010143,658.1135330052341,348.1076240010143,49613.31680241511,49923.32271141933,49613.31680241511
2025-02-14,1564.2429107407409,19468.024265849155,0.0,1095.14169711482,0.0,19468.024265849155,20563.165962963976,19468.024265849155
2025-02-15,1651.3830856454836,19516.75291877851,805.1242079141334,2402.9339239848878,805.1242079141334,20321.877126692645,21919.6868427634,20321.877126692645
2025-02-16,1252.4573435185184,51976.21271237851,3923.0007385215213,6794.687409659951,3923.0007385215213,55899.21345090003,58770.90012203846,55899.21345090003
2025-02-17,1419.4954316666672,50325.46422106761,2104.84132228171,4550.942438234912,2153.18472016143,52430.30554334932,54876.40665930252,52478.64894122904
2025-02-18,1503.9346153703705,47801.53311702771,1890.788519249997,4525.423741431882,1890.788519249997,49692.32163627771,52326.9568584596,49692.32163627771
2025-02-19,1578.7067825925926,48714.13874160625,335.6796183253413,2266.979698294098,335.6796183253413,49049.81835993159,50981.11843990035,49049.81835993159
2025-02-20,1233.2996238888918,48612.1252263956,380.6441771412786,2141.6678225551805,380.6441771412786,48992.76940353688,50753.79304895078,48992.76940353688
2025-02-21,1445.1551467311529,18322.92410299545,0.0,868.5921254140129,0.0,18322.92410299545,19191.516228409462,18322.92410299545
2025-02-22,1422.4148873640986,18705.02391176557,0.0,667.4474854128268,0.0,18705.02391176557,19372.471397178397,18705.02391176557
2025-02-23,1653.3835376066838,48200.36561496314,234.31801040661284,2072.1831358356244,234.31801040661284,48434.683625369755,50272.548750798764,48434.683625369755
2025-02-24,1391.8095268518518,46830.50341853004,214.48406303409166,1286.918872434654,214.48406303409166,47044.98748156413,48117.42229096469,47044.98748156413
2025-02-25,1584.1578609244332,46819.95648201083,236.14782917210357,2322.9263047237664,208.80921707249533,47056.104311182935,49142.8827867346,47028.76569908332
2025-02-26,1286.0486744020775,46786.092370417464,0.0,648.3115339103266,0.0,46786.092370417464,47434.40390432779,46786.092370417464
2025-02-27,2117.144019715889,45266.41563407354,197.5802237597885,491.44914947492094,197.5802237597885,45463.99585783333,45757.864783548466,45463.99585783333
2025-02-28,1836.7929957437511,17903.93121648857,250.8828276127584,1125.3816540946943,250.8828276127584,18154.814044101327,19029.312870583264,18154.814044101327
2025-03-01,1552.8437509259263,20327.82096762678,74.3917567333385,508.3290595806207,74.3917567333385,20402.212724360117,20836.1500272074,20402.212724360117
2025-03-02,1560.4269693045858,51323.84207912134,0.0,1402.425461850678,0.0,51323.84207912134,52726.26754097202,51323.84207912134
2025-03-03,1529.3859882888594,51514.28225070179,0.0,1131.0195998716933,0.0,51514.28225070179,52645.30185057349,51514.28225070179
2025-03-04,1606.0151511111117,47286.60270443394,0.0,2194.144736629109,0.0,47286.60270443394,49480.74744106305,47286.60270443394
2025-03-05,1462.7169561768217,47274.859677816174,673.665343999991,1567.8198654426078,673.665343999991,47948.52502181617,48842.67954325878,47948.52502181617
2025-03-06,1545.2717996296296,45738.69440826427,0.0,372.84061440510175,0.0,45738.69440826427,46111.53502266938,45738.69440826427
2025-03-07,1429.086291296297,18380.607018976327,0.0,196.6354398281542,0.0,18380.607018976327,18577.24245880448,18380.607018976327
2025-03-08,1675.6176280876516,16831.683829638,0.0,1071.1772334565653,0.0,16831.683829638,17902.861063094566,16831.683829638
2025-03-09,1678.9223799820147,44671.06244169889,75.2996416000013,1002.6761949868999,75.2996416000013,44746.36208329889,45673.73863668579,44746.36208329889
2025-03-10,1594.4277007407413,44802.457477946584,1370.2885442950944,1874.376989661053,1370.2885442950944,46172.74602224168,46676.83446760764,46172.74602224168
2025-03-11,1727.2225624017797,44106.15890855245,0.0,657.7315887443326,0.0,44106.15890855245,44763.89049729678,44106.15890855245
2025-03-12,2090.232972037036,43519.20285332244,0.0,1211.608887773451,0.0,43519.20285332244,44730.81174109589,43519.20285332244
2025-03-13,1475.0474406212775,45601.83176316477,566.7226826666478,3018.1233847963554,566.7226826666478,46168.55444583142,48619.955147961125,46168.55444583142
2025-03-14,1590.8830672222225,16135.545002960513,0.0,544.5162300961546,0.0,16135.545002960513,16680.061233056666,16135.545002960513
2025-03-15,1758.105139822771,16118.636191724629,0.0,402.61626699873784,0.0,16118.636191724629,16521.252458723367,16118.636191724629
2025-03-16,1342.6428737681958,43710.45388273517,0.0,664.9875037606384,0.0,43710.45388273517,44375.44138649581,43710.45388273517
2025-03-17,1670.8853477463188,40415.39371938677,0.0,1653.3678350696018,0.0,40415.39371938677,42068.76155445637,40415.39371938677
2025-03-18,2120.957192037037,43768.94888643496,0.0,1036.3101325775315,0.0,43768.94888643496,44805.25901901249,43768.94888643496
2025-03-19,1549.1488276284051,41532.784274853315,0.0,511.2762730318653,0.0,41532.784274853315,42044.06054788518,41532.784274853315
