date,same_plan_initial_soc_kwh,settlement_cost,ldr_emergency_cost,beta1_emergency_cost,beta0_emergency_cost,ldr_total_cost,beta1_total_cost,beta0_total_cost
2025-02-01,2148.5983254415123,24049.06740140116,0.0,0.0,0.0,24049.06740140116,24049.06740140116,24049.06740140116
2025-02-02,2508.7144976370614,57164.8817746984,0.0,87.95635813333733,0.0,57164.8817746984,57252.838132831734,57164.8817746984
2025-02-03,2386.042000614452,57918.00847206557,0.0,185.6338913182203,0.0,57918.00847206557,58103.64236338379,57918.00847206557
2025-02-04,2357.765906169967,60264.43218457397,0.0,226.2214055733723,0.0,60264.43218457397,60490.65359014734,60264.43218457397
2025-02-05,2281.741728577403,57231.86877514085,0.0,573.1813483883391,0.0,57231.86877514085,57805.05012352919,57231.86877514085
2025-02-06,2066.2306959848042,59352.22731023753,29.57191160458339,82.11565743791945,29.57191160458339,59381.79922184211,59434.34296767545,59381.79922184211
2025-02-07,2102.877093392206,23447.54896621925,0.0,251.88566490000298,0.0,23447.54896621925,23699.434631119253,23447.54896621925
2025-02-08,1723.1138730980572,19832.338224185594,0.0,566.2860552531181,0.0,19832.338224185594,20398.62427943871,19832.338224185594
2025-02-09,1690.4881969188943,55699.29031974984,0.0,255.8962787388216,0.0,55699.29031974984,55955.18659848866,55699.29031974984
2025-02-10,1440.891927651503,52297.663344969886,0.0,278.9821338666705,0.0,52297.663344969886,52576.64547883656,52297.663344969886
2025-02-11,1428.8315859848183,52193.466216251516,693.8943712214817,2821.5078324547726,693.8943712214817,52887.360587473,55014.97404870629,52887.360587473
2025-02-12,1520.2362664814812,52429.34663121862,43.074395757536664,1858.8650560456267,43.074395757536664,52472.42102697616,54288.21168726425,52472.42102697616
2025-02-13,1531.9583089436214,49302.25307632187,204.35109454130685,762.0431421329907,204.35109454130685,49506.604170863175,50064.29621845486,49506.604170863175
2025-02-14,1573.745990799636,19857.56779853099,0.0,1078.6623490392712,0.0,19857.56779853099,20936.23014757026,19857.56779853099
2025-02-15,1785.850744141117,19560.93859454556,0.0,1189.9101276153478,0.0,19560.93859454556,20750.84872216091,19560.93859454556
