date,strategy,initial_soc_kwh,final_soc_kwh,residual_count,q0_cost_face,settlement_cost,retained_cost,down_cost,up_cost,emergency_cost,total_cost,down_kwh,up_kwh,calibration_count,calibration_seconds,day_seconds,cal_0_update_slot,cal_0_method,cal_0_accepted_search,cal_0_evaluations,cal_0_selected_score,cal_0_nit,cal_0_success,cal_0_termination,cal_1_update_slot,cal_1_method,cal_1_accepted_search,cal_1_evaluations,cal_1_selected_score,cal_1_nit,cal_1_success,cal_1_termination,cal_2_update_slot,cal_2_method,cal_2_accepted_search,cal_2_evaluations,cal_2_selected_score,cal_2_nit,cal_2_success,cal_2_termination,cal_3_update_slot,cal_3_method,cal_3_accepted_search,cal_3_evaluations,cal_3_selected_score,cal_3_nit,cal_3_success,cal_3_termination
2025-02-01,M61218-S,2148.5983254415123,2508.7144976370614,21,25122.92052040696,24049.06740140116,22975.21428239536,1073.8531190057984,0.0,0.0,24049.06740140116,3743.2321528676816,0.0,4,3.766145499997947,4.542566799995257,0,differential_evolution_staged_direct_search,True,17,-4211.022529289439,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-3373.549548019606,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,142,-766.3509496042482,6,True,population_collapse_convergence,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-02,M61218-S,2508.7144976370614,2386.042000614452,21,58996.49395638889,57164.8817746984,55280.27084791708,1858.111554235903,26.49937254540976,0.0,57164.8817746984,5424.981429293778,15.207237981928644,4,1.166337000002386,1.493727900000522,0,differential_evolution_staged_direct_search,True,12,-4454.21153591025,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,32,-2614.708605300896,2,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,122,-737.3967239432602,5,True,population_collapse_convergence,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-03,M61218-S,2386.042000614452,2357.765906169967,21,60248.32133885875,57918.00847206557,55587.695605272405,2330.312866793168,0.0,0.0,57918.00847206557,6503.303564180396,0.0,4,1.143436999998812,1.290646699999343,0,differential_evolution_staged_direct_search,True,17,-4454.21153591025,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-2901.8243854323587,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-713.732448571899,8,False,maxiter_budget,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-04,M61218-S,2357.765906169967,2281.741728577403,21,62728.12791467355,60264.43218457397,57800.736454474376,2463.695730099587,0.0,0.0,60264.43218457397,6780.459139900431,0.0,4,1.2424708000035023,1.4463898000030897,0,differential_evolution_staged_direct_search,True,12,-4454.086776265291,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2421.2016757037336,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-698.1375056364333,8,False,maxiter_budget,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-05,M61218-S,2281.741728577403,2066.230695984804,21,58192.62289280841,57231.86877514085,55752.79509875224,1219.9138970280858,259.1597793605294,0.0,57231.86877514085,3281.038569457054,201.7804891504441,4,1.0012833000000685,1.1448221000027845,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2374.661598356809,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-700.2342982427687,8,False,maxiter_budget,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-06,M61218-S,2066.230695984804,2102.877093392206,21,62584.616661055705,59352.22731023753,56119.83795941937,3232.389350818165,0.0,29.57191160458339,59381.79922184211,9219.139429358342,0.0,4,0.7219409000026644,0.8579996999978903,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2818.8675262643405,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,142,-708.112584166973,6,True,population_collapse_convergence,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-07,M61218-S,2102.877093392206,1723.1138730980572,21,24763.220489042265,23447.54896621925,22131.87744339624,1315.6715228230146,0.0,0.0,23447.54896621925,4857.680625370243,0.0,4,0.6411321999912616,0.7825325000012526,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2648.3093869694226,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,102,-751.1829990907484,4,True,population_collapse_convergence,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-08,M61218-S,1723.1138730980572,1690.4881969188943,21,19441.67764374813,19832.338224185594,19441.67764374813,0.0,390.66058043746256,0.0,19832.338224185594,0.0,275.1807886410158,4,0.6012088999996195,0.7403195000006235,0,differential_evolution_staged_direct_search,True,47,-3503.670209940818,8,False,maxiter_budget,36,differential_evolution_staged_direct_search,True,42,-3410.60683607982,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,102,-793.2050663243206,4,True,population_collapse_convergence,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-09,M61218-S,1690.4881969188943,1440.891927651503,21,56837.23087688298,55699.29031974984,54561.349762616686,1137.9405571331465,0.0,0.0,55699.29031974984,3204.737718658645,0.0,4,0.6077914999987115,0.7452177000013762,0,differential_evolution_staged_direct_search,True,12,-4453.483613600071,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-3052.19554848336,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,122,-647.2302412346944,5,True,population_collapse_convergence,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-10,M61218-S,1440.891927651503,1428.8315859848185,21,54245.058037519935,52297.663344969886,50350.26865241985,1947.3946925500409,0.0,0.0,52297.663344969886,5292.052071866383,0.0,4,0.8952440999928513,1.0325072999985423,0,differential_evolution_staged_direct_search,True,22,-4453.253474467541,3,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2576.7188499413605,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-669.8841477303665,8,False,maxiter_budget,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-11,M61218-S,1428.8315859848185,1520.2362664814812,21,54148.57575884191,52193.46621625152,50238.35667366112,1955.1095425903968,0.0,693.8943712214817,52887.360587473,5029.793103105714,0.0,4,0.8848925000056624,1.0197907000037958,0,differential_evolution_staged_direct_search,True,17,-4453.417446728599,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2928.154543052272,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-711.9990901386072,8,False,maxiter_budget,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-12,M61218-S,1520.2362664814812,1531.9583089436214,21,54446.26507903356,52429.34663121862,50412.42818340368,2016.91844781494,0.0,43.07439575753666,52472.42102697616,5481.869454967374,0.0,4,1.9307340999876037,2.1506017000065185,0,differential_evolution_staged_direct_search,True,22,-4452.143111505684,3,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2934.208540824819,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-642.3484065512815,8,False,maxiter_budget,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-13,M61218-S,1531.9583089436214,1573.745990799636,21,50460.73256445589,49302.25307632187,48050.69692717189,1205.0178186420012,46.53833050796849,204.35109454130685,49506.604170863175,3331.426860061818,39.29668240443925,4,0.9417373000105728,1.1191431999977794,0,differential_evolution_staged_direct_search,True,12,-4451.356494996654,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,32,-2727.4323882541366,2,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-689.3123058701083,8,False,maxiter_budget,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-14,M61218-S,1573.745990799636,1785.850744141117,21,19454.709667859555,19857.56779853099,19347.534924791504,53.58737153402384,456.445502205459,0.0,19857.56779853099,260.5755970533617,349.848729569056,4,0.9924032999988412,1.1364656000005198,0,differential_evolution_staged_direct_search,True,27,-3435.077154458023,4,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-3246.52473189404,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-788.3886523382957,8,False,maxiter_budget,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-15,M61218-S,1785.850744141117,1259.274933770747,21,19928.622938420634,19560.93859454556,19162.16190127824,383.2305185711989,15.54617469612568,0.0,19560.93859454556,1164.1200338598223,8.4771114543463,4,0.8517638999983319,0.9907279999970342,0,differential_evolution_staged_direct_search,True,12,-3325.5991195759416,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-3519.736968704382,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-724.2032578340564,8,False,maxiter_budget,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
2025-02-16,M61218-S,1259.274933770747,1573.119685568755,21,54686.82859957883,52699.67980394012,49796.75865620808,2445.0349716853766,457.8861760466538,95.89262006666588,52795.57242400679,6646.131833513047,236.98272703809425,4,1.03168390000792,1.1858110999964993,0,differential_evolution_staged_direct_search,True,17,-4452.05663222496,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,32,-2711.439065950886,2,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-626.1467301285127,8,False,maxiter_budget,108,purchase_reoptimisation_only_no_recalibration,False,0,,,,
