date,block,charge_kwh,discharge_kwh,boundary_soc_kwh
2025-03-20,0:00-4:00,8081.14524197531,154.59873333333337,2166.6354972222225
2025-03-20,4:00-8:00,1707.6732590534975,6244.825171235252,1816.5296074059331
2025-03-20,8:00-12:00,4796.528280918408,2399.491028764747,
2025-03-20,12:00-16:00,6395.988909799107,487.51976666666667,
2025-03-20,16:00-20:00,100.62696830650745,4888.885814477448,
2025-03-20,20:00-24:00,574.4222333333329,3681.4465500000006,
2025-06-21,0:00-4:00,1499.6119833333337,0.0,3545.7919928940614
2025-06-21,4:00-8:00,577.7959785994065,1790.7578831819078,4036.716475579352
2025-06-21,8:00-12:00,8193.635358533003,0.0,
2025-06-21,12:00-16:00,0.0,0.0,
2025-06-21,16:00-20:00,232.2577265233976,4876.747469129202,
2025-06-21,20:00-24:00,2065.6445333333336,3071.508533333333,
2025-09-23,0:00-4:00,9184.942696090535,0.0,1391.0280785185184
2025-09-23,4:00-8:00,1335.9669903292252,6448.316071235359,1841.9037075925933
2025-09-23,8:00-12:00,5602.673521851782,1896.6157166666667,
2025-09-23,12:00-16:00,5440.37380889146,689.7074999999999,
2025-09-23,16:00-20:00,66.2572633744874,4845.292950000001,
2025-09-23,20:00-24:00,758.1123500000009,3848.8242666666647,
2025-12-21,0:00-4:00,9254.965017131593,45.67853333333335,1608.726329581566
2025-12-21,4:00-8:00,1809.1974570627315,644.1467673874816,1896.0165282627263
2025-12-21,8:00-12:00,4877.360130005703,8306.179896787284,
2025-12-21,12:00-16:00,8302.56436421254,2369.5589435294887,
2025-12-21,16:00-20:00,0.0,4989.370524730212,
2025-12-21,20:00-24:00,668.0386833333328,3565.3259333333335,
