逐小时统计（334 天汇总）：比率抬高 (T/T_lin-1) 与 A / Lin 的 ME(kW)
    钟点     比率均值%     比率中位%     A误差均值     Lin误差均值
     5    -24.11      0.00      -9.6        92.3
     6    -20.27     -1.00      -4.9        54.6
     7     -2.64      0.00     -35.1        -7.4
     8     -0.02      0.00     -77.3       -48.0
     9      3.30      1.11      94.0      -102.7
    10      2.38      0.96      41.4      -109.7
    11     23.22     20.81    1657.4      -119.9
    12     32.32     26.14    2291.8      -148.4
    13      1.77      1.07     -13.4      -139.1
    14      0.95      0.49     -39.4      -133.4
    15      2.89      0.16      14.2      -100.5
    16     -4.57     -0.48     -92.5       -40.4
    17    -22.38      0.00     -18.9        54.4
    18    -27.38      0.00     -54.5       110.2
    19      0.00      0.00      -0.4        -0.4
    20      0.00      0.00       nan         nan
