candidate,metric,pooled,ci_low,ci_high
07:00,rmse_improvement_pct,0.71,-1.59,2.97
07:00,mae_improvement_pct,2.79,-0.1,5.8
08:00,rmse_improvement_pct,5.26,2.24,8.05
08:00,mae_improvement_pct,9.39,5.96,12.78
09:00,rmse_improvement_pct,11.17,7.23,15.04
09:00,mae_improvement_pct,13.96,9.81,18.16
10:00,rmse_improvement_pct,20.91,16.12,24.33
10:00,mae_improvement_pct,21.53,16.98,25.71
11:00,rmse_improvement_pct,34.64,27.59,38.67
11:00,mae_improvement_pct,33.03,26.35,37.53
13:00,rmse_improvement_pct,17.85,13.58,22.01
13:00,mae_improvement_pct,17.65,13.06,21.64
14:00,rmse_improvement_pct,23.2,18.72,28.53
14:00,mae_improvement_pct,22.48,18.11,27.66
15:00,rmse_improvement_pct,21.68,15.53,27.42
15:00,mae_improvement_pct,19.92,14.5,25.4
16:00,rmse_improvement_pct,28.78,21.37,35.48
16:00,mae_improvement_pct,26.15,20.12,31.82
17:00,rmse_improvement_pct,23.57,15.43,32.91
17:00,mae_improvement_pct,25.74,17.42,33.31
