candidate,role,base_window,correlation,rmse_improvement_pct,mae_improvement_pct,bias_official_kwh,bias_self_kwh,remaining_hours,operative_slots,fitted_days,fallback_days,fallback_reasons,high_pv_tail_mean_error_kwh,high_pv_rmse_improvement_pct,high_pv_mae_improvement_pct,high_pv_days
07:00,reject,06:00-12:00,0.234,0.7,2.8,-1.435,0.3061,5,42-72,280,85,"{0: 280, 1: 13, 2: 32, 3: 40}",-1.5731,1.6,5.8,112
08:00,weak_control,06:00-12:00,0.403,5.3,9.4,-1.6055,0.9535,4,48-72,328,37,"{0: 328, 1: 13, 3: 24}",-0.7099,5.2,11.2,112
09:00,sensitivity,06:00-12:00,0.546,11.2,14.0,-1.7941,1.2046,3,54-72,332,33,"{0: 332, 1: 13, 3: 20}",-0.4176,7.2,10.4,112
10:00,primary,06:00-12:00,0.686,20.9,21.5,-1.8713,0.8767,2,60-72,341,24,"{0: 341, 1: 13, 3: 11}",1.2633,12.6,11.8,112
11:00,sensitivity_short_horizon,06:00-12:00,0.81,34.6,33.0,-1.9839,0.5023,1,66-72,339,26,"{0: 339, 1: 13, 3: 13}",0.1036,30.1,29.1,112
13:00,sensitivity,12:00-18:00,0.53,17.9,17.6,0.8432,0.0345,5,78-108,336,29,"{0: 336, 1: 13, 3: 16}",-2.2578,14.3,13.8,112
14:00,primary,12:00-18:00,0.577,23.2,22.5,0.7264,0.0754,4,84-108,338,27,"{0: 338, 1: 13, 3: 14}",-4.573,18.7,17.3,112
15:00,sensitivity,12:00-18:00,0.573,21.7,19.9,0.4202,0.3433,3,90-108,331,34,"{0: 331, 1: 13, 3: 21}",-3.2064,21.9,18.1,112
16:00,boundary_control,12:00-18:00,0.632,28.8,26.1,0.2848,0.1316,2,96-108,315,50,"{0: 315, 1: 13, 3: 37}",-10.6237,27.3,24.1,112
17:00,reject_short_horizon,12:00-18:00,0.675,23.6,25.7,0.0913,0.0962,1,102-108,302,63,"{0: 302, 1: 13, 2: 14, 3: 36}",-2.6407,23.2,25.6,112
