date,q0_kwh,qA_kwh,down_kwh,up_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,retained_cost,down_cost,up_cost,emergency_cost,total_cost,soc_start_kwh,soc_end_kwh
2025-02-01,47010.52010319031,43267.28794868692,3743.232154503393,0.0,18664.838707837964,14794.41480000826,0.0,5018.688107523883,22975.214280395707,1073.8531200056264,0.0,0.0,24049.06740040133,2148.5983254415114,2508.714495819838
2025-02-02,92998.09264520239,87881.01166502206,5132.28821816225,15.207237981928643,22609.486108244997,18382.136616795324,0.0,5297.384223572387,55425.90145128049,1785.296252988515,26.499372545409756,0.0,57237.697076814424,2508.714495819838,2432.655752356644
2025-02-03,94966.19706109645,88545.87454436261,6420.3225167338405,0.0,23168.929770935854,18834.233981412355,0.0,3994.2622548391055,55583.23902998327,2321.400467771352,0.0,0.0,57904.63949775462,2432.655752356644,2357.7659001851844
2025-02-04,97952.79984147489,91049.75776053964,6903.042080935245,0.0,22984.14146444061,18685.576346030222,0.0,5556.328692129257,57667.954640381955,2530.086638576172,0.0,0.0,60198.041278958124,2357.7659001851844,2281.741722592595
2025-02-05,91958.9968416175,88879.73875593928,3230.884491494102,151.6264058158854,22995.71081936061,18820.48569301543,0.0,3956.086646260766,55781.292644826004,1205.6651254215758,199.05011048375087,0.0,57186.007880731326,2281.741722592595,2066.23069
2025-02-06,98018.0960043565,88547.71270710419,9470.383297252305,0.0,22759.839629056733,18402.488341869284,5.091144289331737,3924.395347539414,55917.06135800417,3333.777652956129,0.0,29.57191160458339,59280.410922564886,2066.23069,2102.877087407407
2025-02-07,46995.01427415863,42078.49132208261,4916.52295207602,0.0,18074.819699079562,14956.596422725937,0.0,7154.58837906232,22121.033199254827,1321.0936463240903,0.0,0.0,23442.126845578918,2102.877087407407,1751.7743468835286
2025-02-08,37041.17969036658,37193.464940140686,0.0,152.2852497741064,18283.36541821999,14901.8944077867,85.6846548065651,2320.5158678472944,19428.03207372916,0.0,165.28245170944007,523.7902948325325,20117.10482027113,1751.7743468835286,1649.1427701851856
2025-02-09,90058.27853579617,86648.7895406281,3409.4889951680666,0.0,22870.42079867255,18724.504323621626,0.0,2947.457098910505,54365.946471154464,1245.5444325669844,0.0,0.0,55611.490903721446,1649.1427701851856,1427.5166849664533
2025-02-10,86586.28024680351,81254.38474214924,5331.895504654271,0.0,23939.8583362111,19378.692381374807,0.0,2366.5812039796147,50327.23519768985,1962.1147905381035,0.0,0.0,52289.34998822796,1427.5166849664533,1441.5087638066536
2025-02-11,86228.9789005658,81199.18579156385,5029.793109001952,0.0,23942.030685542675,19322.190102882225,123.67707016825553,1482.4251457383216,50232.28429808062,1955.109546292313,0.0,693.8943712214817,52881.28821559442,1441.5087638066536,1520.2362664814812
2025-02-12,86721.3504101692,81307.27159292182,5414.078817247378,0.0,24063.61107493082,19559.1122625273,9.836582726087386,1545.8732299110497,50382.02228226905,2032.1213983822595,0.0,43.074395757536664,52457.21807640885,1520.2362664814812,1445.1392755555567
2025-02-13,81693.00776280627,78608.0592692866,3124.2451758975103,39.296682377837556,23503.18715803968,18844.29519301214,46.662865488613875,2666.3511530810088,48248.87829473692,1126.7202933559327,46.53833047496509,204.35109454130685,49626.48801310913,1445.1392755555567,1659.9019477777783
2025-02-14,36912.82925901538,36934.61563524898,260.5755970533619,282.36197328695505,17772.760750333007,14350.069047324834,0.0,3710.122115574134,19306.50930526353,53.58737153402387,332.6815398597126,0.0,19692.778216657265,1659.9019477777783,1710.8654593832264
2025-02-15,37547.787231276474,36383.66718657286,1164.1200447036144,0.0,17331.94981315733,14451.44665293568,2.341291071131682,4225.414217422338,19197.86321687289,383.23052439539947,0.0,4.9729022350836924,19586.066643503375,1710.8654593832264,1252.4573435185184
2025-02-16,87405.75787697342,80748.9109901057,6656.846886867733,0.0,24217.478511095578,19465.823314654088,226.7813338414498,846.6580275056496,49673.74572402423,2508.1742506427076,0.0,1525.1666630779541,53707.08663774489,1252.4573435185184,1419.4954316666672
2025-02-17,86963.48832276606,76603.74150297069,10359.746819795384,0.0,22265.306256976022,17958.902802817236,110.418496771229,1223.8933789164623,46979.959140807274,3442.1974452725008,0.0,756.2862169518203,51178.44280303159,1419.4954316666672,1503.9346153703705
2025-02-18,77603.05619445631,77165.14205575593,667.983238708884,230.0691000085019,22511.528962122615,17909.102610313163,1.7280303696929877,473.0559509828391,47787.57575067149,173.37784990325773,167.19135527575443,7.567044988885594,48135.71200083938,1503.9346153703705,1865.3077809327694
2025-02-19,77552.23160455187,78123.02761885924,116.87860236171832,687.6746166690816,23044.552259372373,19234.894671431106,55.099583333333385,1489.1422309179668,48145.50797050726,39.442882524582856,559.6023110021237,241.2810754166669,48985.834239450625,1865.3077809327694,1233.2996238888918
2025-02-20,81273.34082421998,77565.9521222612,3763.806639089734,56.41793713095342,22699.10471501381,18095.430554464205,76.98939690133022,2046.1336252795847,47479.46779180109,1233.0028952224543,70.07516190188645,353.93152005260185,49136.477368978034,1233.2996238888918,1556.4599179966463
2025-02-21,35170.170259756465,35093.642141247365,76.52811850909598,0.0,17404.212451058844,14040.321111457963,0.0,6169.488768313155,18324.28700166403,41.10325245123545,0.0,0.0,18365.390254115264,1556.4599179966463,1619.8943334407575
2025-02-22,35493.620507691514,35152.40474211144,370.38557556445926,29.169809984382212,17140.966176034995,13668.918185639246,0.0,3835.5938683823592,18585.68683977573,125.34912087013528,33.74908552051217,0.0,18744.78504616638,1619.8943334407575,1859.0770189397556
