date,strategy,initial_soc_kwh,final_soc_kwh,residual_count,q0_cost_face,settlement_cost,retained_cost,down_cost,up_cost,emergency_cost,total_cost,down_kwh,up_kwh,calibration_count,calibration_seconds,day_seconds,cal_0_update_slot,cal_0_method,cal_0_accepted_search,cal_0_evaluations,cal_0_selected_score,cal_0_nit,cal_0_success,cal_0_termination,cal_1_update_slot,cal_1_method,cal_1_accepted_search,cal_1_evaluations,cal_1_selected_score,cal_1_nit,cal_1_success,cal_1_termination,cal_2_update_slot,cal_2_method,cal_2_accepted_search,cal_2_evaluations,cal_2_selected_score,cal_2_nit,cal_2_success,cal_2_termination
2025-02-01,M612,2148.5983254415123,2508.770148166269,21,25122.92052040696,24076.03150457676,23029.142488746562,1046.8890158301988,0.0,0.0,24076.03150457676,3672.8016497415497,0.0,3,1.407806300005177,1.6557028999959584,0,differential_evolution_staged_direct_search,True,17,-4211.022529289439,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-3373.549548019606,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,142,-766.3509496042482,6,True,population_collapse_convergence
2025-02-02,M612,2508.770148166269,2492.2249205555586,21,58996.46735543593,57187.89199353683,55308.209877772155,1844.1287388318872,35.55337693279051,0.0,57187.89199353683,5335.0034063134635,22.505028968412148,3,0.0478245000122115,0.25218100000347476,0,differential_evolution_staged_direct_search,True,12,-4454.21153591025,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,32,-2614.708605300896,2,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,122,-737.3967239432602,5,True,population_collapse_convergence
2025-02-03,M612,2492.2249205555586,2406.7952220689913,21,60197.56590312689,57923.68446929788,55649.80303546885,2273.881433829017,0.0,0.0,57923.68446929788,6324.428915818326,0.0,3,0.06731660000514239,0.28153999999631196,0,differential_evolution_staged_direct_search,True,17,-4454.21153591025,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-2901.8243854323587,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-713.732448571899,8,False,maxiter_budget
2025-02-04,M612,2406.7952220689913,2281.7420003703705,21,62704.69190167381,60217.694646007076,57730.69739034032,2486.9972556667476,0.0,0.0,60217.694646007076,6789.192983130838,0.0,3,0.08559190001687966,0.32740840000042226,0,differential_evolution_staged_direct_search,True,12,-4454.086776265291,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2421.2016757037336,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-698.1375056364333,8,False,maxiter_budget
2025-02-05,M612,2281.7420003703705,2066.2309831676716,21,58192.62276289136,57255.92732376645,55921.13166366985,1135.7455496107632,199.0501104858505,0.0,57255.92732376645,3032.4662112045216,151.6264058173379,3,0.07901509999646805,0.3040107999986503,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2374.66159835681,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-700.2342982427687,8,False,maxiter_budget
2025-02-06,M612,2066.2309831676716,2102.877365185186,21,62584.61652378229,59243.64222846388,55902.667933145465,3340.97429531841,0.0,29.57191160458339,59273.21414006846,9478.5862907173,0.0,3,0.054973700011032633,0.3237862999958452,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2818.8675262643405,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,142,-708.112584166973,6,True,population_collapse_convergence
2025-02-07,M612,2102.877365185186,1751.8295070803722,21,24763.220359125222,23396.592772126558,22029.96518512789,1366.6275869986657,0.0,0.0,23396.592772126558,5026.362654203912,0.0,3,0.10337640001671389,0.36670179999782704,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2648.3093869694226,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-751.1829990907581,8,False,maxiter_budget
2025-02-08,M612,1751.8295070803722,1649.1427701851856,21,19428.00581134655,19643.493738364086,19428.005809190417,1.0780661739602238e-06,215.48792809560547,390.0655220630603,20033.559260427148,2.186303333928663e-06,197.0473277227132,3,0.04667460000200663,0.28347009999561124,0,differential_evolution_staged_direct_search,True,12,-3506.9780106979315,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-3410.60683607982,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,102,-793.2050663243206,4,True,population_collapse_convergence
2025-02-09,M612,1649.1427701851856,1424.212318063774,21,56857.035336288434,55538.73278593423,54220.430235580025,1318.3025503542026,0.0,0.0,55538.73278593423,3599.237675761399,0.0,3,0.06489580000925343,0.3038083999999799,0,differential_evolution_staged_direct_search,True,12,-4453.483613600071,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-3052.19554848336,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,142,-647.2302412346944,6,True,population_collapse_convergence
2025-02-10,M612,1424.212318063774,1434.1994729730898,21,54253.047570512455,52292.748081351885,50332.44859219133,1960.2994891605626,0.0,0.0,52292.748081351885,5321.788910473312,0.0,3,0.12355050000769552,0.42308999999659136,0,differential_evolution_staged_direct_search,True,22,-4453.253474467541,3,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2576.7188499416216,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-660.7275291819611,8,False,maxiter_budget
2025-02-11,M612,1434.1994729730898,1520.2362664814812,21,54146.00454097453,52087.70009640551,50029.3956518365,2058.3044445690102,0.0,693.8943712214817,52781.594467626994,5298.915087949686,0.0,3,0.06702449999283999,0.29773049999494106,0,differential_evolution_staged_direct_search,True,17,-4453.417446728599,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2928.154543052272,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-711.9990901386072,8,False,maxiter_budget
2025-02-12,M612,1520.2362664814812,1416.4573909498606,21,54446.26507903356,52394.64465434551,50343.024229657465,2051.620424688049,0.0,43.074395757536664,52437.71905010305,5444.732719277113,0.0,3,0.09933450000244193,0.32233359999372624,0,differential_evolution_staged_direct_search,True,22,-4452.143111505684,3,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2934.208540824819,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-637.700910606461,8,False,maxiter_budget
2025-02-13,M612,1416.4573909498606,1659.9019477777783,21,50516.05750417492,49317.0955846767,48031.34856794476,1242.3544681150784,43.392548616858534,204.35109454130685,49521.44667921801,3469.7312064714192,37.203985965035486,3,0.12186510000901762,0.4262185999978101,0,differential_evolution_staged_direct_search,True,12,-4451.356494996654,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2727.432388254174,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-688.0802204527253,8,False,maxiter_budget
2025-02-14,M612,1659.9019477777783,1710.865457212348,21,19413.684048331575,19705.090326798825,19306.5093033367,53.58737249743713,344.99365096468637,0.0,19705.090326798825,260.57559900715046,294.4862080548382,3,0.10928780000540428,0.4311054999998305,0,differential_evolution_staged_direct_search,True,47,-3446.5011941465386,8,False,maxiter_budget,36,differential_evolution_staged_direct_search,True,42,-3247.1319497257064,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-788.3886523382957,8,False,maxiter_budget
2025-02-15,M612,1710.865457212348,1252.4573435185184,21,19964.32426669728,19615.35011255389,19266.3759584105,348.97415414338894,0.0,376.95788830414415,19992.308000858033,1056.2423486308144,0.0,3,0.07130559999495745,0.39151079999282956,0,differential_evolution_staged_direct_search,True,12,-3325.5991195759416,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-3519.736968704382,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,122,-724.2032578340475,5,True,population_collapse_convergence
2025-02-16,M612,1252.4573435185184,1419.4954316666672,21,54690.094225309644,52366.57298574934,50043.05174618905,2323.5212395603007,0.0,243.28262253265706,52609.855608282,6120.872719336387,0.0,3,0.0738705999974627,0.3279673999932129,0,differential_evolution_staged_direct_search,True,17,-4452.05663222496,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,32,-2711.4390659508636,2,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-626.1467301285127,8,False,maxiter_budget
