date,strategy,initial_soc_kwh,final_soc_kwh,residual_count,q0_cost_face,settlement_cost,retained_cost,down_cost,up_cost,emergency_cost,total_cost,down_kwh,up_kwh,calibration_count,calibration_seconds,day_seconds,cal_0_update_slot,cal_0_method,cal_0_accepted_search,cal_0_evaluations,cal_0_selected_score,cal_0_nit,cal_0_success,cal_0_termination,cal_1_update_slot,cal_1_method,cal_1_accepted_search,cal_1_evaluations,cal_1_selected_score,cal_1_nit,cal_1_success,cal_1_termination,cal_2_update_slot,cal_2_method,cal_2_accepted_search,cal_2_evaluations,cal_2_selected_score,cal_2_nit,cal_2_success,cal_2_termination
2025-02-01,M612,2148.5983254415123,2508.7144958198596,21,25122.92052040696,24049.067400401393,22975.21428039582,1073.8531200055704,0.0,0.0,24049.067400401393,3743.23215450317,0.0,3,1.4248779999907129,1.666288499996881,0,differential_evolution_staged_direct_search,True,17,-4211.022529289439,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-3373.549548019606,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,142,-766.3509496042482,6,True,population_collapse_convergence
2025-02-02,M612,2508.7144958198596,2432.6557581155134,21,58996.49395725751,57193.88105407367,55338.269405799016,1829.1122757292476,26.499372545409756,0.0,57193.88105407367,5252.200709094272,15.207237981928643,3,0.04671769999549724,0.2538280000007944,0,differential_evolution_staged_direct_search,True,12,-4454.21153591025,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,32,-2614.708605300896,2,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,122,-737.3967239432602,5,True,population_collapse_convergence
2025-02-03,M612,2432.6557581155134,2357.765905944032,21,60226.03996277324,57880.5476289278,55535.05529508235,2345.4923338454414,0.0,0.0,57880.5476289278,6486.255378022124,0.0,3,0.07209880001028068,0.276943000004394,0,differential_evolution_staged_direct_search,True,17,-4454.21153591025,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-2901.8243854323587,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-713.732448571899,8,False,maxiter_budget
2025-02-04,M612,2357.765905944032,2281.741722592595,21,62728.12791478154,60153.88699531649,57579.64607585143,2574.2409194650527,0.0,0.0,60153.88699531649,7023.880304072431,0.0,3,0.0877776000124868,0.3267115000053309,0,differential_evolution_staged_direct_search,True,12,-4454.086776265291,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2421.2016757037336,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-698.1375056364333,8,False,maxiter_budget
2025-02-05,M612,2281.741722592595,2066.2306957588785,21,58192.622895669156,57185.03826350916,55779.35341038155,1206.634742643803,199.05011048380976,0.0,57185.03826350916,3233.5380729661315,151.62640581587922,3,0.07352149998769164,0.29322490000049584,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2374.6615983568154,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-700.2342982427687,8,False,maxiter_budget
2025-02-06,M612,2066.2306957588785,2102.877087407407,21,62584.61666116369,59209.00552106173,55833.394380959784,3375.6111401019543,0.0,29.57191160458339,59238.57743266631,9584.870141790945,0.0,3,0.05273329999181442,0.32503239999641664,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2818.867526264526,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,142,-708.112584166973,6,True,population_collapse_convergence
2025-02-07,M612,2102.877087407407,1751.7743589321651,21,24763.220491903005,23442.12685140309,22121.033210903177,1321.0936404999125,0.0,0.0,23442.12685140309,4916.5229412323,0.0,3,0.08400509999773931,0.35355970000091475,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-2648.3093869694235,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-751.1829990907581,8,False,maxiter_budget
2025-02-08,M612,1751.7743589321651,1649.1427701851856,21,19428.03206799267,19593.314520343174,19428.03206799267,0.0,165.282452350504,523.7902914929982,20117.104811836172,0.0,152.28525032041398,3,0.052429499992285855,0.28786549999495037,0,differential_evolution_staged_direct_search,True,12,-3506.975843871751,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-3410.60683607982,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,102,-793.2050663243206,4,True,population_collapse_convergence
2025-02-09,M612,1649.1427701851856,1427.5166907254174,21,56857.035336288434,55598.26248733781,54339.48963838718,1258.7728489506267,0.0,0.0,55598.26248733781,3445.691561746731,0.0,3,0.05868799999007024,0.2831163000082597,0,differential_evolution_staged_direct_search,True,12,-4453.483613600071,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-3052.19554848336,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,142,-647.2302412346944,6,True,population_collapse_convergence
2025-02-10,M612,1427.5166907254174,1441.508769402578,21,54251.464776007524,52273.0795719028,50294.694367798074,1978.3852041047267,0.0,0.0,52273.0795719028,5376.984641388668,0.0,3,0.13012889998208266,0.4362093000090681,0,differential_evolution_staged_direct_search,True,22,-4453.253474467541,3,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2576.718849942403,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-660.7275291815615,8,False,maxiter_budget
