date,strategy,initial_soc_kwh,final_soc_kwh,residual_count,q0_cost_face,settlement_cost,retained_cost,down_cost,up_cost,emergency_cost,total_cost,down_kwh,up_kwh,calibration_count,calibration_seconds,day_seconds,cal_0_update_slot,cal_0_method,cal_0_accepted_search,cal_0_evaluations,cal_0_selected_score,cal_0_nit,cal_0_success,cal_0_termination,cal_1_update_slot,cal_1_method,cal_1_accepted_search,cal_1_evaluations,cal_1_selected_score,cal_1_nit,cal_1_success,cal_1_termination,cal_2_update_slot,cal_2_method,cal_2_accepted_search,cal_2_evaluations,cal_2_selected_score,cal_2_nit,cal_2_success,cal_2_termination
2025-02-01,M612,2148.5983254415123,2508.770148166269,21,25122.92052040696,24076.03150457676,23029.142488746562,1046.8890158301988,0.0,0.0,24076.03150457676,3672.8016497415497,0.0,3,1.4305382000020472,1.6803881999949226,0,differential_evolution_staged_direct_search,True,17,-4211.022529289439,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-3373.549548019606,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,142,-766.3509496042482,6,True,population_collapse_convergence
2025-02-02,M612,2508.770148166269,2492.2249205555586,21,58996.46735543593,57124.905108580366,55182.23610785923,1907.1156237883513,35.55337693278699,0.0,57124.905108580366,5581.073452452543,22.505028968409306,3,0.05279409998911433,0.2628705999959493,0,differential_evolution_staged_direct_search,True,12,-4454.21153591025,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,32,-2614.708605300896,2,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,122,-737.3967239432602,5,True,population_collapse_convergence
2025-02-03,M612,2492.2249205555586,2406.7952220689913,21,60197.56590312689,57905.77633114881,55613.986759170715,2291.7895719780863,0.0,0.0,57905.77633114881,6396.580457338962,0.0,3,0.07334849999460857,0.2769983000034699,0,differential_evolution_staged_direct_search,True,17,-4454.21153591025,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-2901.8243854323587,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-713.732448571899,8,False,maxiter_budget
2025-02-04,M612,2406.7952220689913,2281.7420003703705,21,62704.69190167381,60261.398630805386,57818.10535993695,2443.293270868434,0.0,0.0,60261.398630805386,6666.610047477992,0.0,3,0.09611090000544209,0.35725339999771677,0,differential_evolution_staged_direct_search,True,12,-4454.086776265291,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2421.2016757037336,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-698.1375056364333,8,False,maxiter_budget
2025-02-05,M612,2281.7420003703705,2066.2309831676716,21,58192.62276289136,57255.92732376645,55921.13166366985,1135.7455496107632,199.0501104858505,0.0,57255.92732376645,3032.4662112045216,151.6264058173379,3,0.08282569999573752,0.2781457999954,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2374.66159835681,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-700.2342982427687,8,False,maxiter_budget
2025-02-06,M612,2066.2309831676716,2102.877365185186,21,62584.61652378229,59309.9842368306,56035.3519498789,3274.6322869516925,0.0,29.57191160458339,59339.55614843518,9224.632935973113,0.0,3,0.06411440001102164,0.37330649999785237,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2818.8675262643405,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,142,-708.112584166973,6,True,population_collapse_convergence
2025-02-07,M612,2102.877365185186,1751.8295070803722,21,24763.220359125222,23396.592772126558,22029.96518512789,1366.6275869986657,0.0,0.0,23396.592772126558,5026.362654203912,0.0,3,0.09675500000594184,0.3472133000032045,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2648.3093869694226,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-751.1829990907581,8,False,maxiter_budget
2025-02-08,M612,1751.8295070803722,1649.1427701851856,21,19428.00581134655,19643.493738364086,19428.005809190417,1.0780661739602238e-06,215.48792809560547,390.0655220630603,20033.559260427148,2.186303333928663e-06,197.0473277227132,3,0.049790600009146146,0.28316910000285134,0,differential_evolution_staged_direct_search,True,12,-3506.9780106979315,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-3410.60683607982,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,102,-793.2050663243206,4,True,population_collapse_convergence
2025-02-09,M612,1649.1427701851856,1424.2123180637614,21,56857.035336288434,55614.158808450105,54371.282280611784,1242.8765278383232,0.0,0.0,55614.158808450105,3373.180140734987,0.0,3,0.06491290000849403,0.3013537999941036,0,differential_evolution_staged_direct_search,True,12,-4453.483613600071,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-3052.19554848336,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,122,-647.2302412346944,5,True,population_collapse_convergence
2025-02-10,M612,1424.2123180637614,1434.1994729730825,21,54253.047570512455,52286.51578038237,50319.98399025228,1966.5317901300862,0.0,0.0,52286.51578038237,5348.963790126829,0.0,3,0.1019442000251729,0.4104732999985572,0,differential_evolution_staged_direct_search,True,22,-4453.253474467541,3,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2576.7188499418817,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-669.8841477303665,8,False,maxiter_budget
