date,q0_kwh,qA_kwh,down_kwh,up_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,retained_cost,down_cost,up_cost,emergency_cost,total_cost,soc_start_kwh,soc_end_kwh
2025-02-01,47010.52010319027,43267.2879486871,3743.2321545031687,0.0,18664.83870783774,14794.414800008062,0.0,5018.688107524092,22975.214280395816,1073.8531200055716,0.0,0.0,24049.06740040139,2148.5983254415123,2508.7144958198537
2025-02-02,92998.09264520233,87701.64589467042,5311.653988513833,15.207237981928643,22503.975305786254,18296.672866803758,0.0,5138.065505687925,55350.530175386586,1822.9818909354688,26.499372545409756,0.0,57200.01143886746,2508.7144958198537,2432.655752356644
2025-02-03,94966.19706109643,88429.70625115761,6536.490809938827,0.0,23111.932342987988,18788.06606477458,0.0,3888.9234729442005,55549.04606840584,2338.4969485600654,0.0,0.0,57887.54301696591,2432.655752356644,2357.7659001851844
2025-02-04,97952.79984147516,90661.29943142562,7291.500410049543,0.0,22908.414243713978,18624.237297241652,0.0,5182.258534953301,57540.56303343862,2593.782442047833,0.0,0.0,60134.34547548645,2357.7659001851844,2281.741722592595
2025-02-05,91958.9968416175,88879.7387559305,3281.0385748362155,201.78048914921257,22995.7108193144,18820.485692978003,0.0,3956.0866462607687,55752.79509467599,1219.9139004965818,259.15977935880977,0.0,57231.86877453138,2281.741722592595,2066.23069
2025-02-06,98018.09600435648,88440.4777941952,9577.618210161274,0.0,22636.802591953016,18302.828341815275,5.091144289331737,3840.537471680128,55912.157875319186,3336.2293942986225,0.0,29.57191160458339,59277.959181222395,2066.23069,2102.877087407407
2025-02-07,46995.014274158646,42078.49133292632,4916.522941232319,0.0,18074.819699079613,14956.596411882227,0.0,7154.588379062269,22121.033210903155,1321.0936404999225,0.0,0.0,23442.126851403078,2102.877087407407,1751.7743589321433
2025-02-08,37041.17967697923,37193.46492675334,0.0,152.28524977410936,18283.365404832635,14901.894407786696,85.68465480656835,2320.5158678473013,19428.03206799268,0.0,165.28245170944285,523.7902948325523,20117.104814534676,1751.7743589321433,1649.1427701851856
2025-02-09,90058.27853579479,86607.51360156987,3450.7649342249197,0.0,22549.78396736789,18464.78849026485,0.0,2967.1021578001614,54441.94925873404,1207.543038777196,0.0,0.0,55649.492297511235,1649.1427701851856,1427.5166849664533
2025-02-10,86586.28024680208,81343.06111997765,5243.219126824433,0.0,23939.85833620713,19378.69238137159,0.0,2455.2575818087757,50358.38476849858,1946.5400051337408,0.0,0.0,52304.92477363232,1427.5166849664533,1441.5087638066536
2025-02-11,86228.97890056076,81199.18579156416,5029.793108996602,0.0,23942.030685544287,19322.19010288353,123.67707016825553,1482.4251457383195,50232.28429808061,1955.1095462923247,0.0,693.8943712214817,52881.28821559442,1441.5087638066536,1520.2362664814812
2025-02-12,86721.35041017138,81352.77169082216,5368.5787193492115,0.0,24063.611074929366,19559.112262526116,9.836582726087386,1591.3733278116692,50393.08757109701,2026.5887539682806,0.0,43.074395757536664,52462.75072082282,1520.2362664814812,1445.1392755555567
