date,q0_kwh,qA_kwh,down_kwh,up_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,retained_cost,down_cost,up_cost,emergency_cost,total_cost,soc_start_kwh,soc_end_kwh
2025-02-01,47010.520103190305,43337.71845344855,3672.801649741755,0.0,18664.838707837935,14794.364712896408,0.0,5089.068525173692,23029.142488746475,1046.8890158302418,0.0,0.0,24076.031504576717,2148.5983254415123,2508.7701481663134
2025-02-02,92998.0308092621,87434.79159735558,5585.744240874918,22.505028968412148,22503.91346982937,18243.060615411472,0.0,4817.660792937686,55216.61813153447,1889.924611950717,35.55337693279051,0.0,57142.09612041798,2508.7701481663134,2492.2249205555586
2025-02-03,94900.00909643102,88492.59912777567,6407.409968655363,0.0,23045.74437832847,18743.939675083904,0.0,3973.8779245311016,55631.97823048715,2282.7938363198723,0.0,0.0,57914.77206680702,2492.2249205555586,2406.795222069062
2025-02-04,97898.32281715951,91231.71276968197,6666.610047477543,0.0,22810.119233794936,18588.74447890272,0.0,5815.474064789756,57863.479200355294,2420.606350659257,0.0,0.0,60284.08555101455,2406.795222069062,2281.7420003703705
2025-02-05,91958.99653297587,89078.15672758417,3082.6202945423934,201.78048915068942,23020.254737709576,18840.36625302725,0.0,4149.84125956851,55892.63411351981,1149.9943246857772,259.1597793608965,0.0,57301.788217566485,2281.7420003703705,2066.230983167608
2025-02-06,98018.09567861476,88790.75325039914,9227.342428215612,0.0,22681.905601185732,18339.36179314462,5.091144289331737,4182.24336998069,56105.44453047675,3239.585996652782,0.0,29.57191160458339,59374.60243873412,2066.230983167608,2102.877365185186
2025-02-07,46995.013965516664,42059.338601977026,4935.675363539638,0.0,18074.819390437668,14956.546788006755,0.0,7135.386332879447,22072.243594285163,1345.4883824200274,0.0,0.0,23417.73197670519,2102.877365185186,1751.8294965715793
2025-02-08,37041.118412935415,37238.16573847183,2.186303333928663e-06,197.04732772271655,18283.304140788816,14901.894407786695,63.80918077262237,2343.4024695756634,19428.005814193773,1.0780661739602238e-06,215.4879280956089,390.06552206304053,20033.55926543049,1751.8294965715793,1649.1427701851856
2025-02-09,90058.27853579925,86651.75441813533,3406.5241176639297,0.0,22549.783967394767,18467.76242049911,0.0,3014.3169045730046,54420.13220135536,1218.451567466535,0.0,0.0,55638.58376882189,1649.1427701851856,1424.2123180636904
2025-02-10,86589.95176557846,81240.98797545549,5348.96379012297,0.0,23943.529854986366,19385.27074312057,0.0,2356.09128025636,50319.983990252316,1966.5317901300887,0.0,0.0,52286.515780382404,1424.2123180636904,1434.1994729730025
