date,strategy,initial_soc_kwh,final_soc_kwh,residual_count,q0_cost_face,settlement_cost,retained_cost,down_cost,up_cost,emergency_cost,total_cost,down_kwh,up_kwh,calibration_count,calibration_seconds,day_seconds,cal_0_update_slot,cal_0_method,cal_0_accepted_search,cal_0_evaluations,cal_0_selected_score,cal_0_nit,cal_0_success,cal_0_termination,cal_1_update_slot,cal_1_method,cal_1_accepted_search,cal_1_evaluations,cal_1_selected_score,cal_1_nit,cal_1_success,cal_1_termination,cal_2_update_slot,cal_2_method,cal_2_accepted_search,cal_2_evaluations,cal_2_selected_score,cal_2_nit,cal_2_success,cal_2_termination
2025-02-01,M612,2148.5983254415123,2510.932082327933,21,25122.92052040696,24013.787163245943,22904.65380608492,1109.13335716102,0.0,0.0,24013.787163245943,3826.1288079125143,0.0,3,1.5340713999903528,1.779301900009159,0,differential_evolution_staged_direct_search,True,17,-4211.022529289439,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-3373.549548019606,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,142,-766.3509496042482,6,True,population_collapse_convergence
2025-02-02,M612,2510.932082327933,2411.7274066005243,21,58995.43395090665,56982.75307946652,54917.07346293559,2039.1802439855296,26.499372545409756,0.0,56982.75307946652,5940.447656462434,15.207237981928643,3,0.05899170000338927,0.28319239999109413,0,differential_evolution_staged_direct_search,True,12,-4454.21153591025,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,32,-2614.708605300896,2,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,122,-737.3967239432602,5,True,population_collapse_convergence
2025-02-03,M612,2411.7274066005243,2359.7367633665926,21,60236.0437147974,57810.424861144,55384.80600749061,2425.6188536533946,0.0,0.0,57810.424861144,6764.053841236535,0.0,3,0.08456350000051316,0.29683389999263454,0,differential_evolution_staged_direct_search,True,17,-4454.21153591025,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-2901.8243854323587,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-713.732448571899,8,False,maxiter_budget
2025-02-04,M612,2359.7367633665926,2286.608698126209,21,62727.185844933556,60317.534262079076,57907.88267922459,2409.651582854486,0.0,0.0,60317.534262079076,6643.517434955433,0.0,3,0.12653139999019913,0.35868249999475665,0,differential_evolution_staged_direct_search,True,12,-4454.086776265291,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2421.2016757037336,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-698.1375056364333,8,False,maxiter_budget
2025-02-05,M612,2286.608698126209,2075.8109199907426,21,58190.29648136407,57177.240449499935,55645.8648589144,1272.2158112248412,259.1597793606974,0.0,57177.240449499935,3433.2911426296173,201.78048915054427,3,0.09813579998444766,0.3125228999997489,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2374.6615983568245,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-700.2342982427687,8,False,maxiter_budget
2025-02-06,M612,2075.8109199907426,2102.877365185186,21,62580.037313980865,59363.25379388833,56146.47027379581,3216.783520092533,0.0,29.57191160458339,59392.82570549291,9188.37977322697,0.0,3,0.08152190000691917,0.3080599999957485,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2818.867526264062,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,142,-708.112584166973,6,True,population_collapse_convergence
2025-02-07,M612,2102.877365185186,1752.263894097672,21,24763.220359125222,23400.49607516076,22037.771791196305,1362.724283964459,0.0,0.0,23400.49607516076,4993.51587495957,0.0,3,0.12480259999574628,0.3904521000076784,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2648.3093869694226,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-751.1829990907581,8,False,maxiter_budget
2025-02-08,M612,1752.263894097672,1649.1427701851856,21,19427.798994861092,19599.08241121991,19427.798994861092,0.0,171.28341635882077,364.0174668362883,19963.0998780562,0.0,153.36306400140546,3,0.04845769998792093,0.2778263999935007,0,differential_evolution_staged_direct_search,True,12,-3506.9950782005276,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-3410.60683607982,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,102,-793.2050663243206,4,True,population_collapse_convergence
2025-02-09,M612,1649.1427701851856,1424.2122976330688,21,56857.035336288434,55574.96954235665,54292.90374842487,1282.0657939317807,0.0,0.0,55574.96954235665,3582.1984092414195,0.0,3,0.0705422000028193,0.401740700006485,0,differential_evolution_staged_direct_search,True,12,-4453.483613600071,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-3052.19554848336,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,122,-647.2302412346944,5,True,population_collapse_convergence
2025-02-10,M612,1424.2122976330688,1443.1271556531021,21,54253.047580298764,52215.623744697674,50178.19990909658,2037.4238356010922,0.0,0.0,52215.623744697674,5557.227265973244,0.0,3,0.11337779999303166,0.38678230000368785,0,differential_evolution_staged_direct_search,True,22,-4453.253474467541,3,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2576.7188499416216,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-669.8841477303665,8,False,maxiter_budget
