date,strategy,initial_soc_kwh,final_soc_kwh,residual_count,q0_cost_face,settlement_cost,retained_cost,down_cost,up_cost,emergency_cost,total_cost,down_kwh,up_kwh,calibration_count,calibration_seconds,day_seconds,cal_0_update_slot,cal_0_method,cal_0_accepted_search,cal_0_evaluations,cal_0_selected_score,cal_0_nit,cal_0_success,cal_0_termination,cal_1_update_slot,cal_1_method,cal_1_accepted_search,cal_1_evaluations,cal_1_selected_score,cal_1_nit,cal_1_success,cal_1_termination,cal_2_update_slot,cal_2_method,cal_2_accepted_search,cal_2_evaluations,cal_2_selected_score,cal_2_nit,cal_2_success,cal_2_termination
2025-02-01,M612,2148.5983254415123,2508.7701481662684,21,25122.92052040696,24072.212115208113,23021.503710009267,1050.7084051988468,0.0,0.0,24072.212115208113,3682.7482262123863,0.0,3,1.493035699997563,1.6979206999967573,0,differential_evolution_staged_direct_search,True,17,-4211.022529289439,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-3373.549548019606,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,142,-766.3509496042482,6,True,population_collapse_convergence
2025-02-02,M612,2508.7701481662684,2492.2249205555586,21,58996.46735543593,57007.92178709466,54946.84591024568,2024.8107225951235,36.265154253852614,0.0,57007.92178709466,5959.390971395189,23.078742200235865,3,0.052620000002207235,0.23690600000554696,0,differential_evolution_staged_direct_search,True,12,-4454.21153591025,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,32,-2614.708605300896,2,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,122,-737.3967239432602,5,True,population_collapse_convergence
2025-02-03,M612,2492.2249205555586,2400.215672068034,21,60197.56590312689,57696.54313211543,55195.520361103976,2501.0227710114623,0.0,0.0,57696.54313211543,7001.382168881502,0.0,3,0.07499799999641255,0.24729880000813864,0,differential_evolution_staged_direct_search,True,17,-4454.21153591025,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-2901.8243854323587,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-713.732448571899,8,False,maxiter_budget
2025-02-04,M612,2400.215672068034,2281.7420061292273,21,62707.836926574266,60167.29586019094,57626.7547938076,2540.541066383332,0.0,0.0,60167.29586019094,6995.650749425822,0.0,3,0.09274120000191033,0.2652338000043528,0,differential_evolution_staged_direct_search,True,12,-4454.086776265291,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2421.2016757037336,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-698.1375056364333,8,False,maxiter_budget
2025-02-05,M612,2281.7420061292273,2066.2309831676625,21,58192.622760138634,57131.26881870776,55551.59531855764,1320.5137207904986,259.1597793596134,0.0,57131.26881870776,3551.343929190615,201.780489149779,3,0.08233170000312384,0.277399400001741,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2374.66159835682,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-700.2342982427687,8,False,maxiter_budget
2025-02-06,M612,2066.2309831676625,2102.8773709440884,21,62584.61652378229,59211.94628781377,55839.27605184525,3372.6702359685196,0.0,29.57191160458339,59241.51819941835,9590.62641025284,0.0,3,0.07872280001174659,0.28974430001107976,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2818.8675262638753,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,142,-708.112584166973,6,True,population_collapse_convergence
2025-02-07,M612,2102.8773709440884,1751.8295070803067,21,24763.22035637247,23439.185932497712,22115.151508622963,1324.0344238747523,0.0,0.0,23439.185932497712,4875.188142552176,0.0,3,0.08495350000157487,0.30215810000663623,0,differential_evolution_staged_direct_search,True,17,-4453.80261841074,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-2648.3093869694235,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-751.1829990907581,8,False,maxiter_budget
2025-02-08,M612,1751.8295070803067,1649.1427701851856,21,19428.005811346582,19705.459518779266,19428.005809190458,1.0780627543624633e-06,277.453708510747,333.8175311973578,20039.277049976623,2.186296399031562e-06,254.33941811820787,3,0.05703419999917969,0.28318479999143165,0,differential_evolution_staged_direct_search,True,12,-3506.9780106979315,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-3410.60683607982,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,102,-793.2050663243206,4,True,population_collapse_convergence
2025-02-09,M612,1649.1427701851856,1424.2123180637086,21,56857.035336288434,55580.549684471334,54304.064032654234,1276.4856518171014,0.0,0.0,55580.549684471334,3563.796483384917,0.0,3,0.07105939998291433,0.2971604999911506,0,differential_evolution_staged_direct_search,True,12,-4453.483613600071,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,-3052.19554848336,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,122,-647.2302412346944,5,True,population_collapse_convergence
2025-02-10,M612,1424.2123180637086,1428.8316060261816,21,54253.047570512485,52167.10696507332,50081.16635963417,2085.940605439158,0.0,0.0,52167.10696507332,5672.9310076336005,0.0,3,0.10933910000312608,0.3465993999998318,0,differential_evolution_staged_direct_search,True,22,-4453.253474467541,3,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2576.7188499416216,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-669.8841477303665,8,False,maxiter_budget
2025-02-11,M612,1428.8316060261816,1520.2362664814812,21,54148.575749242096,52221.30239568667,50294.029042131224,1927.2733535554373,0.0,693.8943712214817,52915.19676690815,4937.528632386462,0.0,3,0.114765799997258,0.3671211000037147,0,differential_evolution_staged_direct_search,True,17,-4453.417446728599,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,-2928.154543052272,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-711.9990901386072,8,False,maxiter_budget
2025-02-12,M612,1520.2362664814812,1445.1392811515138,21,54446.26507903356,52495.38197411754,50544.49886920152,1950.8831049160228,0.0,43.074395757536664,52538.45636987508,5213.328421302591,0.0,3,0.13111030000436585,0.3930934999953024,0,differential_evolution_staged_direct_search,True,22,-4452.143111505684,3,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2934.208540824819,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-642.3484065512815,8,False,maxiter_budget
2025-02-13,M612,1445.1392811515138,1659.9019477777783,21,50502.318878768325,49260.098982337535,47897.28450689152,1302.5171859384047,60.29728950762077,204.35109454130685,49464.45007687884,3694.398111069164,53.861274983997646,3,0.12419420000514947,0.37798360000306275,0,differential_evolution_staged_direct_search,True,12,-4451.356494996654,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,-2727.432388254214,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,-689.3123058701083,8,False,maxiter_budget
2025-02-14,M612,1659.9019477777783,1710.8654572123498,21,19413.684048331575,19703.253544496998,19306.50930333671,53.5873724974364,343.1568686628583,0.0,19703.253544496998,260.575599007149,295.1500264464597,3,0.09891829999105539,0.3157301000028383,0,differential_evolution_staged_direct_search,True,47,-3446.5011941465386,8,False,maxiter_budget,36,differential_evolution_staged_direct_search,True,42,-3247.1319497257064,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,-788.3886523382957,8,False,maxiter_budget
