date,q0_kwh,qA_kwh,down_kwh,up_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,retained_cost,down_cost,up_cost,emergency_cost,total_cost,soc_start_kwh,soc_end_kwh
2025-02-01,47010.520103190305,43267.28794868694,3743.2321545033665,0.0,18664.838707837935,14794.414800008215,0.0,5018.688107523888,22975.21428039573,1073.853120005615,0.0,0.0,24049.06740040134,2148.5983254415123,2508.7144958198605
2025-02-02,92998.09264520255,87630.27083045786,5383.029052726612,15.207237981928643,22503.975305769876,18296.672866790494,0.0,5066.690441478474,55334.30970504291,1831.0921261073006,26.499372545409756,0.0,57191.90120369562,2508.7144958198605,2432.655752356644
2025-02-03,94966.19706109652,88462.89349153075,6503.303569565773,0.0,23111.932342982025,18788.06606476975,0.0,3922.110713318467,55565.41422500154,2330.3128702622143,0.0,0.0,57895.727095263755,2432.655752356644,2357.7659001851844
2025-02-04,97952.79984147486,91172.34069619079,6780.459145284065,0.0,22908.41424370809,18624.237297236887,0.0,5693.29979971958,57800.73645039697,2463.6957335686648,0.0,0.0,60264.43218396563,2357.7659001851844,2281.741722592595
2025-02-05,91958.99684161751,88879.73875592541,3281.0385748413755,201.78048914926617,22995.710819287597,18820.485692956292,0.0,3956.0866462607682,55752.795094675945,1219.9139004966044,259.1597793588921,0.0,57231.86877453144,2281.741722592595,2066.23069
2025-02-06,98018.0960043566,88798.95656960366,9219.13943475294,0.0,22636.802591957465,18302.828341818877,5.091144289331737,4199.016247087733,56119.83795533984,3232.3893542882934,0.0,29.57191160458339,59381.799221232715,2066.23069,2102.877087407407
2025-02-07,46995.014274158646,42169.178622204745,4825.8356519539,0.0,18074.81969907964,14956.596422725996,0.0,7245.275679184435,22163.311618571748,1299.954436665624,0.0,0.0,23463.266055237375,2102.877087407407,1751.7743468835286
2025-02-08,37041.179690366596,37193.46494014071,0.0,152.2852497741151,18283.365418220044,14901.89440778674,85.68465480656835,2320.5158678473067,19428.03207372916,0.0,165.28245170944882,523.7902948325523,20117.10482027116,1751.7743468835286,1649.1427701851856
2025-02-09,90058.27853579925,86841.50309872875,3216.775437070508,0.0,22549.783967394767,18464.788490286624,0.0,3201.0916549539406,54565.648436929754,1145.6934496793347,0.0,0.0,55711.34188660909,1649.1427701851856,1427.5166849664533
2025-02-10,86586.28024680409,81305.63763496796,5280.642611836127,0.0,23939.858336205998,19378.692381370674,0.0,2417.8340967993017,50371.371919141915,1940.0464298120714,0.0,0.0,52311.41834895399,1427.5166849664533,1441.5087638066536
2025-02-11,86228.97890056638,81199.18579156428,5029.793109002104,0.0,23942.030685544894,19322.190102884022,123.67707016825553,1482.4251457383195,50232.2842980806,1955.1095462923229,0.0,693.8943712214817,52881.28821559441,1441.5087638066536,1520.2362664814812
