date,strategy,initial_soc_kwh,final_soc_kwh,residual_count,q0_cost_face,settlement_cost,retained_cost,down_cost,up_cost,emergency_cost,total_cost,down_kwh,up_kwh,calibration_count,calibration_seconds,day_seconds,cal_0_update_slot,cal_0_method,cal_0_accepted_search,cal_0_evaluations,cal_0_selected_score,cal_0_nit,cal_0_success,cal_0_termination,cal_1_update_slot,cal_1_method,cal_1_accepted_search,cal_1_evaluations,cal_1_selected_score,cal_1_nit,cal_1_success,cal_1_termination,cal_2_update_slot,cal_2_method,cal_2_accepted_search,cal_2_evaluations,cal_2_selected_score,cal_2_nit,cal_2_success,cal_2_termination
2025-02-01,M612,2148.5983254415114,2508.714495819838,21,25122.92052040696,24049.06740040133,22975.214280395703,1073.8531200056264,0.0,0.0,24049.06740040133,3743.2321545033933,0.0,3,1.5929553999885684,1.7843130999972345,0,differential_evolution_staged_direct_search,True,17,0.0,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,32,0.0,2,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,8.042427749584553,8,False,maxiter_budget
2025-02-02,M612,2508.714495819838,2432.655752356644,21,58996.49395725753,57191.901203695634,55334.30970504292,1831.092126107305,26.499372545409756,0.0,57191.901203695634,5383.029052724174,15.207237981928643,3,0.055835000006482005,0.2479689000028884,0,differential_evolution_staged_direct_search,True,12,0.0,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,32,67.26344712194293,2,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,122,24.57547519087694,5,True,population_collapse_convergence
2025-02-03,M612,2432.655752356644,2357.7659001851844,21,60226.03996552597,57895.72709526376,55565.41422500155,2330.312870262211,0.0,0.0,57895.72709526376,6503.303569570504,0.0,3,0.07765860001381952,0.26851629999873694,0,differential_evolution_staged_direct_search,True,17,0.0,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,30.166028130654738,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,122,37.32352933333344,5,True,population_collapse_convergence
2025-02-04,M612,2357.7659001851844,2281.741722592595,21,62728.12791753429,60264.43218396564,57800.73645039697,2463.6957335686643,0.0,0.0,60264.43218396564,6780.459145283528,0.0,3,0.0961333999875933,0.2936807000078261,0,differential_evolution_staged_direct_search,True,12,0.0,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,104.60451189770025,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,49.41480628287185,8,True,maxiter_budget
2025-02-05,M612,2281.741722592595,2066.23069,21,58192.62289566915,57231.86877453132,55752.79509467601,1219.9139004965737,259.1597793587509,0.0,57231.86877453132,3281.0385748302597,201.78048914921874,3,0.09351810000953265,0.2778173999977298,0,differential_evolution_staged_direct_search,True,17,0.0,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,89.90196835821105,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,55.908552295236674,8,False,maxiter_budget
2025-02-06,M612,2066.23069,2102.877087407407,21,62584.61666391643,59352.227309627095,56119.83795533777,3232.389354289333,0.0,29.57191160458339,59381.799221231675,9219.139434737024,0.0,3,0.0882693999883486,0.2908218999946257,0,differential_evolution_staged_direct_search,True,17,0.0,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,52,63.497074614424015,4,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,142,39.05744433015991,6,True,population_collapse_convergence
2025-02-07,M612,2102.877087407407,1751.7743468835286,21,24763.220491903005,23463.266055237385,22163.31161857176,1299.9544366656244,0.0,0.0,23463.266055237385,4825.835651953902,0.0,3,0.08246259999577887,0.28071510000154376,0,differential_evolution_staged_direct_search,True,17,0.0,2,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,0.0,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,31.046815028714907,8,False,maxiter_budget
2025-02-08,M612,1751.7743468835286,1649.1427701851856,21,19428.032073729162,19593.314525438604,19428.03207372916,0.0,165.28245170944007,523.7902948325325,20117.104820271135,0.0,152.2852497741064,3,0.05135080000036396,0.23249690000375267,0,differential_evolution_staged_direct_search,True,12,0.0,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,0.0,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,102,24.168427452294566,4,True,population_collapse_convergence
2025-02-09,M612,1649.1427701851856,1427.5166849664533,21,56857.035336288434,55711.34188660911,54565.64843692979,1145.6934496793187,0.0,0.0,55711.34188660911,3216.775437063631,0.0,3,0.08600750000914559,0.2685410999984015,0,differential_evolution_staged_direct_search,True,12,0.0,1,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,42,0.0,3,True,population_collapse_convergence,72,differential_evolution_staged_direct_search,True,182,89.13986203407939,8,False,maxiter_budget
2025-02-10,M612,1427.5166849664533,1441.5087638066536,21,54251.464778766065,52311.418348954656,50371.37191914324,1940.0464298114089,0.0,0.0,52311.418348954656,5280.642611833019,0.0,3,0.09754579998843838,0.2857757999881869,0,differential_evolution_staged_direct_search,True,22,0.0,3,True,population_collapse_convergence,36,differential_evolution_staged_direct_search,True,92,102.70744897055387,8,False,maxiter_budget,72,differential_evolution_staged_direct_search,True,182,77.04248009049908,8,False,maxiter_budget
