plan_date,daily_mean,daily_std,daily_min,daily_max,daily_range
2025-01-01,0.9265125000000004,0.37601804512605064,0.4038,1.5993,1.1955
2025-01-02,0.9267625000000002,0.3814800680818724,0.3623,1.6098,1.2474999999999998
2025-01-03,0.7387868055555553,0.33002639903804326,0.2766,1.4264,1.1498
2025-01-04,0.7296861111111113,0.331253565937014,0.3175,1.4459,1.1284
2025-01-05,0.9250743055555554,0.37614550611478936,0.391,1.5747,1.1837
2025-01-06,0.9294006944444444,0.3802259665311113,0.371,1.6135,1.2425
2025-01-07,0.923011805555556,0.37862268386301,0.3841,1.5672,1.1831
2025-01-08,0.9176652777777777,0.3832500718126054,0.3663,1.5968,1.2305
2025-01-09,0.9216111111111116,0.3795994435130695,0.3282,1.5726,1.2444
2025-01-10,0.7294013888888888,0.3339476470500925,0.2836,1.4151,1.1315
2025-01-11,0.7329888888888886,0.33603698604120097,0.2503,1.4519,1.2016
2025-01-12,0.9257027777777775,0.3794253084791607,0.3872,1.6226,1.2354
2025-01-13,0.9149125,0.3714371297696661,0.3812,1.5303,1.1491
2025-01-14,0.9168423611111111,0.38190032923450745,0.3771,1.5809,1.2038
2025-01-15,0.9232756944444444,0.3821169980164831,0.4052,1.5854,1.1802
2025-01-16,0.9156479166666662,0.37967999518760487,0.3683,1.6041,1.2358
2025-01-17,0.7246534722222223,0.32327809620811565,0.2934,1.4338,1.1404
2025-01-18,0.721120138888889,0.3194077915498595,0.2881,1.3945,1.1064
2025-01-19,0.9177375,0.3743173039152967,0.3757,1.5934,1.2177
2025-01-20,0.9139027777777778,0.3763782983442405,0.383,1.5695,1.1864999999999999
2025-01-21,0.8955374999999999,0.3751639054531513,0.3668,1.5603,1.1935
2025-01-22,0.9188527777777781,0.38507725738993026,0.3719,1.5811,1.2092
2025-01-23,0.9228256944444446,0.37676351091797605,0.34,1.6401,1.3000999999999998
2025-01-24,0.7102381944444444,0.32398252610556016,0.2582,1.4135,1.1553
2025-01-25,0.704121527777778,0.32886518475644105,0.2605,1.4005,1.1400000000000001
2025-01-26,0.9156062500000002,0.3779221624405154,0.3577,1.6006,1.2429000000000001
2025-01-27,0.8987861111111108,0.3722495385809974,0.3871,1.5717,1.1846
2025-01-28,0.9059979166666666,0.3752790866047321,0.3261,1.6056,1.2794999999999999
2025-01-29,0.8891166666666666,0.3687551106990473,0.3689,1.593,1.2241
