slot_index,mean,std,p05,p50,p95
1,0.42748328767123284,0.07115950687946204,0.3066,0.4279,0.5487200000000001
2,0.4248183561643835,0.06856347138423424,0.30278,0.4278,0.53844
3,0.4245104109589041,0.06470484177514214,0.31746,0.4238,0.53468
4,0.42693643835616435,0.06748066400615775,0.31286,0.4276,0.53918
5,0.4272427397260274,0.06622267072930009,0.31284,0.4298,0.54304
6,0.42708684931506846,0.06457583281091982,0.32158000000000003,0.4285,0.5449
7,0.4285232876712329,0.06466849356853842,0.31916,0.4338,0.5385
8,0.43110657534246577,0.06494672050773678,0.32389999999999997,0.4362,0.53844
9,0.43015561643835615,0.06277820843857357,0.32552000000000003,0.4359,0.53394
10,0.427938904109589,0.06013788147116691,0.32656,0.4332,0.52418
11,0.43124493150684934,0.06095950200968903,0.32378,0.4326,0.53766
12,0.4332564383561644,0.0625463899590035,0.33099999999999996,0.4373,0.53862
13,0.4310969863013699,0.06113416072341205,0.3246,0.4383,0.53296
14,0.42934438356164384,0.06361074779924307,0.31942,0.4352,0.5289400000000001
15,0.4323580821917808,0.06310617946550853,0.31995999999999997,0.4391,0.5339
16,0.4366802739726028,0.05855688764215442,0.33604,0.4405,0.52596
17,0.43480712328767124,0.05705749567123036,0.33282,0.4405,0.52206
18,0.4335205479452055,0.05880067784276172,0.3318,0.4399,0.51888
19,0.4357235616438357,0.05972081249320826,0.32334,0.4429,0.52306
20,0.43741835616438357,0.05728674156331149,0.32761999999999997,0.4439,0.52086
21,0.43707972602739725,0.05812109536091294,0.33049999999999996,0.4417,0.5274
22,0.4356424657534247,0.06012906191743511,0.32496,0.4412,0.52818
23,0.43526904109589043,0.057684490927813956,0.32602000000000003,0.4418,0.5223599999999999
24,0.43601917808219176,0.05579173959954672,0.33449999999999996,0.4416,0.51938
25,0.43782547945205486,0.059259648148995356,0.33404,0.442,0.52858
26,0.4401183561643835,0.057618861233979135,0.33755999999999997,0.4463,0.5262800000000001
27,0.43885315068493147,0.05733817224957994,0.33649999999999997,0.4464,0.51922
28,0.4363734246575342,0.05991599901183981,0.32364,0.4444,0.5208
29,0.43928410958904107,0.060274595112601054,0.33388,0.4482,0.5258200000000001
30,0.4422408219178082,0.057365211684898526,0.33788,0.4488,0.52306
