k,h,tau,mape_pct
10,1.0,21,4.38530656636789
20,1.0,21,4.390313312610962
20,1.0,14,4.390687012353631
10,2.0,14,4.392450051837344
10,2.0,21,4.3926886409286094
20,1.0,28,4.393154190937107
20,2.0,14,4.393862002750947
20,2.0,21,4.396945631147159
20,2.0,10,4.398731143219794
10,1.0,14,4.399045053537844
20,1.0,45,4.399360796752741
20,4.0,14,4.399807825487258
20,1.0,10,4.399883723644785
10,1.0,28,4.399982314538943
20,2.0,28,4.401450038209725
20,4.0,10,4.401564335656578
20,0.5,21,4.401599732621789
20,0.5,28,4.402224174308947
20,0.5,45,4.4050754178603935
10,2.0,10,4.4053125169742895
10,0.5,21,4.405319285521912
10,1.0,10,4.406192169633098
10,0.5,28,4.406318395561008
20,4.0,21,4.406336742815271
10,1.0,45,4.406564072331596
10,2.0,28,4.406682068234458
20,0.5,14,4.408043263427671
10,4.0,14,4.408417704545954
20,2.0,45,4.408603234069379
10,0.5,45,4.409849262305555
10,4.0,10,4.411245119194248
20,4.0,28,4.412265921792628
10,0.5,14,4.412408817951099
10,4.0,21,4.413994315957952
10,4.0,28,4.420539736329442
20,4.0,45,4.421522679663319
20,4.0,7,4.425276677787115
10,2.0,45,4.425658458323644
20,2.0,7,4.425712164959139
20,0.5,10,4.4265709446746175
10,4.0,45,4.4297181980185565
10,0.5,10,4.430022753924009
20,1.0,7,4.4313869404669735
10,2.0,7,4.431575977605527
10,4.0,7,4.433272169416085
10,1.0,7,4.433663628501909
20,0.5,7,4.465874986846433
10,0.5,7,4.468840470741316
5,1.0,45,4.481044160559303
5,4.0,28,4.483550709009254
5,4.0,21,4.483635718156413
5,2.0,28,4.483893240821259
5,2.0,21,4.4841460480255515
5,4.0,45,4.484478740031053
5,2.0,45,4.484572971448263
5,1.0,28,4.486572602582826
5,1.0,21,4.486686714512264
5,4.0,14,4.486937028275663
5,2.0,14,4.4877759268801745
5,1.0,14,4.491166803264329
5,0.5,21,4.4934329960537
5,4.0,10,4.494925462814127
5,2.0,10,4.496027361814238
5,1.0,10,4.500440150847278
5,0.5,14,4.502084631738661
5,0.5,45,4.512354155055227
5,4.0,7,4.514369964705299
5,0.5,10,4.51552653047718
5,2.0,7,4.515811841095066
5,0.5,28,4.5161692962700215
5,1.0,7,4.521805406523004
5,0.5,7,4.545951920691333
