date,block,charge_kwh,discharge_kwh,time,soc_kwh
2025-03-20,0:00-4:00,7147.428420546739,106.17370000000017,0:00,2296.780361507935
2025-03-20,4:00-8:00,3457.7924967372132,4451.170635116916,24:00,2095.2038284126993
2025-03-20,8:00-12:00,4948.217433333333,2777.3772166666668,,
2025-03-20,12:00-16:00,3487.2853239832634,564.3999738095237,,
2025-03-20,16:00-20:00,285.4329690476187,6925.530135714285,,
2025-03-20,20:00-24:00,629.1370166666666,1520.5550833333336,,
2025-06-21,0:00-4:00,2061.4324214285716,2549.0574164203686,0:00,4135.125512037037
2025-06-21,4:00-8:00,2558.292266156831,1384.2844833333334,24:00,4809.66568843915
2025-06-21,8:00-12:00,7641.669064168138,0.0,,
2025-06-21,12:00-16:00,0.0,0.0,,
2025-06-21,16:00-20:00,285.330828571429,4139.339752380954,,
2025-06-21,20:00-24:00,3365.6597952674897,4209.263533333333,,
2025-09-23,0:00-4:00,10160.366795170241,8.633783333333326,0:00,1344.0336524208033
2025-09-23,4:00-8:00,1208.7349220285187,6358.895372599952,24:00,1857.6615569312155
2025-09-23,8:00-12:00,5260.122916666672,1896.6157166666667,,
2025-09-23,12:00-16:00,4612.772224238386,708.6870309523808,,
2025-09-23,16:00-20:00,352.5848119047615,6448.408328571429,,
2025-09-23,20:00-24:00,818.2946333333341,2270.924459523809,,
2025-12-21,0:00-4:00,9751.98827045855,1.6654166666668289,0:00,2025.0610195502659
2025-12-21,4:00-8:00,1496.0599176954704,1211.8085333333333,24:00,2107.1756033597862
2025-12-21,8:00-12:00,5280.276188095239,7183.7938348446805,,
2025-12-21,12:00-16:00,6646.342023647166,2476.7669166666665,,
2025-12-21,16:00-20:00,0.0,4799.327357142858,,
2025-12-21,20:00-24:00,668.0386833333329,3565.3259333333335,,
