date,same_plan_initial_soc_kwh,settlement_cost,ldr_emergency_cost,beta1_emergency_cost,beta0_emergency_cost,ldr_total_cost,beta1_total_cost,beta0_total_cost
2025-02-01,2082.843715256331,19643.859148236646,0.0,0.0,0.0,19643.859148236646,19643.859148236646,19643.859148236646
2025-02-02,2470.840314444449,63860.18727581298,0.0,0.0,0.0,63860.18727581298,63860.18727581298,63860.18727581298
2025-02-03,2440.6601978767676,65597.48061937102,0.0,257.9998169427788,0.0,65597.48061937102,65855.48043631381,65597.48061937102
2025-02-04,2341.1346409259245,68389.02216534998,0.0,267.1222113923366,0.0,68389.02216534998,68656.14437674232,68389.02216534998
2025-02-05,2294.8443824074093,64872.77021392454,0.0,586.7131912493427,0.0,64872.77021392454,65459.48340517388,64872.77021392454
2025-02-06,2069.5100974074085,67639.11500322097,35.66855689105815,44.51534589105844,35.66855689105815,67674.78356011203,67683.63034911203,67674.78356011203
2025-02-07,2119.459499598221,19204.2827164876,0.0,219.25840500000723,0.0,19204.2827164876,19423.541121487608,19204.2827164876
2025-02-08,1681.5197257765703,15977.55327998,270.75490551377493,893.192819396726,270.75490551377493,16248.308185493775,16870.746099376727,16248.308185493775
2025-02-09,1669.7528181481493,62586.36421700574,0.0,343.48003744718426,0.0,62586.36421700574,62929.844254452924,62586.36421700574
2025-02-10,1556.5200540405272,56960.55977250869,0.0,10.883375000000118,0.0,56960.55977250869,56971.44314750869,56960.55977250869
2025-02-11,1566.21959047332,57091.9427268422,2199.9846780529915,2625.937327995071,2199.9846780529915,59291.92740489519,59717.880054837275,59291.92740489519
2025-02-12,1520.2362664814812,57206.083937377894,0.0,2242.249961183522,0.0,57206.083937377894,59448.33389856142,57206.083937377894
2025-02-13,1467.5722182502616,53823.33071270274,0.0,357.87051562453263,0.0,53823.33071270274,54181.20122832727,53823.33071270274
2025-02-14,1757.3918538888913,15889.730991720953,0.0,1324.7445827022052,0.0,15889.730991720953,17214.47557442316,15889.730991720953
2025-02-15,1692.9242638276687,16155.12086721652,37.67906995485367,1047.3850991280087,37.67906995485367,16192.799937171372,17202.505966344528,16192.799937171372
2025-02-16,1252.4573435185184,57338.91330229201,998.2256054566594,3850.227367465477,998.2256054566594,58337.13890774867,61189.140669757486,58337.13890774867
2025-02-17,1390.2331705555557,55134.20600217891,504.1146345750342,2744.2002507088864,504.1146345750342,55638.32063675394,57878.40625288779,55638.32063675394
2025-02-18,1512.546541296297,51841.74410914384,52.27659433941489,3218.418042981628,52.27659433941489,51894.02070348325,55060.162152125464,51894.02070348325
2025-02-19,1578.7067825925926,52829.588044757795,784.2141391191501,1225.0292118104735,784.2141391191501,53613.80218387694,54054.617256568265,53613.80218387694
2025-02-20,1330.188312222222,53507.4214399241,153.01684964999973,2015.101040874306,153.01684964999973,53660.4382895741,55522.522480798405,53660.4382895741
2025-02-21,1565.3209385522032,15100.934878221367,0.0,228.0394540279754,0.0,15100.934878221367,15328.974332249343,15100.934878221367
2025-02-22,1582.6829945201769,15440.922208566824,0.0,141.6053934407688,0.0,15440.922208566824,15582.527602007593,15440.922208566824
2025-02-23,1822.6761929821655,52409.45258265575,14.664457106762404,706.0805622922089,14.664457106762404,52424.11703976251,53115.533144947956,52424.11703976251
2025-02-24,1545.2318895509386,51012.98091358999,229.48319632081524,1264.0546644152846,229.48319632081524,51242.464109910805,52277.03557800528,51242.464109910805
2025-02-25,1738.0128960842571,49722.01249601639,60.325621949999544,1201.8383721785494,60.325621949999544,49782.338117966385,50923.85086819494,49782.338117966385
2025-02-26,1500.2115811198935,50566.404638962835,0.0,191.73546337369618,0.0,50566.404638962835,50758.14010233653,50566.404638962835
2025-02-27,2218.863215350837,47692.2384576982,75.30793394118642,400.9071388637938,75.30793394118642,47767.546391639386,48093.145596562,47767.546391639386
2025-02-28,1838.199008148148,14542.318371590472,0.0,375.89393912316984,0.0,14542.318371590472,14918.212310713643,14542.318371590472
2025-03-01,1672.407292241163,15807.757240508174,0.0,121.51102448213925,0.0,15807.757240508174,15929.268264990313,15807.757240508174
2025-03-02,1764.0741251851823,56229.67448333387,0.0,892.106082194061,0.0,56229.67448333387,57121.78056552793,56229.67448333387
2025-03-03,1642.2767486592322,56011.47946350572,0.0,439.9590783955102,0.0,56011.47946350572,56451.43854190123,56011.47946350572
2025-03-04,1710.0169520370393,50971.83264117096,0.0,1353.36140238397,0.0,50971.83264117096,52325.194043554926,50971.83264117096
2025-03-05,1738.884726296293,49350.30277089305,0.0,514.6534618954877,0.0,49350.30277089305,49864.95623278854,49350.30277089305
2025-03-06,1669.0281085051847,48351.49379726544,0.0,323.02303757981485,0.0,48351.49379726544,48674.51683484525,48351.49379726544
2025-03-07,1722.3161312963016,14606.306761498076,0.0,121.696645137477,0.0,14606.306761498076,14728.003406635553,14606.306761498076
2025-03-08,1839.365757070763,13548.084473369458,0.0,239.06192264468893,0.0,13548.084473369458,13787.146396014146,13548.084473369458
2025-03-09,1942.3354579489555,46465.02635499231,0.0,322.0523613528937,0.0,46465.02635499231,46787.078716345204,46465.02635499231
2025-03-10,1858.84340503971,48428.921104621506,448.83925539417794,951.7834596339451,448.83925539417794,48877.76036001569,49380.70456425545,48877.76036001569
2025-03-11,1811.6489979629655,46688.088755899385,0.0,249.4252021571432,0.0,46688.088755899385,46937.51395805653,46688.088755899385
2025-03-12,2139.8811408592187,45289.16508978461,0.0,847.1554430451806,0.0,45289.16508978461,46136.32053282979,45289.16508978461
2025-03-13,1627.11338124488,48795.85331587455,189.3965942333376,1726.7415371262707,189.3965942333376,48985.24991010789,50522.59485300082,48985.24991010789
2025-03-14,1611.5120146296306,12871.63413079978,0.0,355.9916328565787,0.0,12871.63413079978,13227.62576365636,12871.63413079978
2025-03-15,1979.4242368067605,13164.09234012945,0.0,184.0453035422248,0.0,13164.09234012945,13348.137643671675,13164.09234012945
2025-03-16,1343.98074451093,45971.386082692654,0.0,696.5710350412414,0.0,45971.386082692654,46667.957117733895,45971.386082692654
2025-03-17,1973.2122043392549,40589.013189715675,0.0,1062.1112195994651,0.0,40589.013189715675,41651.12440931514,40589.013189715675
2025-03-18,2144.9057003703697,45193.25523319503,0.0,540.4602902407497,0.0,45193.25523319503,45733.71552343578,45193.25523319503
