date,block,charge_kwh,discharge_kwh,boundary_soc_kwh
2025-03-20,0:00-4:00,7147.084458230457,106.17369999999994,2297.089927592589
2025-03-20,4:00-8:00,2493.0873441850217,5625.240666291412,2019.3679585185203
2025-03-20,8:00-12:00,4200.845261310822,2777.3772166666668,
2025-03-20,12:00-16:00,6648.831770433941,487.519724211714,
2025-03-20,16:00-20:00,118.13868062895773,6935.1542521427855,
2025-03-20,20:00-24:00,629.1370166666662,1520.5550833333336,
2025-06-21,0:00-4:00,2061.433233333334,2549.057416425968,3839.6449454223425
2025-06-21,4:00-8:00,2243.295499257692,1382.91905,4491.404730018464
2025-06-21,8:00-12:00,8283.291039687814,0.0,
2025-06-21,12:00-16:00,0.0,0.0,
2025-06-21,16:00-20:00,294.0320261824708,4432.822585024517,
2025-06-21,20:00-24:00,3365.6597952674897,4209.263533333333,
2025-09-23,0:00-4:00,10050.583311028453,8.633783333333326,1442.8387881481497
2025-09-23,4:00-8:00,1107.0941539094702,6696.397923919657,1865.0474044522348
2025-09-23,8:00-12:00,5602.673521851782,1896.6157166666667,
2025-09-23,12:00-16:00,5062.971459201642,689.7074999999999,
2025-09-23,16:00-20:00,168.22340967078287,6437.095533333334,
2025-09-23,20:00-24:00,818.2946333333341,2367.532584159654,
2025-12-21,0:00-4:00,9940.273778653233,1.6654166666666015,1855.6040621750515
2025-12-21,4:00-8:00,1519.2797466709658,1230.616594803484,2006.9711249432098
2025-12-21,8:00-12:00,4974.545570401782,7979.216590229365,
2025-12-21,12:00-16:00,7973.409844006857,2508.6272954416354,
2025-12-21,16:00-20:00,0.0,4889.511387717777,
2025-12-21,20:00-24:00,668.0386833333328,3565.3259333333335,
