date,issue,residual_count,initial_soc_kwh,final_soc_kwh,planned_cost,emergency_cost,total_cost,calibration_used,theta,day_seconds
2025-02-01,True,24,2221.9802068350846,9868.614629470898,22462.408286092385,0.0,22462.408286092385,True,"[-414.27890453752457, -709.7119352147768, 0.0, -5090.717431412796, 0.0, -4877.759984542402, 0.0]",0.3793545000080485
2025-02-02,True,25,9868.614629470898,3154.2553262433876,61341.19412939003,0.0,61341.19412939003,True,"[-7702.46486072691, -6904.999949057705, 0.0, -4298.871329353621, 0.0, -7046.200805177733, 0.0]",0.3849404999928083
2025-02-03,True,26,3154.2553262433876,2460.469434708996,63757.56986904958,0.0,63757.56986904958,True,"[-8406.873438843195, -6845.172369299053, 0.0, -650.9406354872144, 0.0, -4260.621795241161, 0.0]",0.3480362999980571
2025-02-04,True,27,2460.469434708996,2404.0540956931213,64633.778993346554,0.0,64633.778993346554,True,"[-7305.571403453678, -3664.9303437403346, 0.0, -713.9805870833143, 0.0, -1392.3262427246286, 0.0]",0.31541599999764003
2025-02-05,True,28,2404.0540956931213,2844.166893227512,64089.390222793445,0.0,64089.390222793445,True,"[-4170.949953424117, -8543.08847063273, 0.0, -5529.764220557242, 0.0, -6041.417452232895, 0.0]",0.3164254000002984
2025-02-06,True,29,2844.166893227512,2369.4710653968277,64458.4286735466,96.53080316190497,64554.95947670851,True,"[-6795.6052650201655, -6578.753101728408, 0.0, -7698.865341068327, 0.0, -4597.288759042365, 0.0]",0.3060449000040535
2025-02-07,True,30,2369.4710653968277,1844.189021659895,18465.126706656676,0.0,18465.126706656676,True,"[-9361.73996005623, -5718.947616741183, 0.0, -4715.207205869596, 0.0, -821.2876604615474, 0.0]",0.29832999999052845
2025-02-08,True,31,1844.189021659895,9950.861428439151,19727.841439918895,0.0,19727.841439918895,True,"[-6753.717702348877, -2610.944678710542, 0.0, -3884.2954770095835, 0.0, -1586.2517024881988, 0.0]",0.3073739999963436
2025-02-09,True,32,9950.861428439151,1751.2429128836006,56485.05556907652,0.0,56485.05556907652,True,"[-2255.9002043914015, -5465.007850286859, 0.0, -9528.200849886576, 0.0, -3603.4913662002673, 0.0]",0.3098366000049282
2025-02-10,True,33,1751.2429128836006,2485.578483994711,60025.68398038733,0.0,60025.68398038733,True,"[-847.9440411392744, -5932.283951262269, 0.0, -1397.3680972711077, 0.0, -4089.7043013618304, 0.0]",0.28741879999870434
2025-02-11,True,34,2485.578483994711,1671.1700068253956,58185.62879595312,28.397929200000082,58214.02672515312,True,"[-1158.2526590672317, -6997.390453462208, 0.0, -2806.1868247059983, 0.0, -2393.1988324691624, 0.0]",0.3229562999913469
2025-02-12,True,35,1671.1700068253956,2270.3593786507927,58206.40747855782,0.0,58206.40747855782,True,"[-8177.6187654927635, -3122.387600552373, 0.0, -3501.875580301868, 0.0, -4831.735857427779, 0.0]",0.30977599999459926
2025-02-13,True,36,2270.3593786507927,1814.7108901851902,56732.5934142448,74.25823899166718,56806.85165323647,True,"[-571.253075067963, -4752.916431717749, 0.0, -2088.391264120658, 0.0, -5074.205734293113, 0.0]",0.352587899993523
2025-02-14,True,37,1814.7108901851902,1824.813804053073,15792.039220617517,0.0,15792.039220617517,True,"[-8183.041270576749, -8313.505112289771, 0.0, -956.4297930050515, 0.0, -5339.589583315674, 0.0]",0.43337899999460205
2025-02-15,True,38,1824.813804053073,2916.921012804232,16492.320275715738,0.0,16492.320275715738,True,"[-6740.208656876159, -1851.3960802021802, 0.0, -2439.9522005359936, 0.0, -5628.553852514225, 0.0]",0.4952993000042625
2025-02-16,True,39,2916.921012804232,3119.699123306881,55600.02595331059,0.0,55600.02595331059,True,"[-7150.746225380206, -3669.0861694771697, 0.0, -8611.93529260568, 0.0, -8993.234019100575, 0.0]",0.5645266999927117
2025-02-17,True,40,3119.699123306881,2340.9019780158765,54359.672046765125,0.0,54359.672046765125,True,"[-5090.310410124365, -5104.598237461129, 0.0, -7267.569230372335, 0.0, -682.8116256814873, 0.0]",0.6478186000022106
2025-02-18,True,41,2340.9019780158765,2736.141994894182,53813.05053947111,0.0,53813.05053947111,False,"[-9600.0, -9600.0, 0.0, -9600.0, 0.0, -9600.0, 0.0]",0.6205929999996442
2025-02-19,True,42,2736.141994894182,1482.651865634922,53228.79086828316,189.48271500000016,53418.27358328316,True,"[-6193.779862968973, -7311.165321637144, -0.775897031737625, -2424.6102074440805, -1.2654299622073668, -831.2306758797256, 0.2661066180291587]",0.6326732999878004
2025-02-20,True,42,1482.651865634922,1798.2242678571454,53923.890440297015,0.0,53923.890440297015,True,"[-7156.551055207598, -1043.3517965777173, -1.0913947258771723, -4849.026917109073, -1.9510171396513731, -3090.185510621334, -0.9627705784125209]",0.6671792999986792
2025-02-21,True,42,1798.2242678571454,2406.1670891534413,15680.727675627206,0.0,15680.727675627206,True,"[-4764.8117109823725, -895.6484398653594, 0.59744880854426, -5110.253180049556, 0.13451815433153191, -3026.628466409666, 0.5020158047698944]",0.6123359999910463
2025-02-22,True,42,2406.1670891534413,6356.4977140476185,16905.8887187556,0.0,16905.8887187556,True,"[-3236.7785934257563, -5677.443954956521, -0.34866073826722954, -6459.079211935001, 1.6814053809317921, -3282.625102232333, -0.23400149365709777]",0.6151479999971343
2025-02-23,True,42,6356.4977140476185,1729.4233826190484,50240.29229423033,0.0,50240.29229423033,True,"[-3375.8885578130935, -6476.547414284268, 1.5655916754750772, -5215.983023736935, 0.6479579682486514, -1097.2495558035994, -1.7455582115376695]",0.6506956999946851
2025-02-24,True,42,1729.4233826190484,2586.029156455031,52207.77504721374,215.34203001309464,52423.11707722684,True,"[-1795.806538933933, -8531.162663135574, 1.442121505388788, -2863.4423346400768, -1.9007217126265736, -9179.7266006756, 1.0860120515220686]",0.6736625000048662
2025-02-25,True,42,2586.029156455031,2399.019155132277,50724.10177197073,0.0,50724.10177197073,True,"[-5750.14823058218, -5033.020380570079, 0.11507622269282747, -5913.12733666673, -1.8038548524358298, -529.8210452611108, 1.6612383228967769]",0.6804608999955235
2025-02-26,True,42,2399.019155132277,2284.927775978834,51066.42877480122,0.0,51066.42877480122,True,"[-2150.988858923556, -650.1975139169076, 1.9843132377328656, -3018.2390548035255, -1.306085513922538, -9103.711005380752, 1.3753668308852247]",0.7314807000075234
2025-02-27,True,42,2284.927775978834,1848.390727169312,48844.75012711574,0.0,48844.75012711574,True,"[-5241.68157770365, -2158.8579066249804, 0.619589447884211, -1767.6014087470771, 0.7014256173701536, -8603.78346833144, -0.0578433488578729]",0.656883800009382
2025-02-28,True,42,1848.390727169312,1797.2384830158735,14699.081886632666,0.0,14699.081886632666,True,"[-2533.3994038624105, -6260.271434595903, 0.35015713466225584, -3964.0316022166253, 0.9330528541601306, -6858.295105943243, -1.0549326468959037]",0.657191199992667
2025-03-01,True,42,1797.2384830158735,9905.212059920637,17622.3315622258,0.0,17622.3315622258,True,"[-198.66479075814283, -9119.856614610468, -0.33875420227632924, -6912.550610523654, -0.77493043754936, -3908.6095529897784, -1.8302847276324268]",0.6977717000117991
2025-03-02,True,42,9905.212059920637,1507.613935740741,45882.3966185866,13115.250517705728,58997.64713629233,True,"[-3533.5011330677416, -4130.046426232474, 1.740198309197075, -2639.3043457446893, 1.9290884843308493, -1428.1575045774257, -0.5106321454702367]",0.6436365999979898
2025-03-03,True,42,1507.613935740741,2978.1122898148146,51148.22554769375,6241.213618077529,57389.43916577128,True,"[-2881.8058936281504, -4952.099216020115, -1.3218334131962781, -2697.77173149454, 1.229434481837834, -8030.60230133621, -0.2532765806845563]",0.6943867999943905
2025-03-04,True,42,2978.1122898148146,1851.602564682539,50777.15878370641,0.0,50777.15878370641,True,"[-6296.999700901646, -2722.2532718652556, -1.1869832884182607, -402.85892881115757, 0.4600354398335078, -767.3293478045864, 0.9819254569885811]",0.7532768999953987
2025-03-05,True,42,1851.602564682539,2517.593058492062,51124.163109176734,0.0,51124.163109176734,True,"[-382.69625999436767, -8505.510371354967, -0.7620936182692521, -507.75761690943887, -0.8701525712485179, -8485.596391492723, 0.4268532725128713]",0.8336462000006577
2025-03-06,True,42,2517.593058492062,1838.1966903174623,50677.636460825495,0.0,50677.636460825495,True,"[-8100.55215180787, -9537.27030697231, -1.6714344493479913, -398.135000158808, -0.9459393797622286, -7302.8139495418845, -1.105810564504222]",0.7041905000078259
