date,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99,e100,e101,e102,e103,e104,e105,e106,e107,e108,e109,e110,e111,e112,e113,e114,e115,e116,e117,e118,e119,e120,e121,e122,e123,e124,e125,e126,e127,e128,e129,e130,e131,e132,e133,e134,e135,e136,e137,e138,e139,e140,e141,e142,e143
2025-02-01,2872.4825093090917,3622.4825093090917,4372.482509309091,5122.482509309091,5872.482509309091,6622.482509309091,6622.482509309091,7372.482509309091,8122.482509309091,8122.482509309091,8122.482509309091,8872.482509309091,9622.482509309091,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,10334.35660317566,9698.373269842326,9063.37962577162,9595.594495799525,8980.963188760355,8357.202346809952,7691.27196488428,7010.731557476873,6415.8719214188,5859.365940558368,5304.6051442676635,4806.50881528404,4414.94418387596,4093.3231838759602,3824.3756638113528,3602.4726302586237,3423.174420006187,3300.0528910771172,3208.7754125651504,3133.8674866392244,3086.039230754315,3086.039230754315,3086.039230754315,3086.039230754315,3086.039230754315,3086.039230754315,3086.039230754315,4137.020218333335,4304.458093333335,4501.061188333335,4741.573858333335,5003.910358333335,5259.345868333336,5550.391003333336,5900.401753333336,6249.4208983333365,6579.735463333336,6941.946088333336,7304.153773333335,8025.834016023622,8355.522102008308,8686.855563360528,9014.591511226108,9295.252041226107,9567.043990101833,9785.428715689819,10031.860269359355,10198.701940647168,10347.796800089653,10530.054690089652,10650.34121785069,10714.681776614576,10763.55616527019,10800.0,10800.0,10795.295203703703,10795.295203703703,10799.9999959125,10799.9999959125,10799.9999959125,10799.9999959125,10799.9999959125,10799.9999959125,10799.9999959125,10799.9999959125,10799.9999959125,10799.9999959125,10799.9999959125,10799.9999959125,10799.9999959125,10799.9999959125,10799.9999959125,10799.9999959125,10799.9999959125,10292.305125542129,9765.943681097684,9221.308495912499,8655.774014431017,8142.881833333334,7562.065166666667,7050.176814814816,6584.348092592593,6097.166611111112,5586.228074074074,5049.491703703704,4494.388,3937.723351851852,3391.242537037037,2847.7110555555555,2326.436925925926,1780.7703703703705,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1946.0733150000003,2685.6074100000005,3422.8049100000007,4168.201965000001,4903.072710000001,5637.156210000001,6385.645215000001,7118.123040000001,7867.730040000001,7867.730040000001,7867.730040000001,8609.695731529157,8609.695731529157
2025-02-02,9645.736530383798,9645.736530383798,10395.736530383798,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10050.0,10050.0,10050.0,10050.0,10050.0,10050.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,9893.492873662184,9893.492873662184,9893.492873662184,10614.00862460996,10437.555467789132,9511.629541863207,8659.852682415058,7814.898181759187,7016.170608543299,6308.495382723987,5677.242364205468,5092.927710864151,4551.244307455325,4092.846266382936,3677.8157700205165,3323.263046206871,3021.689879540204,2748.308077641031,3566.397072046035,3321.597072046035,3067.38988686085,2872.5495535275168,2784.619460934924,3534.619460934924,4284.619460934924,4284.619460934924,5034.619460934924,5784.619460934924,6534.619460934924,7284.619460934924,7641.207553527517,8391.207553527518,9141.207553527518,9891.207553527518,10641.207553527518,10641.207553527518,10641.207553527518,10641.207553527518,10641.207553527518,10641.207553527518,10452.091290540251,10187.05583477654,9851.116462479447,9505.249967850852,9177.071188498554,8788.13994146329,8318.848737759587,9062.9997949064,9790.421600276915,9790.421600276915,10523.477923354854,10800.0,10800.0,10800.0,10800.0,10791.29852105295,10777.292345551808,10765.830446678408,10764.205261493224,10764.205261493224,10764.205261493224,10764.205261493224,10764.205261493224,10764.205261493224,10764.205261493224,10764.205261493224,10764.205261493224,10764.205261493224,10764.205261493224,10764.205261493224,10224.923092592593,9421.916925925927,8634.625962962964,7833.877814814815,6987.612203703704,6145.911537037037,5348.324500000001,4524.320500000001,3689.826240740741,2866.150314814815,2036.6525555555556,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1941.9068518518518,2560.6793703703706,2560.6793703703706,2560.6793703703706,2560.6793703703706,2560.6793703703706,2560.6793703703706,2560.6793703703706,2560.6793703703706,2560.6793703703706,1856.5664074074075,1200.0
2025-02-03,3059.6547896178904,3809.6547896178904,4559.654789617891,5309.654789617891,6059.654789617891,6809.654789617891,6809.654789617891,6809.654789617891,6809.654789617891,6809.654789617891,7559.654789617891,8309.65478961789,9059.65478961789,9300.0,10050.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,9874.074074074075,8948.14814814815,8883.871425780186,8883.871425780186,8883.871425780186,8883.871425780186,8883.871425780186,8883.871425780186,8883.871425780186,9633.871154308647,9633.871154308647,8811.35665266533,8093.876509447842,7408.823514703885,6750.131766943102,6141.654992622395,5577.793622252025,5046.654970718991,4552.87753742267,4085.001596320503,3664.6771108174325,3303.2876794011004,2982.7704571788786,2695.204867918348,3024.567780221094,2728.7038913322044,2453.217409850723,2265.0602802210938,2167.214677541935,2917.214677541935,3667.214677541935,4417.214677541935,5167.214677541935,5917.214677541935,6667.214677541935,7417.214677541935,7583.263508097491,8333.26350809749,9083.26350809749,9833.26350809749,10583.26350809749,10583.26350809749,10583.26350809749,10583.26350809749,10583.26350809749,10583.26350809749,10583.26350809749,10293.3019505388,9955.473542274302,9589.872955644347,9218.493987483384,8773.900852844301,8276.515820768507,9026.515820768507,9776.515820768507,10526.515820768507,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10273.591851851852,9465.258851851851,8632.393944444444,7790.36987037037,6934.46962962963,6091.317703703704,5272.6454814814815,4436.988166666667,3614.632703703704,2808.0993703703707,2009.1772592592592,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
2025-02-04,2328.369625185186,2328.369625185186,3078.369625185186,3828.369625185186,3828.369625185186,4050.0,4050.0,4050.0,4800.0,5550.0,5550.0,5550.0,6300.0,7050.0,7800.0,8550.0,8550.0,8550.0,8550.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,10050.0,10050.0,10050.0,10800.0,10800.0,10800.0,9879.918517457338,9879.918517457338,9879.918517457338,9879.918517457338,9879.918517457338,9879.918517457338,9879.918517457338,9879.918517457338,10036.92793594869,10780.967358270513,10780.967358270513,9855.041432344588,9058.859366809978,8284.0349476489,7494.655414168995,6730.413362809452,6037.354622068711,5369.589966925107,4749.150627599478,4224.326358651057,3717.142468155508,3490.1631498391034,3090.4347609502147,2725.358353630925,3267.6985677096773,2940.238845487455,2642.7506788207884,2394.5994565985666,2174.121215857826,2924.121215857826,3674.121215857826,4050.0,4800.0,5550.0,6300.0,7050.0,7582.6719444444425,8332.671944444442,9082.671944444442,9832.671944444442,10582.671944444442,10582.671944444442,10582.671944444442,10582.671944444442,10582.671944444442,10582.671944444442,10339.086133171713,10025.702350747526,9666.208451982713,9229.398317684783,8785.549770040845,8322.181541148962,7800.000133741555,8550.0,9300.0,10050.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10293.265277777778,9495.016462962963,8696.028814814816,7867.704740740742,7036.689500000001,6197.091185185186,5339.296740740741,4511.010759259259,3684.2821481481483,2821.459925925926,2001.2404629629632,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1948.0753650000001,1948.0753650000001,1273.2827724074077,1273.2827724074077,1273.2827724074077,1273.2827724074077,1224.9697384220083,1224.9697384220083,1224.9697384220083,1224.9697384220083
2025-02-05,3020.814585064419,3300.0,4050.0,4800.0,5550.0,5550.0,5550.0,5550.0,6300.0,7050.0,7800.0,8550.0,8550.0,8550.0,8550.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,10050.0,10050.0,10050.0,10050.0,10050.0,10050.0,10050.0,10050.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10778.354928908746,9852.42900298282,8994.816467208133,8176.563431038419,7409.390698877893,6657.626903083869,5922.114217898684,5267.4708885206555,4693.263638379738,4179.480366831379,3661.669616568706,3190.667635531096,2795.3567281236888,2456.5878867813067,2973.1397038613236,2680.273963120583,2444.8941483057683,2210.958648305768,2130.16837052799,2789.6796562832806,3494.3651792965493,4214.884004793854,4875.70006749596,5511.443357402868,6189.7954824028675,6854.749470345985,7465.536226806187,8207.983665167016,8957.983665167016,9707.983665167016,10457.983665167016,10379.010101332564,10214.448199938439,10040.609563879996,10040.609563879996,10040.609563879996,9898.8107675837,9701.39657387215,9441.458636730058,9131.197354300144,8755.428326769626,8305.369763574407,7800.000282092925,8550.000282092926,9300.000282092926,10050.000282092926,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10077.238574074074,9286.423685185186,8455.16712962963,7611.581944444444,6793.115796296296,6013.30137037037,5244.079148148148,4450.364462962963,3645.3505,2833.448648148148,2025.3479259259257,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1940.780835,1940.780835,1304.9380757407407
2025-02-06,3479.94312074074,4229.94312074074,4979.94312074074,5729.94312074074,6479.94312074074,7229.94312074074,7979.94312074074,8729.94312074074,9479.94312074074,9479.94312074074,9479.94312074074,10229.94312074074,10229.94312074074,10229.94312074074,10229.94312074074,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,9990.083333333334,9300.000080579226,9300.000080579226,9300.000080579226,10050.0,10050.0,10050.0,10050.0,10800.0,10800.0,10800.0,9874.074074074075,9874.074074074075,9874.074074074075,9874.074074074075,9874.074074074075,9874.074074074075,9874.074074074075,9874.074074074075,9874.074074074075,10624.074074074075,9905.472191061024,8979.546265135099,8120.116624290675,7321.403522810526,6569.47115402769,5884.958572661946,5276.334183773057,4722.691875695349,4219.078627034433,3752.1833117477718,3312.5415522205676,2910.180630207104,2542.781074651549,2227.180993493683,2874.7335058758367,2605.339524394355,2412.80970957954,2285.94033920917,2285.94033920917,3035.94033920917,3785.94033920917,4050.0,4800.0,5550.0,6300.0,7050.0,7271.386777777779,8021.386777777779,8771.386777777778,9521.386777777778,10271.386777777778,10271.386777777778,10271.386777777778,10271.386777777778,10271.386777777778,10271.386777777778,9979.051084218856,9689.10700972724,9372.038296269166,8998.055906685247,8581.55164092125,8119.998881011397,7626.024658789175,7800.0,8550.0,9300.0,10050.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10348.425462962963,10348.425462962963,10348.425462962963,10348.425462962963,9521.773981481481,8680.312666666667,7817.553407407408,6957.977444444445,6114.5349259259265,5290.66825925926,4481.486444444445,3670.584,2836.6395555555555,2023.6815,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1925.0074800000002,1925.0074800000002,1925.0074800000002,1925.0074800000002,1925.0074800000002,1925.0074800000002,1259.6849614814819,1204.6868874074075,1204.6868874074075,1204.6868874074075,1204.6868874074075,1204.6868874074075
2025-02-07,3019.6233770370372,3019.6233770370372,3019.6233770370372,3019.6233770370372,3019.6233770370372,3019.6233770370372,3769.6233770370372,4519.623377037037,5269.623377037037,5550.0,6300.0,7050.0,7800.0,8550.0,8550.0,8550.0,8550.0,8550.0,8550.0,8550.0,8550.0,8550.0,8550.0,8550.0,8550.0,8550.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,10050.0,10800.0,10800.0,10154.458036344864,10145.320023584818,9532.97553041666,8927.793566840059,8304.035765799594,7660.769784318112,7026.417760196471,6453.347665781893,5957.784963434712,5489.347713369851,5084.988749304152,4742.859638193041,4429.510220309785,4154.759296963711,3952.8396080307834,3795.2346049611183,3600.9414982678445,3345.348868638215,3133.0652623692836,3006.5698589228164,2947.9979465200304,2947.9979465200304,2994.5441223230555,3046.6764573230557,3120.986510370363,4089.703800000004,4089.703800000004,4089.703800000004,4089.703800000004,4089.703800000004,4089.703800000004,4089.703800000004,4089.703800000004,4145.548605000001,4549.5878250000005,4962.902325000001,5370.442785000001,7979.742855000006,7979.742855000006,7979.742855000006,7979.742855000006,7979.742855000006,8370.528646592024,8779.978326902543,9163.088265608949,9471.76425810022,9762.186751076793,10030.588321076793,10268.182115081558,10450.321612550048,10588.175581753288,10689.027125282686,10753.907835,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10281.741722222223,9786.83425925926,9302.791666666668,8855.39014814815,8380.680962962964,7814.093925925928,7306.934962962964,6841.865166666667,6349.854055555556,5859.261407407408,5342.806796296297,4803.358648148149,4285.050222222223,3770.0035000000007,3205.6405370370376,2627.1852592592595,2090.9181481481482,1616.2051851851852,1616.2051851851852,1616.2051851851852,1616.2051851851852,1616.2051851851852,1200.0000089517275,1200.0000089517275,1946.373266683601,2668.520651683601,2204.4706516836013,1756.30804057249,1318.1200220539715,1213.4668130258017,1213.4668130258017,1213.4668130258017,1213.4668130258017,1213.4668130258017,1213.4668130258017,1213.4668130258017,1213.466813025802
2025-02-08,1687.5950147383708,2437.595014738371,3187.595014738371,3937.595014738371,4687.595014738371,4687.595014738371,4687.595014738371,4687.595014738371,4687.595014738371,4687.595014738371,5437.595014738371,6187.595014738371,6937.594685605802,6937.594685605802,6937.594685605802,7687.594685605801,8437.5946856058,8437.5946856058,8437.5946856058,8437.5946856058,8437.5946856058,8437.5946856058,8437.5946856058,9187.5946856058,9187.5946856058,8599.442833753948,8599.442833753948,8599.442833753948,8373.094206926226,8373.094206926226,8373.094206926226,8373.094206926226,8373.094206926226,8373.094206926226,7791.494206926225,7185.967409524372,7769.628609704485,7230.528080098082,6676.9216794415825,6095.971232532615,5506.59380660669,4945.233658968959,4454.069797839423,4036.1148732681036,3633.054580062385,3265.105348775379,2960.6693117383415,2771.719066560258,2670.3119178194966,2626.740443286619,2626.740443286619,2623.6333198059233,2577.7219494355527,2577.7219494355527,2577.7219494355527,2577.7219494355527,2577.7219494355527,2577.7219494355527,2577.7219494355527,2807.352414437734,3047.181352540275,3047.181352540275,3047.181352540275,3471.011857540275,3680.6696249999977,4101.170954999998,4513.435544999998,4940.277044999998,5322.025514999998,5688.363299999998,6071.435549999998,6443.767034999999,7875.1846473983305,8208.383472252177,8631.524337252176,8631.524337252176,8631.524337252176,9025.175695147187,9395.259204434866,9712.449224375665,9942.281499626215,10134.254855509518,10271.763005509518,10407.370476442038,10506.0807010516,10572.316397602293,10668.875670713272,10752.382065,10800.0,10800.0,10800.0,10800.0,10751.897216120686,10751.897216120686,10751.897216120686,10735.305711141682,10701.493293195872,10670.014535941296,10645.700883651658,10630.69946296296,10622.703407407405,10622.703407407405,10622.703407407405,10622.703407407405,10622.703407407405,10622.703407407405,10339.46487037037,9832.121,9296.249574074074,8783.321796296297,8296.178925925926,7814.559111111111,7311.223925925926,6828.783,6330.509759259259,5784.706055555555,5234.740388888888,4722.133333333333,4249.007407407407,3756.6706111111107,3253.673,2738.5785555555553,2223.0412037037036,1710.45,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1946.373345,2668.52073,3380.9772300000004,4126.521975000001,4872.102855000001,4872.102855000001,5618.376075000001,6358.988505000001,7092.271005000001,7818.872580000001,8557.456740000001,9306.45773533426,9306.457735334261
2025-02-09,9733.626704999999,9733.626704999999,9733.626704999999,9733.626704999999,9733.626704999999,9733.626704999999,9284.819564096091,9284.819564096091,10034.819564096091,10034.819564096091,10034.819564096091,10034.819564096091,10034.819564096091,10034.819564096091,10034.819564096091,10034.819564096091,10034.819564096091,10034.819564096091,10034.819564096091,10784.819,10784.819,10050.0,10050.0,10050.0,10050.0,10050.0,10050.0,10050.0,10050.0,10050.0,10050.0,10050.0,10050.0,10800.0,10800.0,10800.0,9996.853577817865,9996.853577817865,9070.92765189194,8174.777562811063,8174.777562811063,8174.777562811063,8174.777562811063,8174.777562811063,8174.777562811063,8924.777562811063,8924.777562811063,8088.879311184207,7327.0146022311,6609.004369554758,5943.69480440094,5325.040945802949,4757.319093951097,4224.271907198345,3726.2075520001263,3258.719967019808,2847.522476215392,2484.31587803003,2484.31587803003,2484.31587803003,2545.4221604123923,2312.7045678197996,2092.218012264244,1831.0739752272068,1800.0,2550.0,3300.0,4050.0,4800.0,5550.0,6300.0,7050.0,7034.804987407408,7784.804987407408,8534.804987407408,9284.804987407408,10034.804987407408,9862.24576674483,9685.290050189351,9685.290050189351,9685.290050189351,9447.265532910484,9217.362363812023,9217.443116525406,9217.443116525406,9217.443116525406,9228.434799583116,9228.434799583116,9241.472454583116,9241.472454583116,9991.472454583116,10689.090029834724,10689.090029834724,10698.101662373858,10708.047337373859,10708.047337373859,10708.047337373859,10708.047337373859,10705.796877038454,10704.742944444444,10704.742944444444,10704.742944444444,10704.742944444444,10704.742944444444,10704.742944444444,10704.742944444444,10704.742944444444,9940.67462962963,9102.92362962963,8255.431037037037,7394.700018518518,6552.601888888888,5728.388925925925,4900.426629629628,4083.673685185184,3310.5273888888873,2500.982314814813,1991.518925925926,1991.518925925926,1991.518925925926,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
2025-02-10,2501.221074259262,3251.221074259262,4001.221074259262,4001.221074259262,4751.2210742592615,5501.2210742592615,6251.2210742592615,7001.2210742592615,7751.2210742592615,8501.221074259262,8501.221074259262,8501.221074259262,8501.221074259262,8501.221074259262,8501.221074259262,8501.221074259262,9251.221074259262,9251.221074259262,9251.221074259262,9251.221074259262,10001.221074259262,10001.221074259262,10001.221074259262,10001.221074259262,10001.221074259262,10001.221074259262,10001.221074259262,10001.221074259262,10001.221074259262,10001.221074259262,10001.221074259262,10050.0,10800.0,10800.0,10800.0,10800.0,9857.375925925926,8931.45,8005.524074074075,7079.5981481481485,6901.929081482603,6901.929081482603,6901.929081482603,6901.331745426649,6901.331745426649,6901.331745426649,6901.331745426649,6121.481582045962,5422.96290728853,4741.086782292633,4144.448230383398,3626.9189539227814,3155.061694663522,2697.3118939857973,2306.054082392055,2015.399719270936,1737.9493864864282,1512.900403564038,1389.5065702307047,1389.5065702307047,2079.5162594249027,1979.3815372026806,1868.1035186841618,1789.3710001656434,1776.8210001656437,2526.8210001656435,3276.8210001656435,4026.8210001656435,4776.821000165643,5526.821000165643,6276.821000165643,7026.821000165643,7151.181098313793,7901.181098313793,8651.181098313793,9401.181098313793,10151.181098313793,10186.062546117668,10186.062546117668,10186.062546117668,10186.062546117668,10186.062546117668,10186.062546117668,10186.062546117668,10186.062546117668,10186.062546117668,10186.062546117668,9786.13420654544,9786.13420654544,10049.999993510286,10049.999993510286,10049.999993510286,10799.999993510286,10799.999993510286,10799.999993510286,10799.999993510286,10799.999993510286,10799.748357294811,10794.210747068017,10790.983538763836,10790.983538763836,10790.983538763836,10790.983538763836,10790.983538763836,10790.983538763836,10790.983538763836,10790.983538763836,9997.664816541614,9172.40161283791,8356.509020245318,7550.595483208281,6756.689779504577,5965.630520245318,5965.630520245318,5965.630520245318,5132.9120017268,4313.404446171244,3598.252648148148,2787.6359814814814,1989.8397777777777,1989.8397777777777,1989.8397777777777,1989.8397777777777,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1945.96947,1945.96947,1945.96947,1945.96947,1945.96947,1945.96947,1945.96947
