date,q0_kwh,qA_kwh,down_kwh,up_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,retained_cost,down_cost,up_cost,emergency_cost,total_cost,soc_start_kwh,soc_end_kwh
2025-02-01,56001.39298564216,51229.024885540144,4772.368100102019,0.0,26617.360985952862,14789.133779654583,0.0,5022.621745908531,21330.405896858032,1165.920496843892,0.0,0.0,22496.326393701922,2122.4825093090917,9645.736530383798
2025-02-02,86493.25760234875,82222.06376922973,4290.643716547092,19.449883428081648,15871.533897734262,18783.416023854068,0.0,6777.667945349541,59389.620639221714,1712.0203085066696,30.814323358426215,0.0,61132.455271086816,9645.736530383798,3059.6547896178904
2025-02-03,93851.8745778519,88146.76513741234,5705.109440439559,0.0,22833.52088292102,19153.30856315546,0.0,4249.636317646778,62925.902794671725,2537.9006307967898,0.0,0.0,65463.80342546852,3059.6547896178904,2328.369625185186
2025-02-04,98189.57178632458,92359.84988972663,5829.721896597954,0.0,23838.138703627355,19360.691886046843,0.0,6687.539122146113,65956.52242387917,2627.3067509240527,0.0,0.0,68583.82917480322,2328.369625185186,2270.814585064419
2025-02-05,92388.07666681288,90420.57470068464,2220.369160304689,252.86719417644736,23078.219131656595,18280.141814533155,0.0,4874.070400227865,63958.05279599549,990.9551335740684,396.9410388488794,0.0,65345.948968418445,2270.814585064419,2729.94312074074
2025-02-06,97197.22476802312,89292.72881388055,7904.495954142578,0.0,25506.31897879707,21074.406142158958,5.096551549355809,4594.855312125124,63789.15541683021,3504.377676451997,0.0,35.7064401547868,67329.239533437,2729.94312074074,2269.6233770370372
2025-02-07,47065.06949212842,42418.295135808105,4646.774356320318,0.0,19392.092021399167,16231.42006340213,0.0,7451.9435111444,18050.173347408956,975.3951168605506,0.0,0.0,19025.568464269505,2269.6233770370372,1687.5950147383708
2025-02-08,46421.94435408468,46591.83451828701,5.1841575441358145e-06,169.89016938649831,28145.555493855376,15556.471428787385,41.12309031971512,2466.710826872073,18637.654982326294,8.579780735544774e-07,157.76650398241446,204.09389725674615,18999.515384423434,1687.5950147383708,9733.626704999999
2025-02-09,80962.07069711498,78840.48708307238,2121.5836140425936,0.0,14076.815637111888,18666.82268400026,0.0,3875.078163294089,58332.58726180245,1037.7797093396007,0.0,0.0,59370.36697114205,9733.626704999999,1661.8466850670693
2025-02-10,87006.93187170714,82338.63014700862,4668.646230390447,0.34450569192597413,22175.56383714181,17325.933589285676,0.0,3162.3623158191467,55801.50931492611,1920.9424168585215,0.49608819637340273,0.0,57722.947819981004,1661.8466850670693,2368.81681706617
