date,q0_kwh,qA_kwh,down_kwh,up_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,retained_cost,down_cost,up_cost,emergency_cost,total_cost,soc_start_kwh,soc_end_kwh
2025-02-01,56001.39298564216,51228.61929146588,4772.7736941762805,0.0,26617.360985952862,14789.133773326506,0.0,5022.216145506193,21328.970615959355,1166.638137293231,0.0,0.0,22495.608753252585,2122.4825093090917,9645.736537414994
2025-02-02,86493.25759453878,81897.91406672046,4614.793370021664,19.449842203351864,15871.53388991804,18787.782462074243,0.0,6457.884688876668,59120.28422661261,1846.6885131505098,30.814300262271352,0.0,60997.78704002539,9645.736537414994,3054.8031915920724
2025-02-03,93857.26524232652,88048.53186286811,5808.733379458414,0.0,22781.91411581246,19107.14064357429,0.0,4156.841890629937,62856.64413107457,2573.8210267370564,0.0,0.0,65430.46515781163,3054.8031915920724,2328.369625185186
2025-02-04,98189.57178632458,92208.808323432,5980.763462892591,0.0,23699.44497812618,19248.349958899573,0.0,6562.849354205381,65887.93121596097,2661.6023548831536,0.0,0.0,68549.53357084413,2328.369625185186,2270.814595610332
2025-02-05,92388.07665509518,89989.394917259,2886.0457125769367,487.36397474074784,22961.80908914033,18185.8496834591,0.0,4465.00852824442,63374.152495527895,1282.9052812862194,646.0710111334427,0.0,65303.12878794756,2270.814595610332,2729.9431275487464
2025-02-06,97197.22476045862,89170.23807722602,8026.986683232593,0.0,25383.281934195522,20974.746134144585,5.096551549355809,4495.741612057773,63668.09540185021,3564.9076822895267,0.0,35.7064401547868,67268.70952429452,2729.9431275487464,2269.6233859418417
2025-02-07,47065.069482234205,43387.09862492534,3677.97085730886,0.0,19398.04433082357,16236.241439057732,0.0,8419.616066492837,18359.64716759226,820.6582049033434,0.0,0.0,19180.3053724956,2269.6233859418417,1687.5950180633558
2025-02-08,46421.94435109226,46587.394778564136,5.133267677592812e-06,165.45043260514595,28141.51399916428,15553.19782108008,36.2942472335161,2458.210131046783,18637.654981248223,8.495558006416105e-07,155.1099819594396,180.12834901994043,18972.89331307716,1687.5950180633558,9733.626704999999
2025-02-09,80962.07069711498,78277.53190953228,2684.538787582698,0.0,14278.260025520327,18835.11589859366,0.0,3278.971815938946,57839.703046750925,1284.2218168653628,0.0,0.0,59123.92486361629,9733.626704999999,1656.1541739753284
2025-02-10,87013.25688403129,81716.21518711903,5297.386202604192,0.34450569192597413,22049.071860180957,17216.966171914846,0.0,2557.4719155195876,55331.921637429696,2157.328893709949,0.49608819637340273,0.0,57489.74661933602,1656.1541739753284,2370.3564348994687
2025-02-11,85372.35987077793,79915.50537183609,5456.854498941848,0.0,22562.664057797294,19013.09185622533,280.73219444716335,1426.0682313779457,54463.73667626048,2434.852129673603,0.0,1487.1486888569802,58385.737494791065,2370.3564348994687,1551.0964688888882
2025-02-12,87735.68748657129,82444.88427502397,5290.803211547316,0.0,25674.190728824276,20213.846257514328,3.526941850353751,1721.330612231045,55637.89782592726,2312.7532864355057,0.0,19.13013259631874,57969.78124495909,1551.0964688888882,2198.0389498148143
2025-02-13,80619.51380491874,77065.41384157864,3641.8865775630884,87.78661422300392,24136.050647487173,19895.214944797943,834.8101396025994,2329.909261825352,51465.83091859097,1523.558347549167,125.97755509686799,4271.644203074026,57387.011024311025,2198.0389498148143,1814.690149444447
2025-02-14,37549.943103476486,37423.040162655845,435.8619324371159,308.95899161647867,20223.032932052887,16444.816727668473,0.0,3843.022141604764,15712.357496888346,67.4701421696265,286.6948850716684,0.0,16066.522524129641,1814.690149444447,1743.4012019937372
2025-02-15,40185.00412970215,37986.57917509252,2198.4249546096307,0.0,20194.88393135185,15437.938751022697,0.0,3949.542894763367,16435.61277844487,457.3359053929211,0.0,0.0,16892.948683837792,1743.4012019937372,2765.5314612962957
2025-02-16,87627.65851159047,81085.6128893035,6542.045622286979,0.0,23025.693855279424,18424.34107165663,349.08791898929326,1455.9689246700007,54755.9996562993,2958.9724778551267,0.0,1883.0053441481482,59597.97747830257,2765.5314612962957,3017.1658514293003
2025-02-17,86227.13638208652,77304.98021616507,8922.156165921459,0.0,22502.925573460812,18925.936186289626,0.0,2544.1276623272142,51526.12456558943,3668.811881696128,0.0,0.0,55194.93644728556,3017.1658514293003,2240.9808827777824
2025-02-18,77450.51567008888,78563.10874970381,102.9810719807075,1215.5741515956524,22672.993703024113,17989.165516227917,1.661610465380818,1789.554390039663,51779.21608710393,57.6574556983202,1288.1038704253815,7.930035946029953,53132.90744917366,2240.9808827777824,2658.7135308018005
